country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Belgium,41945.6921229,11348159.0,0.97897,41096.1573022,1,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.216691517437,1.0,0.48314774691,1.0512778946,25.3110186832,287233464.469,4.87075957846e-08,0.552741541472,0.0,2.8961435,209728.460615,25.3110186832,26.6089144314,26.6089144314,25.3110186832,4.87075957846e-08,0.000424923131024,5.0,0.0,0.0,967866.500246,3.39914428672,0.0,2.55087786,1.54,1.54,28.4697612233,323079377.054,0.000678729084739,0.88904920855,0.000603423555607
Belize,7831.45448606,366954.0,0.43845,4810.56590199,1,0.2,1.5,0.06,0.8,0.05,0.0,0.075,0.961548126505,1.0,0.150881730148,1.29503505078,109.056437964,40018696.1366,3.75702624657e-06,1.37865580928,0.0,1.272667,39157.2724303,109.056437964,141.231909677,141.231909677,109.056437964,3.75702624657e-06,0.0373110945579,5.0,0.0,0.0,40723.1539961,3.33504106118,0.0,0.999139735417,1.80623152696,1.80623152696,177.164986169,65011400.3347,0.0226222327518,0.61556428458,0.0139254385195
Benin,2009.96138386,10872298.0,0.44395,789.440410686,1,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.25,0.330253321946,1.0,0.0827798384973,1.08844142672,5.30896224941,57720619.6463,1.68681153875e-06,18.3395177191,0.0,0.41186028,10049.8069193,5.30896224941,5.77849444514,5.77849444514,5.30896224941,1.68681153875e-06,0.00152537215379,5.0,0.0,0.0,30430.6005465,3.39792032986,0.0,0.386564288883,3.39373960166,3.39373960166,10.342432905,112446012.588,0.00514558786453,0.513318510082,0.00264132549612
Bhutan,8105.79696745,797765.0,0.39377,2804.00022299,1,0.2,1.5,0.06,0.8,0.05,0.6,0.416666666667,0.185575394278,1.0,0.0440194671464,1.04109502503,208.368011021,166228706.312,5.51716747156e-06,4.40140310795,0.0,1.2077739,40528.9848373,208.368011021,216.93089965,216.93089965,208.368011021,5.51716747156e-06,0.0069210585576,5.0,0.0,0.0,218396.328861,3.38911082494,0.0,0.218691854431,3.39556230657,3.39556230657,273.948328215,218546388.058,0.0337965938839,0.760610631861,0.0257060486288
Bolivia,6707.95618416,10887882.0,0.68911,3104.95608914,1,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.45,0.421834200421,1.0,0.170332203809,1.11841161726,34.8856378177,379830708.054,1.18959674245e-06,12.9521889593,0.0,1.3671704,33539.7809208,34.8856378177,39.0165026108,39.0165026108,34.8856378177,1.18959674245e-06,0.0045757696314,5.0,0.0,0.0,79509.3922857,3.39245373776,0.0,1.0631863771,2.25541684672,2.25541684672,44.4695368002,484179069.275,0.00662937198445,0.784483948516,0.00520063591054
Bosnia and Herzegovina,11179.3499097,3516816.0,0.3994,4708.71826066,1,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.323932232357,1.0,0.143200371171,1.08637282613,68.0656654307,239374421.237,9.58457696829e-07,3.37071936353,0.0,0.49884081,55896.7495485,68.0656654307,73.9446893163,73.9446893163,68.0656654307,9.58457696829e-07,0.00375847931083,5.0,0.0,0.0,172556.923841,3.39246593662,0.0,0.773800359916,2.468094374,2.468094374,77.0874136314,271102249.658,0.00689551845627,0.882967299385,0.0060885173092
Botswana,15513.4419328,2250260.0,0.5771,6788.04274538,1,0.2,1.5,0.06,0.8,0.05,0.6,0.708333333333,0.281178076714,1.0,0.0831001334421,1.0723813662,48.586258402,109331713.832,4.98537365501e-07,1.12183869209,0.0,1.5309666,77567.209664,48.586258402,52.1029981639,52.1029981639,48.586258402,4.98537365501e-07,0.00128399374478,5.0,0.0,0.0,275865.069462,3.39792845402,0.0,0.560991628245,3.26640341596,3.26640341596,65.5440868048,147491236.773,0.00422498676237,0.741275998652,0.00313188128157
Brazil,14023.6916227,207652865.0,0.85933,8649.94849175,1,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.558333333333,0.265575010188,1.0,0.213762613761,1.06727520338,27.0162694152,5610005745.69,3.11667980116e-07,64.7187489998,0.0,0.72792381,70118.4581136,27.0162694152,28.8337944348,28.8337944348,27.0162694152,3.11667980116e-07,0.000753112095286,5.0,0.0,0.0,264025.06043,3.39892672772,0.0,1.03578129715,3.30265153998,3.30265153998,35.2183615384,7313193674.05,0.00251134740308,0.767107504016,0.0019264734381
Bulgaria,17709.075186,7127822.0,0.74266,7350.7958009,1,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.716666666667,0.323078471507,1.0,0.43909310688,1.08609342964,43.7771644282,312035835.709,3.20491276318e-07,2.28440477015,0.0,0.85743753,88545.37593,43.7771644282,47.546090654,47.546090654,43.7771644282,3.20491276318e-07,0.00164648529932,5.0,0.0,0.0,274067.707195,3.39737797707,0.0,2.366689173,2.2413224552,2.2413224552,51.3835668423,366252918.177,0.00290153869147,0.851968189802,0.00247201866661
Burkina Faso,1594.57677663,18646433.0,0.30688,649.730483656,1,0.2,1.5,0.06,0.8,0.05,0.8,0.416666666667,0.405665091881,1.0,0.0372065918619,1.11312021504,4.14432734512,77276922.1709,1.1065330716e-06,20.6328947818,0.0,0.49080616,7972.88388314,4.14432734512,4.61313454559,4.61313454559,4.14432734512,1.1065330716e-06,0.00145533759266,5.0,0.0,0.0,19653.8574374,3.39773280392,0.0,0.181018396331,3.39373960166,3.39373960166,4.79408738838,89392629.2836,0.00300649517706,0.864466374802,0.00259901398657
Burundi,721.176561507,10524117.0,0.12359,285.727442065,1,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.25,0.462979312718,1.0,0.10226863015,1.13187651163,2.72208302586,28647520.2479,2.40204173485e-06,25.2793682564,0.0,0.23330115,3605.88280754,2.72208302586,3.08106183969,3.08106183969,2.72208302586,2.40204173485e-06,0.00334461959471,5.0,0.0,0.0,7788.43181214,3.39484502247,0.0,0.516335948504,2.46978885086,2.46978885086,3.16530756358,33312067.1401,0.00438908823792,0.8599742588,0.00377450290422
Cameroon,3045.91916487,23439189.0,0.54938,1032.64872204,1,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.566666666667,0.419737574603,1.0,0.018028650423,1.11772548849,9.02164292045,211459993.503,1.12310550897e-06,26.3246822916,0.0,0.49901461,15229.5958243,9.02164292045,10.0837202403,10.0837202403,9.02164292045,1.12310550897e-06,0.00354163646963,5.0,0.0,0.0,36283.6132523,3.39482933858,0.0,0.0807097064271,1.83436809608,1.83436809608,12.8460851112,301101816.831,0.00421747407461,0.702287338311,0.00296187864225
Canada,43087.7573653,36286425.0,0.82006,42157.927991,1,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.833333333333,0.335483893856,1.0,0.24114664264,1.09015315126,46.8788865943,1701067202.49,9.38104315605e-08,3.40404518904,0.0,3.3152264,215438.786827,46.8788865943,51.1051659481,51.1051659481,46.8788865943,9.38104315605e-08,0.00122976245077,5.0,0.0,0.0,642173.263075,3.39825665257,0.0,1.52252264,1.50667645612,1.50667645612,57.0925168404,2071683330.39,0.00132502873975,0.821103871201,0.00108798622766
Central African Republic,647.880444823,4594621.0,0.40332,382.213174318,1,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.314743833051,1.0,0.00945003463381,1.08336588753,3.51334341777,16142481.4475,5.08845420819e-06,23.3795185625,0.0,0.155265746,3239.40222411,3.51334341777,3.80623641001,3.80623641001,3.51334341777,5.08845420819e-06,0.00275438123247,5.0,0.0,0.0,10292.1864829,3.39459906097,0.0,0.0461005231262,3.23928222119,3.23928222119,5.7095420743,26233181.9149,0.00881264764189,0.615345919525,0.00542282676665
Chad,1845.91467919,14452543.0,0.22618,664.295651899,1,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.753200994464,1.0,0.0357168332084,1.22685265999,4.42306017689,63924467.3982,1.17977465429e-06,17.0507439214,0.0,0.26443054,9229.57339594,4.42306017689,5.42644314331,5.42644314331,4.42306017689,1.17977465429e-06,0.00264401301257,5.0,0.0,0.0,12253.7987387,3.39473086501,0.0,0.172884459244,3.39373960166,3.39373960166,6.36635516479,92010021.7724,0.00344888918029,0.694755486052,0.00239613467879
Chile,22706.720537,17909754.0,0.89697,13792.9260544,1,0.2,1.5,0.06,0.8,0.05,0.8,0.925,0.347394111819,1.0,0.166982123967,1.09405081535,222.792868526,3990165468.25,1.61753099041e-06,28.9695821256,0.0,0.8280141,113533.602685,222.792868526,243.746719465,243.746719465,222.792868526,1.61753099041e-06,0.0271039195418,5.0,0.0,0.0,326814.988575,3.36169230298,0.0,0.93073427567,0.7738484,0.7738484,376.568207065,6744243952.75,0.01658399796,0.591640144722,0.00981175895314
China,14400.8860587,1378665000.0,0.56778,8123.18087255,1,0.2,1.5,0.06,0.8,0.05,0.8,0.841666666667,0.229216379139,1.0,0.19586191952,1.05537670319,51.7641311361,71365395852.8,5.75973972425e-07,794.075156693,0.0,2.2412108,72004.4302934,51.7641311361,54.6306580619,54.6306580619,51.7641311361,5.75973972425e-07,0.00147210807041,5.0,0.0,0.0,314133.006393,3.39798661903,0.0,1.11299741032,2.839823155,2.839823155,67.7273150806,93373278845.6,0.0047029963854,0.764302129422,0.00359451015203
Colombia,13124.3248436,48653419.0,0.76708,5805.60533452,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.716666666667,0.27977925648,1.0,0.104940216041,1.07192359697,180.518952759,8782864246.02,2.46722509908e-06,120.038936513,0.0,0.72659449,65621.624218,180.518952759,193.502525162,193.502525162,180.518952759,2.46722509908e-06,0.0138590107569,5.0,0.0,0.0,234547.854061,3.37963826453,0.0,0.54466400711,1.41792,1.41792,252.41694768,12280947518.2,0.0192327567847,0.715161776648,0.013754532512
Comoros,1411.15233854,795601.0,0.28412,775.080084705,1,0.2,1.5,0.06,0.8,0.05,0.266666666667,0.166666666667,0.197958724461,1.0,0.0416231060007,1.0451475169,3.79325330641,3017916.12383,1.23338906915e-06,0.981285576806,0.0,0.500418376,5644.60935416,3.79325330641,3.96450927417,3.96450927417,3.79325330641,1.23338906915e-06,0.00100847401681,4.0,0.0,0.0,28514.0721609,2.71814632437,0.0,0.165527210688,1.97583108069,1.97583108069,4.44869939552,3539389.68777,0.00315252951366,0.852665682521,0.00268805372943
"Congo, Dem. Rep.",742.307904932,78736153.0,0.43015,444.505316816,1,0.2,1.5,0.06,0.8,0.05,0.4,0.375,0.237056001858,1.0,0.0834408819573,1.05794224952,6.5057989421,512241580.892,5.92674926736e-06,466.649437107,0.0,0.28384167,3711.53952466,6.5057989421,6.88275956772,6.88275956772,6.5057989421,5.92674926736e-06,0.00354863319975,5.0,0.0,0.0,15656.8047026,3.3944072379,0.0,0.395744109312,3.1,3.1,8.1557797353,642154721.073,0.0109870576362,0.797691839805,0.00876428621987
