country,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets,,country,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets,,Ratios,,
"Congo, Dem. Rep.",12.30723796,950941066,0.01670635,0.503446099,0.008410747,,"Congo, Dem. Rep.",13.23883,893801801.7,0.0169,0.50922,0.00861,,1.011591405,1.011468757,1.023690322
"Congo, Rep.",67.95829587,313989753.1,0.011339323,0.505731741,0.005734655,,"Congo, Rep.",66.84259,297291249.3,0.01177,0.50506,0.00594,,1.037980884,0.998671744,1.035807677
Costa Rica,122.0899559,586990194.3,0.008436412,0.456703945,0.003852943,,Costa Rica,102.60439,499905614.1,0.00764,0.51119,0.00391,,0.905598232,1.11930279,1.014808747
Cote d'Ivoire,11.3417656,257475726.9,0.003447358,0.557097597,0.001920515,,,,,,,,,0,0,0
Croatia,161.2373603,681131749.9,0.007892189,0.714386425,0.005638073,,Croatia,157.36076,669680165.2,0.00785,0.73663,0.00578,,0.994654356,1.031136615,1.025173041
Cyprus,91.38411672,106489911.2,0.003015019,0.603765839,0.001820365,,,,,,,,,0,0,0
Czech Republic,66.42387838,700852887.6,0.00222859,0.736517828,0.001641397,,Czech Republic,65.01136,683547110.9,0.00231,0.74942,0.00173,,1.03652964,1.0175178,1.053980522
Denmark,2.709158484,15377188.97,6.24E-05,0.792991342,4.95E-05,,Denmark,2.73347,15348253.36,0.00006,0.80836,0.00005,,0.961521366,1.019380612,1.010437015
Djibouti,13.46541761,11955419.15,0.004315778,0.534812321,0.002308131,,Djibouti,12.2747,10714982.7,0.00423,0.59279,0.00251,,0.980124634,1.108407524,1.08745991
Dominican Republic,241.9604696,2547454431,0.018090626,0.630823323,0.011411989,,Dominican Republic,218.13406,2269414617,0.01849,0.63722,0.01178,,1.022076305,1.010140203,1.032247779
Ecuador,310.3888949,5011030990,0.028960675,0.657114507,0.01903048,,Ecuador,309.12499,4864971321,0.02933,0.66036,0.01937,,1.012752623,1.004939007,1.017840856
"Egypt, Arab Rep.",14.2784364,1306592357,0.001393024,0.571631339,0.000796296,,"Egypt, Arab Rep.",15.83558,1299410274,0.00148,0.57794,0.00085,,1.0624369,1.011036241,1.067442097
El Salvador,343.8546277,2106653916,0.042474476,0.627042926,0.02663332,,El Salvador,312.07671,1978708024,0.04153,0.64982,0.02698,,0.977763676,1.036324585,1.013016783
Estonia,102.4332197,134392179.3,0.003803732,0.601267045,0.002287059,,Estonia,97.87242,128995559.1,0.00388,0.59981,0.00232,,1.020050886,0.997576709,1.014403398
Ethiopia,6.97929343,693677208.5,0.004561946,0.651138641,0.00297046,,,,,,,,,0,0,0
France,88.4103341,5906551638,0.002369889,0.69156921,0.001638942,,France,91.28011,6018998498,0.00245,0.71563,0.00176,,1.03380383,1.034791587,1.073863475
Gabon,297.7300936,513671348.6,0.01580988,0.409066128,0.006467286,,Gabon,289.8917,484615147.8,0.01555,0.42483,0.0066,,0.983562195,1.038536243,1.020520773
Georgia,123.0170412,452579694.6,0.013504619,0.687904489,0.009289888,,Georgia,96.8197,434449377.4,0.01397,0.68208,0.00953,,1.034460906,0.991532998,1.025846625
Germany,53.52782018,4357868186,0.001215076,0.76411072,0.000928452,,Germany,54.44432,4391036248,0.00127,0.77504,0.00098,,1.04520222,1.014303267,1.055519803
Ghana,11.10391165,304357030.2,0.002808834,0.625325697,0.001756436,,Ghana,11.32659,293410818.6,0.00293,0.60924,0.00179,,1.043137427,0.97427629,1.01910906
Greece,812.0542614,8789457695,0.03298749,0.561873938,0.018534811,,Greece,752.71699,8300623460,0.03097,0.60849,0.01884,,0.938840767,1.08296534,1.016465739
Guatemala,214.1808149,3500334997,0.029530166,0.223268069,0.006593143,,Guatemala,189.78883,2935692085,0.02687,0.24554,0.0066,,0.909917005,1.099754214,1.001040005
Guinea,7.928270513,99964312.31,0.006982267,0.62711732,0.004378701,,Guinea,8.50648,99910188.55,0.00701,0.6325,0.00444,,1.003971888,1.00858321,1.013999425
Haiti,396.701249,4249093657,0.239205313,0.200250604,0.047901008,,,,,,,,,0,0,0
Honduras,273.512119,2208626772,0.057159287,0.48206912,0.027554727,,Honduras,266.70105,2159661900,0.06,0.46443,0.02786,,1.049698197,0.963409562,1.01107879
Hungary,280.1119856,2757614543,0.01144506,0.786706884,0.009003907,,Hungary,263.57139,2607748676,0.01161,0.7981,0.00926,,1.014411486,1.014482035,1.028442403
India,25.6938387,33685920765,0.004483983,0.608988711,0.002730695,,India,23.06118,28875821550,0.0044,0.62622,0.00275,,0.981270464,1.028294924,1.007069638
Indonesia,49.90344927,12853322776,0.00480519,0.680354861,0.003269234,,Indonesia,45.02884,11251160632,0.00487,0.68783,0.00335,,1.013487551,1.010987118,1.024704804
"Iran, Islamic Rep.",204.2824935,16160639344,0.012375489,0.555534482,0.006875011,,"Iran, Islamic Rep.",190.25553,14734752084,0.01261,0.55204,0.00696,,1.018949652,0.993709693,1.012362052
Iraq,126.6415536,4612715330,0.009034356,0.564932966,0.005103805,,Iraq,133.16916,4450177286,0.0092,0.56449,0.00519,,1.01833494,0.999215897,1.016888316
Ireland,46.62799483,216386675.5,0.000898434,0.74524698,0.000669555,,Ireland,44.19915,203208149.2,0.00099,0.74427,0.00074,,1.101917594,0.998689052,1.105211557
Israel,59.59013748,499389188.1,0.001881555,0.621706512,0.001169775,,Israel,62.58404,504396080.1,0.00202,0.6178,0.00125,,1.073580382,0.99371647,1.068581852
Italy,293.0396166,17817419678,0.008724761,0.650023808,0.005671302,,Italy,292.09662,17594132634,0.00861,0.67078,0.00578,,0.98684652,1.031931434,1.01916626
Jamaica,214.3330902,584259358.1,0.025130226,0.555289099,0.01395454,,Jamaica,221.67413,601786293.1,0.02575,0.56523,0.01456,,1.024662503,1.017902209,1.043388
Japan,298.3543639,37878614152,0.008332936,0.765343538,0.006377559,,Japan,300.73848,38295622971,0.00844,0.7755,0.00655,,1.012848304,1.013270462,1.027038771
Jordan,28.39402478,215639755.7,0.002772945,0.72537892,0.002011436,,Jordan,34.28493,221480675.3,0.00301,0.73178,0.0022,,1.085488574,1.008824463,1.093746083
Kazakhstan,126.0809171,2211979496,0.005177256,0.538814626,0.002789581,,Kazakhstan,95.94012,1634366356,0.00427,0.62476,0.00267,,0.824761238,1.159508243,0.957132917
Kenya,14.15351421,651773603.6,0.004878818,0.442221675,0.002157519,,Kenya,12.80376,567893902.2,0.00473,0.4649,0.0022,,0.969497117,1.051282707,1.019689709
Kyrgyz Republic,56.78477949,338266931.4,0.017608352,0.499481565,0.008795047,,Kyrgyz Republic,46.85852,268011994.9,0.01507,0.55079,0.0083,,0.855843873,1.102723381,0.943712967
Lao PDR,256.9520889,1747794019,0.048106586,0.727604589,0.035002573,,Lao PDR,224.15635,1517477288,0.04803,0.73435,0.03527,,0.998407993,1.00927071,1.007640217
Latvia,216.708584,428744931,0.009576825,0.656215923,0.006284465,,Latvia,216.14894,435031524.1,0.0099,0.6504,0.00644,,1.033745525,0.99113718,1.024749112
Lesotho,39.38319591,84083989.7,0.015646816,0.599642025,0.009382489,,Lesotho,39.94306,82860475.88,0.01602,0.60164,0.00964,,1.023850468,1.003331946,1.02744597
Liberia,4.014501505,18079058.63,0.005101558,0.604028148,0.003081485,,Liberia,4.43174,19030242.35,0.00521,0.60287,0.00314,,1.021256559,0.998082625,1.018989258
Lithuania,102.6140337,298627258.4,0.003887356,0.696393326,0.002707129,,Lithuania,97.09209,287168207.2,0.00397,0.70418,0.00279,,1.021259592,1.011181432,1.03061212
Luxembourg,45.3244399,25820245.62,0.000484481,0.756400207,0.000366461,,,,,,,,,0,0,0
"Macedonia, FYR",67.85173967,141026651.9,0.005332296,0.612926882,0.003268308,,"Macedonia, FYR",63.30819,133400353.3,0.00545,0.6188,0.00337,,1.022073725,1.009582086,1.03111464
Madagascar,78.21560305,1895585644,0.056952666,0.617818062,0.035186386,,Madagascar,77.83056,1784253905,0.05687,0.62272,0.03541,,0.998548519,1.007934274,1.006355141
Malawi,18.72745507,322397483.7,0.016826297,0.585097023,0.009845016,,Malawi,12.77703,209064968.5,0.01692,0.59581,0.01008,,1.005568834,1.018309744,1.023868281
Malaysia,134.7231013,4086287329,0.005323336,0.565580429,0.003010775,,Malaysia,119.48775,3550813323,0.00529,0.58746,0.00311,,0.99373768,1.038685163,1.032956663
Mali,14.45695965,254438066,0.006326046,0.399217478,0.002525468,,Mali,10.13718,155115547.6,0.00638,0.40102,0.00256,,1.008528791,1.004515137,1.013673377
Mauritania,55.4903371,225710497.5,0.015023611,0.361269085,0.005427566,,Mauritania,45.43057,176719454,0.01543,0.35693,0.00551,,1.027050054,0.987989328,1.015188019
Mauritius,145.4876596,183693446.4,0.007935653,0.743534482,0.005900432,,,,,,,,,0,0,0
Mexico,40.83000195,5186113504,0.002474254,0.570247814,0.001410938,,Mexico,40.33604,4934404776,0.00248,0.58203,0.00144,,1.002322116,1.020661519,1.020597488
Moldova,55.3547217,196738984.1,0.011673718,0.753776184,0.00879937,,Moldova,54.66602,194532648.7,0.01209,0.74682,0.00903,,1.03565979,0.990771553,1.026209789
Mongolia,71.75739434,212339745.3,0.0062556,0.61103783,0.003822408,,Mongolia,63.44998,180139121.9,0.00695,0.57496,0.00399,,1.11100451,0.940956471,1.043844518
Montenegro,56.56460184,35205129.41,0.003768339,0.61404171,0.002313918,,Montenegro,49.69153,30877471.31,0.00351,0.6637,0.00233,,0.931444764,1.0808712,1.006950305
Morocco,43.23153967,1486192731,0.005873167,0.491441012,0.002886315,,Morocco,39.82687,1314611210,0.00572,0.51624,0.00295,,0.973920875,1.050461779,1.022064408
Namibia,107.9059816,265322464.7,0.011009938,0.548193349,0.006035575,,,,,,,,,0,0,0
Nepal,37.49010172,1068981514,0.016205679,0.62700345,0.010161017,,Nepal,35.62256,990216670.8,0.01639,0.63411,0.0104,,1.011373826,1.011334148,1.023519604
Netherlands,49.06747185,831032218.4,0.001058073,0.770536089,0.000815284,,Netherlands,52.35294,879761377.3,0.00116,0.78153,0.00091,,1.096332563,1.014267874,1.116176136
Nicaragua,90.95234914,553175098,0.018621937,0.511358318,0.009522483,,,,,,,,,0,0,0
Niger,9.560753041,190250572.1,0.010653892,0.532432815,0.005672482,,Niger,9.48678,169161372.3,0.0107,0.53602,0.00573,,1.004327786,1.006737347,1.010139858
Nigeria,13.57635358,2473638258,0.00240763,0.478444723,0.001151918,,Nigeria,13.16224,2285166414,0.00243,0.48294,0.00117,,1.009291358,1.009395604,1.015697477
Norway,1.585022748,8235652.983,2.46E-05,0.626570474,1.54E-05,,,,,,,,,0,0,0
Pakistan,43.46992207,8212549551,0.009161498,0.642686627,0.005887972,,Pakistan,40.94213,7457306074,0.00919,0.65092,0.00598,,1.003111041,1.012810867,1.015629764
Panama,92.67095076,364117232.1,0.004437129,0.482141309,0.002139323,,Panama,83.61912,323118512.7,0.00445,0.4927,0.00219,,1.002900691,1.021899577,1.023688186
Paraguay,31.97501782,212286076.3,0.003699233,0.50195159,0.001856836,,Paraguay,29.47985,200530624.2,0.00376,0.50984,0.00192,,1.016426814,1.01571548,1.034016962
Peru,618.9447933,19420426528,0.053027523,0.394188834,0.020902857,,Peru,597.71607,18155986129,0.05245,0.40016,0.02099,,0.989109001,1.015147984,1.004168935
Philippines,231.8521954,23347375803,0.033477941,0.667041321,0.02233117,,Philippines,413.13932,40650254129,0.06531,0.69157,0.04516,,1.950836812,1.036772353,2.022285433
Poland,34.21289972,1300072877,0.001377558,0.596006546,0.000821034,,Poland,32.33464,1245351903,0.00142,0.60566,0.00086,,1.0308093,1.016196893,1.047459899
Portugal,14.74080408,152547392.6,0.000552296,0.796253347,0.000439767,,,,,,,,,0,0,0
Romania,114.2831972,2266508823,0.005735514,0.702406096,0.00402866,,Romania,105.40969,2106228778,0.0058,0.71333,0.00414,,1.011243354,1.015552121,1.027637055
Russian Federation,86.40025779,12450001703,0.003615778,0.509579259,0.001842526,,Russian Federation,84.22636,12086470266,0.00357,0.52397,0.00187,,0.987339269,1.028240436,1.014911229
Rwanda,9.672106191,112289922.4,0.005843554,0.598813672,0.0034992,,Rwanda,8.61274,101428139.8,0.00604,0.59962,0.00362,,1.033617596,1.001346543,1.034522209
Senegal,5.058579182,76532625.44,0.002211238,0.757923146,0.001675948,,Senegal,4.86607,68773537.55,0.00224,0.76425,0.00171,,1.013007238,1.00834762,1.020317817
Serbia,239.6039647,1700768124,0.018627263,0.725072885,0.013506124,,Serbia,249.92266,1790478911,0.01939,0.71556,0.01387,,1.040947332,0.986880098,1.026941593
Sierra Leone,12.33940938,79628479.15,0.008243066,0.647317346,0.00533588,,Sierra Leone,12.26592,74724882.36,0.00821,0.65124,0.00534,,0.995988645,1.006059862,1.000772222
Slovak Republic,120.0269671,651032270.9,0.004381474,0.727152847,0.003186001,,Slovak Republic,115.86427,627218848.9,0.0045,0.73415,0.0033,,1.027051597,1.009622671,1.035781093
Slovenia,205.3447057,423783832.5,0.007095075,0.753038649,0.005342866,,Slovenia,201.88058,415864499,0.00738,0.76927,0.00567,,1.040158154,1.021554472,1.061228265
South Africa,52.44499523,2882215427,0.004232863,0.551105065,0.002332752,,South Africa,53.69182,2854122467,0.00431,0.5512,0.00238,,1.018223257,1.000172263,1.020253979
Spain,24.08361643,1117919786,0.000733933,0.786360061,0.000577136,,Spain,24.06196,1121716220,0.00076,0.79498,0.0006,,1.035516558,1.010961821,1.039616725
Sri Lanka,28.37775224,594967953.4,0.002568665,0.696819881,0.001789897,,Sri Lanka,24.34796,498719164.7,0.00258,0.70611,0.00182,,1.004412913,1.013332167,1.016818494
Sudan,12.95711471,521327981.5,0.003299084,0.500584729,0.001651471,,Sudan,10.89375,413573700.5,0.00334,0.50178,0.00167,,1.012402158,1.002387751,1.01121958
Swaziland,75.56995275,97256262.08,0.009529198,0.55218317,0.005261863,,Swaziland,62.358,77917189.27,0.00964,0.56485,0.00544,,1.011627632,1.022939544,1.033854407
Sweden,5.411069437,53022371.38,0.000119459,0.714637632,8.54E-05,,Sweden,5.47152,52528699.17,0.00013,0.73279,0.00009,,1.088239464,1.025400801,1.054235767
Switzerland,108.0579473,895473616,0.001960698,0.664843822,0.001303558,,,,,,,,,0,0,0
Syrian Arab Republic,30.14593837,557772602,0.006078555,0.652610741,0.00396693,,Syrian Arab Republic,30.95855,707265123.4,0.00624,0.65929,0.00412,,1.026559829,1.010234676,1.038586504
Tajikistan,56.70916454,480998910.8,0.02167623,0.559258188,0.012122609,,Tajikistan,53.08485,435711601.2,0.02183,0.56351,0.0123,,1.007093932,1.007602592,1.014633047
Tanzania,11.45493733,612500310.4,0.004563293,0.602233777,0.002748169,,Tanzania,11.17173,550242708.8,0.00472,0.59638,0.00282,,1.034340837,0.990279893,1.026137766
Thailand,195.2426587,13268565932,0.012723241,0.457404161,0.005819663,,Thailand,178.56114,11965471360,0.01282,0.51038,0.00654,,1.007604896,1.115818446,1.123776332
Togo,7.303038727,53345616.02,0.005315782,0.597910495,0.003178362,,Togo,7.32118,49908362.32,0.00544,0.59168,0.00322,,1.023367753,0.989579552,1.013100484
Tunisia,58.94098119,654704630.9,0.005495077,0.435976678,0.002395726,,,,,,,,,0,0,0
Turkey,118.1864221,9297232992,0.006233913,0.466168183,0.002906052,,Turkey,113.33014,8492126421,0.0061,0.48277,0.00295,,0.9785186,1.035613363,1.015122929
Uganda,7.230776218,282234426.7,0.004209252,0.417048159,0.001755461,,Uganda,5.76344,216583529.6,0.00356,0.48826,0.00174,,0.845755945,1.170752081,0.991192714
Ukraine,58.67036939,2651795090,0.007875463,0.749665831,0.005903965,,Ukraine,69.99395,3183996998,0.00823,0.73171,0.00602,,1.045017973,0.97604822,1.0196537
United Kingdom,29.12138221,1896915351,0.000753312,0.742484764,0.000559323,,United Kingdom,30.4514,1952141041,0.00082,0.72763,0.0006,,1.088526161,0.979993173,1.072725792
United States,199.5765417,64147656533,0.003797913,0.637190923,0.002419996,,United States,188.7923,59682691371,0.00368,0.66449,0.00244,,0.968953276,1.042842853,1.008266326
Uruguay,17.64026063,60533524.56,0.000884124,0.643526146,0.000568957,,Uruguay,19.56668,66664887.42,0.00103,0.58465,0.0006,,1.164995307,0.908510095,1.054561726
Uzbekistan,31.11964153,974029220.2,0.005514906,0.439246827,0.002422405,,Uzbekistan,28.2927,855661698.7,0.00566,0.43974,0.00249,,1.026309426,1.00112277,1.027904106
"Venezuela, RB",162.0453717,5040920874,0.010385598,0.584295995,0.006068263,,"Venezuela, RB",176.95393,5380320819,0.01005,0.61485,0.00618,,0.967686189,1.052291999,1.018413264
Vietnam,121.7678685,11166576262,0.0214834,0.696068638,0.014953921,,Vietnam,106.24389,9531022847,0.02073,0.72543,0.01504,,0.96493107,1.042181706,1.005756292
West Bank and Gaza,8.804660822,38935469.22,0.001867402,0.669766492,0.001250723,,,,,,,,,0,0,0
"Yemen, Rep.",23.95898412,642872613,0.00654026,0.763762722,0.004995206,,"Yemen, Rep.",25.93309,632958707.4,0.00677,0.76512,0.00518,,1.035127111,1.001777094,1.036994176
Zambia,18.47129696,299452362.5,0.005094397,0.379078603,0.001931177,,Zambia,18.98749,276052301.3,0.005,0.39557,0.00198,,0.981470449,1.043503899,1.025281551
