country,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets,,country,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets,,Ratios,,
Albania,146.0918367,422083713.5,0.014050957,0.684838799,0.00962264,,Albania,142.55657,413038552.1,0.01431,0.69007,0.00988,,1.018435978,1.007638587,1.026745213
Angola,32.80765278,820912234.9,0.004729368,0.310754205,0.001469671,,Angola,35.77273,768098313.4,0.00478,0.31209,0.00149,,1.010705952,1.004298558,1.013832435
Argentina,139.4214993,6053229077,0.007708298,0.563085729,0.004340433,,Argentina,140.31489,5815525579,0.00776,0.56729,0.0044,,1.006707313,1.007466484,1.013723835
Armenia,77.86478595,234973498.9,0.009857195,0.713768738,0.007035758,,Armenia,77.47041,230595786.8,0.01029,0.70692,0.00728,,1.043907533,0.990404822,1.034714448
Australia,122.7540071,2919233789,0.002811939,0.710333369,0.001997414,,Australia,120.19615,2780052747,0.00281,0.72297,0.00203,,0.999310525,1.017789718,1.016314127
Austria,139.0549348,1197414280,0.003168063,0.694858161,0.002201354,,Austria,142.73603,1210376308,0.00324,0.73024,0.00237,,1.022706917,1.050919513,1.076609894
Azerbaijan,66.16428669,638574622.2,0.003963027,0.645927298,0.002559828,,Azerbaijan,71.42401,672585734.5,0.0043,0.61483,0.00265,,1.085029071,0.95185635,1.035225959
Bangladesh,108.1218936,17407153668,0.034471477,0.651005898,0.022441135,,Bangladesh,98.57251,15435958803,0.03455,0.65765,0.02272,,1.002277905,1.010205901,1.012426509
Belarus,85.08110434,809376545.6,0.005118882,0.674515132,0.003452763,,Belarus,96.66176,915000204.9,0.00567,0.63984,0.00363,,1.107663803,0.948592507,1.051331878
Belgium,31.24809003,352657225.9,0.000759585,0.776784454,0.000590034,,Belgium,34.75759,388687791,0.00086,0.77106,0.00066,,1.132197509,0.992630576,1.118580268
Benin,10.30991945,112170160.6,0.005192308,0.490203903,0.00254529,,Benin,9.11698,94118931.98,0.00526,0.50054,0.00263,,1.013036903,1.021085301,1.033281148
Bhutan,248.3200428,192405818.7,0.032667806,0.704918535,0.023028142,,,,,,,,,0,0,0
Bolivia,63.19686293,677767711.9,0.009759016,0.497971541,0.004859712,,Bolivia,60.01264,640406842.1,0.01011,0.49288,0.00498,,1.035965134,0.989775438,1.024752067
Bosnia and Herzegovina,96.19962965,366560608,0.009597351,0.630148048,0.006047752,,Bosnia and Herzegovina,92.25031,353254776.7,0.00983,0.62929,0.00618,,1.024240913,0.998638339,1.021867253
Botswana,73.28424903,165804514.2,0.004926231,0.572106696,0.00281833,,Botswana,75.34024,152273472.5,0.00494,0.58405,0.00289,,1.002795004,1.020876009,1.025430014
Brazil,45.49115999,9455225149,0.003147102,0.588853562,0.001853182,,Brazil,44.29851,8875734349,0.00304,0.61897,0.00188,,0.965968102,1.051144189,1.014471251
Bulgaria,56.68404792,406877585.8,0.003342928,0.672340384,0.002247585,,Bulgaria,52.90785,384381598.6,0.00337,0.68535,0.00231,,1.008098409,1.019349746,1.027769701
Burkina Faso,5.15106825,93263026.77,0.003298749,0.697873431,0.002302109,,Burkina Faso,5.39003,91279256.77,0.00331,0.70176,0.00232,,1.003410805,1.00556916,1.007771563
Burundi,4.23968516,47395105.46,0.006120752,0.58685841,0.003592015,,Burundi,4.77122,48487676.25,0.00639,0.59037,0.00377,,1.043989413,1.005983709,1.049550292
Cambodia,116.1824471,1809878427,0.035440698,0.529260944,0.018757377,,Cambodia,106.20383,1607412857,0.03608,0.52542,0.01896,,1.018038648,0.992742816,1.010802303
Cameroon,17.46748589,407764117.3,0.005943796,0.436396602,0.002593852,,Cameroon,15.71423,349703796.4,0.00574,0.46637,0.00268,,0.965712844,1.068683849,1.033212256
Canada,57.01090479,2043942074,0.001329208,0.693260141,0.000921487,,Canada,58.41177,2053423561,0.00139,0.70161,0.00098,,1.04573546,1.012044338,1.063498494
Central African Republic,5.885639831,28841247.84,0.010469074,0.518202067,0.005425096,,Central African Republic,6.16649,28467090.21,0.01055,0.52308,0.00552,,1.007730004,1.009413188,1.017493555
Chad,10.33392023,145062115.9,0.005056862,0.474769366,0.002400843,,Chad,10.34938,132734069.9,0.00512,0.47594,0.00244,,1.0124857,1.002465691,1.01630971
Chile,435.8747156,7823140854,0.019682676,0.487945301,0.009604069,,Chile,389.46639,6862284103,0.01794,0.53859,0.00966,,0.911461451,1.103791756,1.005823675
China,65.89725156,90359629277,0.004917607,0.64362724,0.003165106,,China,55.37158,75160279266,0.0048,0.66681,0.0032,,0.976084433,1.036018923,1.011024574
Colombia,400.6163556,19321207631,0.030844717,0.435063955,0.013419425,,Colombia,365.69205,17670753658,0.03041,0.45125,0.01372,,0.985906277,1.037203829,1.022398537
Comoros,6.190872762,4881342.21,0.004540217,0.541993196,0.002460767,,,,,,,,,0,0,0
