country,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,40.048766654845124,116035934.847682,8.545994976505001e-07,2.4760875281096393,0.0,0.4454007900000001,49804.70362906775,800.9753330969024,895.7687570050241,895.7687570050241,800.9753330969023,1.7091989953010005e-05,0.03915627606447947,5.0,0.0,0.0,268807.79028458265,3.3226423989628535,0.0,1.0249285482196189,2.1059999999999994,2.1059999999999994,57.80675847356272,167487336.57151252,0.005803343285013013,0.692804227608801,0.004020580762122162
Angola,7488.011759834088,21471618.0,0.4405,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.43239739052511456,20.0,0.1256680312276769,1.351790414097182,5.40385567613299,116029524.80505925,3.931507748388611e-07,8.441583253744037,0.0,0.8968672100000002,37440.05879917044,108.0771135226598,146.09760604322437,146.09760604322437,108.07711352265979,7.863015496777222e-06,0.014943714595802716,5.0,0.0,0.0,86587.15251195725,3.3761938230389275,0.0,0.6470707249860601,3.1,3.1,17.333271493536138,372173384.1994974,0.0023148029209185154,0.3117620166595888,0.0007216676267950631
Argentina,18087.196261682242,41446246.0,0.91751,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.375,0.2695495148851759,20.0,0.15106190614207007,1.1979538860660952,24.645602792814497,1021467716.1692767,2.4330055260950056e-07,10.0838945553893,0.41031001446533694,0.24585111800000004,90435.98130841122,492.9120558562899,590.4859128018707,590.4859128018707,492.91205585628995,4.86601105219001e-06,0.01939874164859781,5.0,8.206200289306738,8.206200289306738,335507.8615034258,3.3706633330618248,3.200000000000001,0.7953285832135136,2.2890156499999996,1.9960216467999998,40.26932297211255,1669012266.1556277,0.002226399403727552,0.6120192984094158,0.001362599401048478
Armenia,7526.836419112871,2976566.0,0.62673,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,20.0,0.2696173557551283,1.289724411382942,20.70311872637763,61624199.29489896,6.495002334565683e-07,1.9332803118988837,0.20702945615957163,0.051470236,37634.18209556436,414.0623745275526,534.0263522633711,534.0263522633711,414.0623745275526,1.2990004669131366e-05,0.0863441369232471,5.0,4.140589123191433,4.140589123191433,102630.54602921395,3.261884408736717,1.6000000000000003,1.4931131340217918,1.25,1.1699999999999997,28.858415641002875,85898978.81087737,0.0038340697251932824,0.7174031652992773,0.002750573756831791
Australia,42834.0167597384,23129300.0,0.8942299999999999,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.27360239086009513,20.0,0.22516027695600005,1.201782492156731,33.39642231186174,772435870.5777438,7.165584431851847e-08,1.6573495199963089,0.9611722309543371,3.2620272,214170.08379869198,667.9284462372347,802.7047127013572,802.7047127013569,667.9284462372347,1.433116886370369e-06,0.00985770876668503,5.0,19.22344461908674,19.223444619086745,782778.5536720931,3.385593136367783,4.0,1.4082027200000002,2.8543999999999996,2.397696,43.20070063879492,999201965.2848793,0.001008560576541614,0.7730527935436124,0.0007796705711534511
Austria,44056.254416802,8479823.0,0.65968,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729006,20.0,0.473076769832,1.1627453167024924,46.653179379291686,395610703.5236434,8.611513799759437e-08,0.7302411278401748,4.242863458423775,2.7096414,220281.27208400998,933.0635875858338,1084.9153166510541,1084.9153166510541,933.0635875858338,1.7223027599518878e-06,0.021605791912394024,5.0,84.85726916847551,84.85726916847551,948349.7388571533,3.369820991594088,4.0,2.4207879200000004,1.5280000000000002,1.28352,54.16593622862079,459317551.8479918,0.001229472113452368,0.8613010801175918,0.0010589456592909829
Azerbaijan,16593.188760048204,9416801.0,0.5462,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.5982212831852317,20.0,0.428208034056247,1.5084382783151649,13.087481232445818,123242206.35717702,1.4650761584311575e-07,1.379633063379068,0.0,0.09986593600000003,82965.943800241,261.7496246489163,394.833153155052,394.833153155052,261.7496246489164,2.930152316862315e-06,0.039641810976087655,5.0,0.0,0.0,138687.71662300028,3.3243674728862995,0.0,2.4182056197257937,1.25,1.25,21.30830434742438,200656061.68713024,0.0012841597028492116,0.6141962785522047,0.0007887261105566908
Bangladesh,2853.447740155661,156594962.0,0.34277,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,20.0,0.0734057697595131,1.2169977389506987,27.866086808257457,4363688804.827776,3.7572185764232537e-06,588.3615002006935,1.4171990288794025,0.8749021000000001,14267.238700778307,557.3217361651491,678.2592927810642,678.2592927810642,557.321736165149,7.514437152846507e-05,0.15128608646578656,5.0,28.343980577588052,28.343980577588045,49246.80714085134,3.191252838223716,3.2000000000000006,0.36576154020410284,2.362140790448914,2.0597867692714527,38.9665008940328,6101957726.774032,0.013655936411825472,0.715129307710685,0.009765760352329884
Belarus,17054.558334452504,9466000.0,0.76667,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5166666666666667,0.3864445367538237,20.0,0.33536386098589716,1.308380406754342,27.886649465654134,263975023.84188202,2.704933206939271e-07,2.560489773688714,1.3427344825203855,0.38548716000000005,85272.79167226254,557.7329893130826,729.7269154177662,729.7269154177663,557.7329893130826,5.409866413878543e-06,0.046595227433576886,5.0,26.854689650407707,26.85468965040771,220659.84523565348,3.332414061952829,3.200000000000001,1.7709772480880686,1.8799999999999994,1.6393600000000004,40.99591513657675,388067332.6828355,0.0024038098397282724,0.6802299539539619,0.0016351434565924433
Belgium,40608.97200934282,11182817.0,0.9785799999999999,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.2166915174374668,20.0,0.46519935741750007,1.1480208379739567,13.203177015376646,147648712.38156322,3.076227066222438e-08,0.34400884332012405,0.0,2.1077302,203044.86004671405,264.0635403075329,303.1504468222236,303.1504468222236,264.0635403075329,6.152454132444877e-07,0.005063862048129992,5.0,0.0,0.0,937022.6506688666,3.3898962728657653,0.0,2.472036530000001,1.5400000000000005,1.5400000000000005,17.135553579649237,191623759.87491235,0.00042196472187739444,0.7705135964242898,0.0003251295554179264
Benin,1733.3093993643502,10323474.0,0.4395,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.3302533219458435,20.0,0.08292798928509816,1.255298588167888,2.6845078565456943,27713447.059845205,1.0537967253130264e-06,10.878843095054169,0.045796665860963176,0.44121735,8666.546996821753,53.69015713091388,67.39717844494827,67.39717844494827,53.69015713091389,2.107593450626053e-05,0.019106904420114094,5.0,0.9159333172192635,0.9159333172192633,26242.11906714123,3.3742327382748654,1.6000000000000005,0.38949999588377865,3.3937396016581687,3.1765402671520446,5.174198708536659,53415705.83841178,0.002985155858748688,0.5188258139596872,0.001548775918211817
Bolivia,5934.38797771874,10671200.0,0.68512,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.45,0.4218342004210295,20.0,0.25299094871638006,1.3418117485225833,10.632119855724387,113457477.40440609,6.535571520030602e-07,6.974239080455055,0.10537453517337775,0.9922858899999999,29671.939888593697,212.64239711448778,285.32606668222434,285.32606668222434,212.64239711448778,1.3071143040061204e-05,0.04083250444491936,5.0,2.107490703467555,2.107490703467555,70340.28976071253,3.334218359382375,2.4000000000000004,1.3539148475841705,2.255416846714412,2.038896829429828,20.329175993551157,216936702.8623831,0.003425656709652133,0.5229980722827683,0.0017916118554505965
Bosnia and Herzegovina,9387.350031380154,3829307.0,0.39766999999999997,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.32393223235700314,20.0,0.14001290809823436,1.2493272822979196,25.874116775867453,99079936.48864667,6.649901478159301e-07,2.546451427962576,0.0,0.3487670600000001,46936.75015690078,517.4823355173489,646.5047998690698,646.5047998690698,517.4823355173489,1.3299802956318602e-05,0.038943012660252886,5.0,0.0,0.0,144896.8193605759,3.3236921466748397,0.0,0.7562381074406394,2.4681242856999996,2.4681242856999996,41.1550004384894,157595131.26411054,0.0043840913890412034,0.6286992224563116,0.0027562748474676156
Botswana,15246.608797311901,2021144.0,0.57444,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.7083333333333333,0.2811780767140953,20.0,0.07042621696111831,1.2089389699717095,16.83008704874559,34016029.45804985,2.0623801922494597e-07,0.41683673512838415,0.15114613427134024,0.9543408499999999,76233.04398655951,336.60174097491176,406.9309620248939,406.9309620248939,336.6017409749117,4.1247603844989195e-06,0.011057889305620492,5.0,3.022922685426806,3.0229226854268054,271120.1558721594,3.3822623656912003,3.200000000000001,0.5033290597731997,3.2664034159574444,2.848303778714892,26.416765259701247,53392086.60405362,0.0017326321945348748,0.6370987092208399,0.0011038577346926398
