country,hazard,rp,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
Albania,earthquake,1.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,50.81180665875501,0.002259587527818563,0.0011323524132994683,0.5,95.99880955,30.377012645296023,0.0,0.0
Albania,earthquake,20.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,164.01558086127892,0.007293729258064202,0.003673659305391998,0.5,95.99880955,98.0540488809834,0.0,0.0
Albania,earthquake,50.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,347.5246380971901,0.015454328225874404,0.00784845673945532,0.5,95.99880955,207.76195573851555,0.0,0.0
Albania,earthquake,100.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,599.7914457074563,0.02667256606549561,0.013701743696710813,0.5,95.99880955,358.5755659734341,0.0,0.0
Albania,earthquake,250.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,1188.738645795617,0.052862891412519555,0.0279066731380407,0.5,95.99880955,710.6680759807941,0.0,0.0
Albania,earthquake,500.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,1901.9295017927866,0.08457829909302525,0.04619635901641145,0.5,95.99880955,1137.0376360445011,0.0,0.0
Albania,earthquake,1000.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,2897.099816936202,0.12883325832435338,0.0739429389123309,0.5,95.99880955,1731.984032073228,0.0,0.0
Albania,earthquake,1500.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,3627.5745979217663,0.16131727755212827,0.09617300633145864,0.5,95.99880955,2168.686505734337,0.0,0.0
Albania,earthquake,2000.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,2.5589957417165575e-11,1.1379786002407857e-15,5.689893001203934e-16,0.5,95.99880955,1.5298540067161468e-11,0.0,0.0
Albania,flood,1.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,13.851221511280034,0.0006132158939594278,0.00030679607921169094,0.5,95.99880955,8.243835096348514,0.0,0.0
Albania,flood,20.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,302.4002453406644,0.013387746100884435,0.006784704957786475,0.5,95.99880955,179.97963238502788,0.0,0.0
Albania,flood,50.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,676.1272712851605,0.02993324370372897,0.015428445263919016,0.5,95.99880955,402.41084326604346,0.0,0.0
Albania,flood,100.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,816.8950997437665,0.03616526228047861,0.01876113241469556,0.5,95.99880955,486.1916682090835,0.0,0.0
Albania,flood,250.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,1439.7010268040672,0.06373788416184066,0.03403848296520111,0.5,95.99880955,856.8672332148375,0.0,0.0
Albania,flood,500.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,1682.1034668324069,0.0744694307506287,0.04023067050666154,0.5,95.99880955,1001.1379562639753,0.0,0.0
Albania,flood,1000.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,1960.4659362022935,0.08679298577863824,0.047520980690583914,0.5,95.99880955,1166.811019295197,0.0,0.0
Albania,flood,1500.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,2094.6982544811212,0.09273566678944759,0.05110730323834192,0.5,95.99880955,1246.7021029508912,0.0,0.0
Albania,flood,2000.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,1.2920483798216982e-11,5.717648576819557e-16,2.85882428840978e-16,0.5,95.99880955,7.686583545939663e-12,0.0,0.0
Albania,surge,1.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,0.0,0.0,0.0,0.5,95.99880955,0.0,0.0,
Albania,surge,20.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,0.0,0.0,0.0,0.5,95.99880955,0.0,0.0,
Albania,surge,50.0,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,0.0,0.0,0.0,0.5,95.99880955,0.0,0.0,
