country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Belarus,16742.2554956,9507120.0,0.77046,4989.25461056,1.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.516666666667,0.386444536754,1.0,0.435313789819,1.10683021532,-44.2589360251,-420775015.863,-3.34198870597e-07,-3.17726876663,-2.42850126438,0.172373852,83711.277478,-44.2589360251,-48.9871276906,-48.9871276906,-44.2589360251,-3.34198870597e-07,0.00439646807559,1.0,-2.42850126438,-6.40953412885,-2.42850126438,216619.125169,3.39341559618,0.0,0.468455039971,-1.128,-1.128,-49.2586453638,-468307852.511,-0.00294217498811,0.898500876308,-0.00264354680507
Belgium,41945.6921229,11348159.0,0.97897,41096.1573022,1.0,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.216691517437,1.0,0.48314774691,1.0512778946,-15.1866112099,-172340078.681,-2.84691094063e-08,-0.323071980131,0.0,0.5792287,209728.460615,-15.1866112099,-15.9653486588,-15.9653486588,-15.1866112099,-2.84691094063e-08,0.000424923131024,1.0,0.0,-3.08392428779,0.0,967866.500246,3.39914428672,0.0,0.510175572,-0.924,-0.924,-16.6402946806,-188836709.842,-0.000396710456745,0.912640761565,-0.000362054133364
Belize,7831.45448606,366954.0,0.43845,4810.56590199,1.0,0.2,1.5,0.06,0.8,0.05,0.0,0.075,0.961548126505,1.0,0.150881730148,1.29503505078,-65.4338627785,-24011217.682,-2.2049953384e-06,-0.809131859407,0.0,0.2545334,39157.2724303,-65.4338627785,-84.7391458062,-84.7391458062,-65.4338627785,-2.2049953384e-06,0.0373110945579,1.0,0.0,-5.43580328281,0.0,40723.1539961,3.33504106118,0.0,0.199827947083,-1.08373891618,-1.08373891618,-103.97797167,-38155132.6163,-0.013276968136,0.629305051131,-0.00835526311172
Benin,2009.96138386,10872298.0,0.44395,789.440410686,1.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.25,0.330253321946,1.0,0.0827798384973,1.08844142672,-3.18537734964,-34632371.7878,-8.33014195649e-07,-9.05677857333,-0.072564721524,0.082372056,10049.8069193,-3.18537734964,-3.46709666709,-3.46709666709,-3.18537734964,-8.33014195649e-07,0.00152537215379,1.0,-0.072564721524,-0.435388329144,-0.072564721524,30430.6005465,3.39792032986,0.0,0.0773128577767,-2.03624376099,-2.03624376099,-5.1075020709,-55530284.5505,-0.00254109462596,0.623666384354,-0.00158479529767
Bhutan,8105.79696745,797765.0,0.39377,2804.00022299,1.0,0.2,1.5,0.06,0.8,0.05,0.6,0.416666666667,0.185575394278,1.0,0.0440194671464,1.04109502503,-125.020806612,-99737223.7871,-2.48265345975e-06,-1.98057403732,-8.14554697196,0.24155478,40528.9848373,-125.020806612,-130.15853979,-130.15853979,-125.020806612,-2.48265345975e-06,0.0069210585576,1.0,-8.14554697196,-32.5821878878,-8.14554697196,218396.328861,3.38911082494,0.0,0.0437383708861,-2.03733738394,-2.03733738394,-123.273177467,-98343026.4217,-0.0152080267939,1.01417688082,-0.0154236291773
Bolivia,6707.95618416,10887882.0,0.68911,3104.95608914,1.0,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.45,0.421834200421,1.0,0.170332203809,1.11841161726,-20.9313826906,-227898424.832,-6.6122426958e-07,-7.19933182273,-0.327545253711,0.27343408,33539.7809208,-20.9313826906,-23.4099015664,-23.4099015664,-20.9313826906,-6.6122426958e-07,0.0045757696314,1.0,-0.327545253711,-1.36477189046,-0.327545253711,79509.3922857,3.39245373776,0.0,0.212637275419,-1.35325010803,-1.35325010803,-24.7179030844,-269125612.07,-0.0036848635271,0.846810614117,-0.00312038154632
Bosnia and Herzegovina,11179.3499097,3516816.0,0.3994,4708.71826066,1.0,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.323932232357,1.0,0.143200371171,1.08637282613,-40.8393992584,-143624652.742,-5.27415135566e-07,-1.8548219874,0.0,0.099768162,55896.7495485,-40.8393992584,-44.3668135898,-44.3668135898,-40.8393992584,-5.27415135566e-07,0.00375847931083,1.0,0.0,-6.11253422306,0.0,172556.923841,3.39246593662,0.0,0.154760071983,-1.4808566244,-1.4808566244,-42.4192625771,-149180741.339,-0.00379443016989,0.962755992851,-0.00365311038552
Botswana,15513.4419328,2250260.0,0.5771,6788.04274538,1.0,0.2,1.5,0.06,0.8,0.05,0.6,0.708333333333,0.281178076714,1.0,0.0831001334421,1.0723813662,-29.1517550412,-65599028.299,-2.43295193696e-07,-0.547477442566,-0.76133432193,0.30619332,77567.209664,-29.1517550412,-31.2617988983,-31.2617988983,-29.1517550412,-2.43295193696e-07,0.00128399374478,1.0,-0.76133432193,-1.79137487513,-0.76133432193,275865.069462,3.39792845402,0.0,0.112198325649,-1.95984204957,-1.95984204957,-31.9866922688,-71978374.1449,-0.00206186946826,0.911371353943,-0.00187912876894
Brazil,14023.6916227,207652865.0,0.85933,8649.94849175,1.0,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.558333333333,0.265575010188,1.0,0.213762613761,1.06727520338,-16.2097616491,-3366003447.41,-1.50700570302e-07,-31.2934051804,-0.865102331163,0.145584762,70118.4581136,-16.2097616491,-17.3002766609,-17.3002766609,-16.2097616491,-1.50700570302e-07,0.000753112095286,1.0,-0.865102331163,-1.78781193581,-0.865102331163,264025.06043,3.39892672772,0.0,0.20715625943,-1.98159092399,-1.98159092399,-17.0291063168,-3536142715.08,-0.00121430981049,0.951885633195,-0.00115588406286
Bulgaria,17709.075186,7127822.0,0.74266,7350.7958009,1.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.716666666667,0.323078471507,1.0,0.43909310688,1.08609342964,-26.2662986569,-187221501.425,-1.8124115108e-07,-1.29185466397,-1.08198395893,0.171487506,88545.37593,-26.2662986569,-28.5276543924,-28.5276543924,-26.2662986569,-1.8124115108e-07,0.00164648529932,1.0,-1.08198395893,-2.26461758846,-1.08198395893,274067.707195,3.39737797707,0.0,0.4733378346,-1.34479347312,-1.34479347312,-29.0579416329,-207119835.645,-0.00164085031701,0.903928398948,-0.00148321119997
Burkina Faso,1594.57677663,18646433.0,0.30688,649.730483656,1.0,0.2,1.5,0.06,0.8,0.05,0.8,0.416666666667,0.405665091881,1.0,0.0372065918619,1.11312021504,-2.48659640707,-46366153.3025,-5.79429303478e-07,-10.8042896855,-0.226191670133,0.098161232,7972.88388314,-2.48659640707,-2.76788072735,-2.76788072735,-2.48659640707,-5.79429303478e-07,0.00145533759266,1.0,-0.226191670133,-0.678575010399,-0.226191670133,19653.8574374,3.39773280392,0.0,0.0362036792661,-2.03624376099,-2.03624376099,-2.510394662,-46809905.8686,-0.00157433288807,0.990520114112,-0.00155940839194
