country,_dw_tot_curr,_bbb_complete1_dw_tot_curr,_bbb_incl1_dw_tot_curr,_bbb_fast1_dw_tot_curr,_bbb_fast2_dw_tot_curr,_bbb_fast4_dw_tot_curr,_bbb_fast5_dw_tot_curr,_bbb_50yrstand1_dw_tot_curr
Paraguay,180577723.15585563,128432521.86496931,153692662.8423501,148897700.17625585,164983656.94773343,195702574.52213377,210379487.81436524,172166886.0133303
Peru,14575823599.394258,7275137375.348468,11727905333.205685,12493826066.956411,13550835517.742458,15570265877.964098,16535546285.972086,8480530248.071225
Philippines,39984272464.36143,22467018064.79447,36185452352.870964,35136190471.567986,37602037315.36706,42287153853.04407,44514652889.04856,26955815827.55042
Poland,1196797473.273058,919807523.7528411,1065568786.101157,980904712.0185364,1090855008.0646837,1298947712.6582909,1397506115.8645582,1159040636.7266521
Portugal,140378977.63599253,122218657.46377386,130794177.28520355,129523109.73942392,135054384.7227253,145508262.08064893,150452792.3719838,138116807.45002294
Romania,2174314310.401263,1781658573.842916,1951760885.0237467,1921965753.389471,2050390826.0211484,2293970149.2507634,2409576266.8864293,2085240332.5883396
Russian Federation,12011271404.067633,9532756758.59776,9066268689.877865,10291457606.96343,11166418644.972963,12827554175.85478,13616701556.974655,11125771091.880743
Rwanda,112715448.22200708,75489457.60527651,108048239.7390921,82835301.25038277,97962397.56208575,127109131.22192913,141157315.57781774,107192363.1766812
Senegal,72364792.55248585,60883936.208214514,65093414.09271793,65114610.955157556,68792244.47949316,75836854.12076382,79212754.47729437,71437488.02964577
Serbia,1651379653.8314393,1289130211.559311,1501264295.7425637,1498331789.914678,1576158475.7171767,1724125385.8764737,1794517134.6393945,1485487299.017774
Sierra Leone,67790861.27654609,47415522.26592161,61143661.28073773,55842072.141259134,61890041.17047698,73550080.73951292,79172959.29502682,61773314.57675146
Slovak Republic,637255649.9134506,514030950.4032601,600834779.1146221,553675882.6906778,596197817.299937,676924365.4375428,715273874.0691096,612232261.9397442
Slovenia,391373742.21947104,324885028.8836688,372522146.2115573,354558772.65867114,373293669.9521844,408832903.4290804,425702754.7913202,371223256.3839309
South Africa,2755625989.6617517,2176463561.520616,2629954058.684731,2269936302.854816,2516674267.583944,2987168948.9292116,3211655854.6165676,2705278500.324886
Spain,999128174.5731475,867024636.9043813,924112288.5707496,924207397.8361199,962381258.0458175,1034526693.5693423,1068649709.0247874,978092310.1072888
Sri Lanka,552713321.7907412,459508690.51940227,526133049.9999804,467676963.79317456,510775635.59622663,593538118.5645854,633295399.1375021,543078438.5821788
Sudan,559666486.0043398,344588555.5986177,527461140.1467321,385095410.1154647,473462554.12407184,643789876.2151343,725911017.9389764,525580996.0253927
Swaziland,87035248.74054156,66711154.460440464,63429879.6512917,79815716.69801831,83483407.70992917,90476710.50695091,93812920.61259618,83536565.1784402
Sweden,49999636.225083575,41823556.575816296,48022572.19953594,42262122.18120647,46202197.54273557,53662061.127454415,57196558.01509124,49875319.45378566
Tajikistan,485884014.56385,251929898.67208195,402568130.3456492,406800019.3965686,447035408.1503311,523416714.75813144,559699611.4232594,334650346.6695013
Tanzania,586167033.3491462,431895299.3887565,515366193.17469025,482857964.39626384,535242516.4847557,635693801.698846,683881505.10833,568073634.0153819
Thailand,10559214890.463863,6855212814.240724,8382010073.401911,9323569993.247622,9951684843.098242,11147170274.950905,11716495237.433392,8404240942.400269
Togo,51607309.78699766,40123160.28247065,41862791.683534235,43263431.71392164,47485199.854619764,55633507.70710696,59567340.68291338,49391835.08648589
Tunisia,593363294.628149,441143174.9098385,441495602.8232729,526012538.6499725,560233090.9444505,625455322.0948226,656558017.8772427,551824993.0325798
Turkey,9621728308.071188,6332255942.413899,8353084528.288846,7724756965.13187,8687963805.602892,10527422419.885843,11406331930.313,8790210046.071457
Uganda,244750630.75183663,164254210.11760634,204095776.92088234,185905976.5257857,215722267.6219088,273023656.4154458,300572077.96752024,235483543.74086556
Ukraine,2669299643.907605,2223436950.1315093,2324983344.5732155,2400111270.663728,2537048715.2387094,2797102613.0408835,2920680131.10497,2472801343.2360163
United Kingdom,1786505649.8365078,1527672464.2713218,1737957546.70361,1552960450.1878166,1671908105.5618794,1896987805.7604785,2003572651.1574829,1773371878.399807
United States,60161217197.344055,50642695743.92506,58585528245.56606,51642476508.08047,55968697339.10239,64226397944.23777,68170192078.14749,59361364823.79683
Uruguay,54414277.04887089,44446831.12558157,48048007.57610685,47397676.566893674,50968385.582340926,57741819.42673352,60957039.54899174,53904121.3247269
West Bank and Gaza,35426865.40643032,28746786.463984378,30520926.994966168,30980520.47142044,33233033.23715414,37564374.99021126,39647789.998805486,34955063.31160129
"Yemen, Rep.",463976964.0976653,388005057.63270426,401997914.24427646,421830403.89631075,443252303.3784778,484038054.2919125,503467097.3454879,444462778.48164797
Zambia,268657288.89759725,160011069.79612207,201030899.97823521,212330657.72821465,240880942.30413997,295691875.38589203,322015059.3860176,257545671.90911424
