province,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,axfin_p,axfin_r,urbanization_rate,pi,rho,shareable,T_rebuild_K,income_elast,max_increased_spending,share1,finance_pre,prepare_scaleup,rating,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Abra,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,0.02968233433951416,0.06316269830617667,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.5344536032408284,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1,0.21858467824697989,1.2018342573076888,14.589490800150692,746500.4757713105,0.00013040360356701572,6.6723611837134955,0.0,0.8557440533720002,868.4474351317812,14.589490800150696,17.534149840296465,17.534149840296465,14.589490800150692,0.00013040360356701572,0.10183548885291915,5.0,0.0,0.0,3173.4866552905205,2.917474086198855,0.21623266124142537,1.0621700555413223,1.1918985379682812,1.1820382614448357,20.310612318989968,1039233.1005257596,0.11693633660112061,0.7183186095531864,0.08399754671356034
Agusan del Norte,141357,82.34842550798723,234.81632362665314,0.2767785,192.61648748721595,0.05712460063897764,0.2491000860787229,0.14733560328849124,0.2265208726341895,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.4275253202997628,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1,0.23713168275577798,1.2018342573076888,16.11981424371395,2278648.5820486727,0.00013144205989793048,18.58025526099176,0.0,0.8512270871480001,963.0824374360795,16.119814243713947,19.37334497953185,19.37334497953185,16.11981424371395,0.00013144205989793048,0.10563545724278779,4.999999999999999,0.0,0.0,3519.3025386554223,2.8939783794225855,0.7838615967277534,1.1081431715277557,1.1918985379682814,1.1571465382787094,23.90824515169493,3379597.8099081405,0.1241235652440279,0.6742366134124722,0.08368865227481541
Agusan del Sur,141595,83.30408110359977,216.087522244498,0.37295759999999994,166.5649287168474,0.07623700505595637,0.1391886108170207,0.12644386776901576,0.11333413685486968,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.5001297796921754,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1,0.13448785819978615,1.2018342573076888,13.837025726564756,1959253.6577529365,0.0001439942661728034,20.3888681187381,0.0,0.7615042977728,832.8246435842368,13.837025726564752,16.629811537433334,16.629811537433334,13.837025726564756,0.0001439942661728034,0.10578141042801684,4.999999999999999,0.0,0.0,3043.31360275203,2.5687278696439866,0.4628413240649119,0.6672679829435573,1.1918985379682814,1.1709895328429287,21.06171163957411,2982233.059605496,0.12644745686757408,0.656975366644254,0.08307286433680798
Aklan,123269,79.44585903031265,211.61951034517918,0.2044606,184.5952062931508,0.07756705284875416,0.12851680008157856,0.18418347295253293,0.2395421529618196,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.4303787764897143,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1,0.25521758726123794,1.2018342573076888,15.716865326667492,1937402.271952975,0.00012839998331180735,15.82773754286318,0.0,0.9186904311568003,922.9760314657542,15.716865326667492,18.889067167080395,18.889067167080395,15.716865326667492,0.00012839998331180735,0.1037137179545834,4.999999999999999,0.0,0.0,3372.7454311211254,3.257416810837139,0.47239833677002785,1.2329864632752439,1.1918985379682812,1.1698900320022028,21.911329539772577,2700987.681038226,0.11869934208895853,0.7172940052833792,0.08514232651149105
Albay,267030,76.58221031242061,224.00858474710728,0.33910619999999997,174.01538713278356,0.08152311956797828,0.17277507678010856,0.20180436413230068,0.21355415229826646,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.4400887276363905,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1,0.23120479438060665,1.2018342573076888,14.618047311196772,3903457.173508875,0.0001425288686746957,38.05948380220399,0.0,0.7930833209936001,870.0769356639178,14.618047311196774,17.56847003354083,17.56847003354083,14.618047311196772,0.0001425288686746957,0.10709708297037704,5.0,0.0,0.0,3179.4411874640664,2.6620737580703224,0.5673238893093617,1.1271569635118641,1.1918985379682814,1.1663762652110947,22.261657277104764,5944530.342705285,0.12792924605062575,0.6566468582835859,0.08400433750173124
Antique,121378,73.00738257920132,204.4395375188618,0.23561100000000001,173.47267606137342,0.023393244282816982,0.1722569519292951,0.2431943617591732,0.3512885692024434,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.4208581099733068,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1,0.3609085479250696,1.2018342573076888,14.760567912463275,1791608.2120789676,0.00013495596477907572,16.380685092954653,0.0,0.8896310952080002,867.3633803068672,14.760567912463276,17.739756174515005,17.739756174515005,14.760567912463275,0.00013495596477907572,0.10476411949200462,5.0,0.0,0.0,3169.52529461249,3.0883018227756645,0.548732099628003,1.7180650339834347,1.1918985379682814,1.1674662309881283,20.980306750562143,2546547.672769732,0.12094300512859707,0.7035439513803955,0.08508871971999261
Apayao,24614,67.65457836874164,181.0193100789096,0.5469357,119.01609118569668,0.0,0.04779411764705882,0.0970280339888075,0.11781716855981995,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.5684490029434972,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1,0.12774154918877045,1.2018342573076888,9.855924352559743,242593.7220139055,0.00018668067366461066,4.594958101580728,0.0,0.5992049996696003,595.0804559284835,9.85592435255974,11.845187524339401,11.845187524339401,9.855924352559743,0.00018668067366461066,0.10997723530703951,4.999999999999999,0.0,0.0,2174.547139317277,2.4319928133997237,0.0866152338235294,0.5921547434211052,1.1918985379682814,1.1890576939426414,16.49229080489039,405941.2458715721,0.13857194132815237,0.5976079653917578,0.08281169591750316
Aurora,47135,67.26519313472515,202.1915723228324,0.27132540000000005,165.58261851906752,0.0,0.07072148139521342,0.08244081427735074,0.1351519451347849,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.40623341831606136,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1,0.14947411814742156,1.2018342573076888,14.325614471524247,675237.8381152955,0.0001486395629782751,7.006125800980996,0.0,0.8563141314512002,827.9130925953376,14.32561447152425,17.21701422886063,17.21701422886063,14.325614471524247,0.0001486395629782751,0.10624254133425716,4.999999999999999,0.0,0.0,3025.3657789811123,2.9173880584163254,0.20613178866825838,0.689881795497316,1.1918985379682814,1.183016933338572,21.549127298047615,1015718.1151934743,0.1301412400092353,0.6647886140995682,0.08651641458293882
Basilan,52418,102.81856749049429,142.411081804131,0.3211191,129.69716924099885,0.0,0.042012083743150214,0.10088407543954113,0.09404484786987756,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.7927587632960621,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1,0.11322480576091679,1.2018342573076888,10.331902419495412,541577.6610251105,0.00013521883629718888,7.087900961026046,0.0,0.8098629829448001,648.4858462049943,10.331902419495412,12.41723427090978,12.41723427090978,10.331902419495412,0.00013521883629718888,0.0943781921285243,4.999999999999999,0.0,0.0,2369.7014877636766,2.7288164467892524,0.11408480488970074,0.5621915706531955,1.1918985379682814,1.1871244871827815,13.589581475116388,712338.6817626508,0.10477932212895635,0.7602811343685567,0.07966174188657135
Bataan,159358,109.54218999437886,289.07467826880884,0.0446542,281.05779863090487,0.0,0.16199209153847166,0.03139821189272194,0.2760261249819631,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.3897496903767954,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,1,0.29363243706391595,1.2018342573076888,24.06163324021538,3834413.749894242,9.607370206293582e-05,15.310113013345333,0.0,1.0677693471376002,1405.2889931545242,24.061633240215382,28.918095114864244,28.918095114864244,24.06163324021538,9.607370206293582e-05,0.10181967644025229,4.999999999999998,0.0,0.0,5135.216808977981,4.417870156508514,0.6190338571379776,1.4322892408402281,1.1918985379682814,1.1627421065784953,30.801448021773695,4908457.153853812,0.10959115232459091,0.7811851320498339,0.08561097880017901
