country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11424.6283187,2876101.0,0.58376,4146.89625046,1.5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1,0.183943312586,1.0608996382,33.804273678,97224505.3294,5.00987154688e-07,1.44088965659,0.0,0.43043599,57123.1415934,33.804273678,35.8629417146,35.8629417146,33.804273678,5.00987154688e-07,0.00273839280594,5.0,0.0,0.0,308307.134608,3.39441391706,0.0,0.958954507668,1.053,1.053,41.6243070412,119715711.106,0.00364338391414,0.812128202986,0.00295889483098
Algeria,13974.6662247,40606052.0,0.71304,3843.75232202,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1,0.145444582109,1.11127526469,21.8843337426,888636393.939,3.41130462358e-07,13.8519612933,0.0,0.7609223,69873.3311234,21.8843337426,24.3195187723,24.3195187723,21.8843337426,3.41130462358e-07,0.00656780563984,5.0,0.0,0.0,241851.172375,3.39023776481,0.0,0.781313482301,0.4751962,0.4751962,38.3455640374,1557061967.27,0.00274393416064,0.570713569926,0.00156600046046
Angola,6024.72613816,28813463.0,0.44819,3110.80818263,1.5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,1,0.127358535734,1.18102545401,2.08746557544,60147112.1218,1.13078084469e-07,3.25817120296,0.0,0.9285816,30123.6306908,2.08746557544,2.46534997898,2.46534997898,2.08746557544,1.13078084469e-07,0.000726696639151,5.0,0.0,0.0,69666.5413596,3.39882784586,0.0,0.650242163989,1.55,1.55,3.59798233064,103670330.759,0.000597202635959,0.58017671673,0.000346483064553
Antigua and Barbuda,20777.613083,100963.0,0.23393,14353.3788139,1.5,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.416666666667,0.400510641609,1,0.139014907013,1.16552504143,565.713179983,57116099.7906,6.07960669174e-06,0.613815330418,0.0,0.612,83110.4523321,565.713179983,659.352877535,659.352877535,565.713179983,6.07960669174e-06,0.0286132440259,4.0,0.0,0.0,207511.221171,2.67530266531,0.0,0.655619839887,1.61837960135,1.61837960135,1238.91920504,125084999.699,0.0596276001527,0.456618298982,0.0272270533541
Argentina,10405.0,43847430.0,0.91893,12449.2168521,1.5,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,1,0.154097673055,1.10186375371,17.2084796558,754547607.116,3.72615125685e-07,16.3382156404,0.0,0.25375402,52024.9999999,17.2084796558,18.9613999892,18.9613999892,17.2084796558,3.72615125685e-07,0.0021791600788,5.0,0.0,0.0,193007.21065,3.39666025681,0.0,0.80813310877,1.144731475,1.144731475,26.9100279216,1179935565.59,0.00258625929088,0.639482043869,0.00165386637731
Armenia,8174.36673173,2924816.0,0.62558,3606.15205715,1.5,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.366695721222,1,0.353665438477,1.14908732873,18.824721759,55058847.3964,4.65386257535e-07,1.36116917222,0.0,0.104657299,40871.8336587,18.824721759,21.6312492401,21.6312492401,18.824721759,4.65386257535e-07,0.00704547758887,5.0,0.0,0.0,111459.80521,3.38759279902,0.0,2.01281659769,0.625,0.625,23.4023378296,68447532.1214,0.00286289306531,0.804394923965,0.00230289664959
Australia,44414.029479,24127159.0,0.89554,49927.8195095,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.27360239086,1,0.22769110058,1.10383389027,38.0394057122,917782789.884,6.95191979776e-08,1.67730074316,0.0,3.2968296,222070.147395,38.0394057122,41.9891851908,41.9891851908,38.0394057122,6.95191979776e-08,0.000762882520458,5.0,0.0,0.0,811652.802803,3.39887432065,0.0,1.41168296,1.4272,1.4272,44.252527789,1067687774.12,0.000996363723536,0.859598482003,0.000856472744275
Austria,44143.7001647,8747358.0,0.66032,44176.515216,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.891666666667,0.232278518207,1,0.4838857587,1.08374601372,29.2253237028,255644369.094,5.38154592422e-08,0.470743087926,0.0,3.2262707,220718.500823,29.2253237028,31.6728280625,31.6728280625,29.2253237028,5.38154592422e-08,0.00100936909536,5.0,0.0,0.0,950232.085718,3.39849930261,0.0,2.47245085,0.764,0.764,33.9682245536,297132220.795,0.000769492009662,0.860372424135,0.000662049705705
Azerbaijan,15994.0097416,9762274.0,0.54895,3876.93643264,1.5,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.598221283185,1,0.4315486726,1.26163382083,15.1057351063,147466325.079,1.47901701575e-07,1.44385693584,0.0,0.2857465,79970.048708,15.1057351063,19.0579062985,19.0579062985,15.1057351063,1.47901701575e-07,0.00473717816683,5.0,0.0,0.0,133679.711765,3.39038279163,0.0,2.42991679424,0.625,0.625,20.3541649534,198702935.317,0.00127261176417,0.742144673624,0.000944462042371
Bangladesh,3319.35355607,162951560.0,0.35035,1358.77975225,1.5,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.616666666667,0.289708907625,1,0.147886692351,1.11166340139,25.9804568689,4233555976.3,2.2119738282e-06,360.444585984,0.0,0.43689639,16596.7677804,25.9804568689,28.8815230525,28.8815230525,25.9804568689,2.2119738282e-06,0.00918715193504,5.0,0.0,0.0,57287.7372547,3.38592018334,0.0,0.690230321622,1.17830214513,1.17830214513,28.7827234753,4690189691.35,0.00867118340637,0.902640672318,0.00782696281972
