country,hazard,rp,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,aid,need
Albania,tsunami,1000,11424.6283187,2876101.0,0.58376,4146.89625046,1.5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1,0.183943312586,1.0608996382,0.0,0.0,0.0,0.5,99.9654977884,0,0.0
Albania,tsunami,1500,11424.6283187,2876101.0,0.58376,4146.89625046,1.5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1,0.183943312586,1.0608996382,0.0,0.0,0.0,0.5,99.9654977884,0,0.0
Albania,wind,1,11424.6283187,2876101.0,0.58376,4146.89625046,1.5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1,0.183943312586,1.0608996382,0.0,0.0,0.0,0.5,99.9654977884,0,0.0
Albania,wind,20,11424.6283187,2876101.0,0.58376,4146.89625046,1.5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1,0.183943312586,1.0608996382,0.0,0.0,0.0,0.5,99.9654977884,0,0.0
Albania,wind,50,11424.6283187,2876101.0,0.58376,4146.89625046,1.5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1,0.183943312586,1.0608996382,0.0,0.0,0.0,0.5,99.9654977884,0,0.0
Albania,wind,100,11424.6283187,2876101.0,0.58376,4146.89625046,1.5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1,0.183943312586,1.0608996382,0.0,0.0,0.0,0.5,99.9654977884,0,0.0
Albania,wind,250,11424.6283187,2876101.0,0.58376,4146.89625046,1.5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1,0.183943312586,1.0608996382,0.0,0.0,0.0,0.5,99.9654977884,0,0.0
Albania,wind,500,11424.6283187,2876101.0,0.58376,4146.89625046,1.5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1,0.183943312586,1.0608996382,0.0,0.0,0.0,0.5,99.9654977884,0,0.0
Albania,wind,1000,11424.6283187,2876101.0,0.58376,4146.89625046,1.5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1,0.183943312586,1.0608996382,0.0,0.0,0.0,0.5,99.9654977884,0,0.0
Albania,wind,1500,11424.6283187,2876101.0,0.58376,4146.89625046,1.5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1,0.183943312586,1.0608996382,0.0,0.0,0.0,0.5,99.9654977884,0,0.0
Algeria,earthquake,1,13974.6662247,40606052.0,0.71304,3843.75232202,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1,0.145444582109,1.11127526469,19.5905411296,0.00588843149453,0.000592331050265,0.1,349.366655617,0,0.0
Algeria,earthquake,20,13974.6662247,40606052.0,0.71304,3843.75232202,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1,0.145444582109,1.11127526469,77.0914478149,0.023171780007,0.00237214481858,0.1,349.366655617,0,0.0
Algeria,earthquake,50,13974.6662247,40606052.0,0.71304,3843.75232202,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1,0.145444582109,1.11127526469,148.680772944,0.0446897581972,0.00467803612289,0.1,349.366655617,0,0.0
Algeria,earthquake,100,13974.6662247,40606052.0,0.71304,3843.75232202,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1,0.145444582109,1.11127526469,229.642688503,0.0690249049541,0.00741425901954,0.1,349.366655617,0,0.0
Algeria,earthquake,250,13974.6662247,40606052.0,0.71304,3843.75232202,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1,0.145444582109,1.11127526469,376.582650853,0.113191418599,0.0127639065491,0.1,349.366655617,0,0.0
Algeria,earthquake,500,13974.6662247,40606052.0,0.71304,3843.75232202,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1,0.145444582109,1.11127526469,510.126176144,0.153331295033,0.0181099518777,0.1,349.366655617,0,0.0
Algeria,earthquake,1000,13974.6662247,40606052.0,0.71304,3843.75232202,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1,0.145444582109,1.11127526469,659.650439451,0.198274585544,0.0247309841959,0.1,349.366655617,0,0.0
Algeria,earthquake,1500,13974.6662247,40606052.0,0.71304,3843.75232202,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1,0.145444582109,1.11127526469,752.692192595,0.226240632316,0.0292391461435,0.1,349.366655617,0,0.0
Algeria,flood,1,13974.6662247,40606052.0,0.71304,3843.75232202,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1,0.145444582109,1.11127526469,2.29379261308,0.000679374145306,6.79836008313e-05,0.1,349.366655617,0,0.0
Algeria,flood,20,13974.6662247,40606052.0,0.71304,3843.75232202,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1,0.145444582109,1.11127526469,19.3523985587,0.00573178200831,0.000576482472696,0.1,349.366655617,0,0.0
Algeria,flood,50,13974.6662247,40606052.0,0.71304,3843.75232202,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1,0.145444582109,1.11127526469,46.0949130142,0.0136523641908,0.00138413310837,0.1,349.366655617,0,0.0
Algeria,flood,100,13974.6662247,40606052.0,0.71304,3843.75232202,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1,0.145444582109,1.11127526469,64.7821591566,0.0191871417482,0.00195624900171,0.1,349.366655617,0,0.0
Algeria,flood,250,13974.6662247,40606052.0,0.71304,3843.75232202,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1,0.145444582109,1.11127526469,137.90454351,0.0408444864835,0.00425837999239,0.1,349.366655617,0,0.0
Algeria,flood,500,13974.6662247,40606052.0,0.71304,3843.75232202,1.5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1,0.145444582109,1.11127526469,171.67505351,0.0508466162477,0.00535704946304,0.1,349.366655617,0,0.0
