country,hazard,rp,gdp_pc_pp,gdp_pc_pp_A,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
Albania,earthquake,1.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.1548706449607842,55.3791325669156,0.002259587527818563,0.0011323524132994683,0.5,99.392741,25.575196299008596,0.0,0.0
Albania,earthquake,20.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.1548706449607842,178.75846565655223,0.007293729258064202,0.003673659305391998,0.5,99.392741,82.55425170756769,0.0,0.0
Albania,earthquake,50.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.1548706449607842,378.7626197333329,0.015454328225874404,0.00784845673945532,0.5,99.392741,174.920189273493,0.0,0.0
Albania,earthquake,100.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.1548706449607842,653.7049589165117,0.02667256606549561,0.013701743696710813,0.5,99.392741,301.89408665301346,0.0,0.0
Albania,earthquake,250.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.1548706449607842,1295.5909144314649,0.052862891412519555,0.0279066731380407,0.5,99.392741,598.3299200246439,0.0,0.0
Albania,earthquake,500.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.1548706449607842,2072.8884276851886,0.08457829909302525,0.04619635901641145,0.5,99.392741,957.3015319431661,0.0,0.0
Albania,earthquake,1000.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.1548706449607842,3157.5117157156383,0.12883325832435338,0.0739429389123309,0.5,99.392741,1458.2023625644624,0.0,0.0
Albania,earthquake,1500.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.1548706449607842,3953.646755838602,0.16131727755212827,0.09617300633145864,0.5,99.392741,1825.873522943527,0.0,0.0
Albania,earthquake,2000.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.1548706449607842,2.7890164459302075e-11,1.1379786002407857e-15,5.689893001203934e-16,0.5,99.392741,1.2880238418259704e-11,0.0,0.0
Albania,flood,1.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.1548706449607842,15.141517085353275,0.0006132158939594278,0.00030679607921169094,0.5,99.392741,6.9406989853697345,0.0,0.0
Albania,flood,20.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.1548706449607842,330.57001346140135,0.013387746100884435,0.006784704957786475,0.5,99.392741,151.52952931279387,0.0,0.0
Albania,flood,50.0,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.1548706449607842,739.1111767074368,0.02993324370372897,0.015428445263919016,0.5,99.392741,338.80014567437564,0.0,0.0
