country,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,10397.287390497699,2889167.0,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796308639054,1.118347494599629,100.04935798498859,289059303.4614155,2.0251607868032557e-06,5.851027714926001,0.0,0.06921410719200001,41797.09530980076,100.04935798498857,111.88994883881335,111.88994883881335,100.04935798498859,2.0251607868032557e-06,0.004686977053913064,0.8039999999999997,0.0,59.71328643660016,0.0,225588.8302080824,2.7241653622547863,0.0,0.1541998848328225,1.6932239999999996,1.6932239999999996,146.0918366940971,422083713.5459745,0.014050956870501967,0.6848387989979395,0.009622640427966414
Angola,6937.0062661166285,25021974.0,0.4405,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.43239739052511456,1.0,0.1273640629194239,1.351790414097182,10.195116058916136,255101928.95318207,8.34505945336149e-07,20.880986067046546,0.0,0.14931592128000004,27886.76518978884,10.195116058916136,13.781660159051075,13.781660159051075,10.195116058916136,8.34505945336149e-07,0.0015207068703416513,0.8039999999999997,0.0,3.565645019086892,0.0,64493.370683672336,2.731162099153431,0.0,0.10455893996895851,2.492399999999999,2.492399999999999,32.807652782107674,820912234.9149259,0.004729367615300363,0.31075420502122153,0.0014696708735457745
Argentina,18087.196261682246,43416755.0,0.91751,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.375,0.2695495148851759,1.0,0.1540729067766664,1.1979538860660952,78.50625662513333,3408486909.8605404,7.753058676955233e-07,33.66126490779895,6.593376576986754,0.040803646416,72710.52897196263,78.50625662513332,94.0468752045806,94.04687520458062,78.50625662513333,7.753058676955233e-07,0.003040221125954212,0.8039999999999999,6.593376576986753,23.975914825406374,6.593376576986753,269748.3206487545,2.7289601692104313,2.4160000000000004,0.12994780389012126,1.8403685825999996,1.6191581101839996,128.32294071487388,5571365677.897204,0.007094683933226635,0.6117866079734697,0.004340432618152598
Armenia,7899.28441030032,3017712.0,0.62673,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.354825727178863,1.289724411382942,55.57744999293598,167716737.77308282,1.6128225011630789e-06,4.867033815629837,1.649190150299231,0.016828893679199996,31755.12332940728,55.57744999293598,71.67959397830424,71.67959397830424,55.57744999293598,1.6128225011630789e-06,0.011008806578264241,0.8039999999999997,1.649190150299231,9.701118531171948,1.6491901502992308,86598.0198067389,2.7149112346018223,1.2080000000000002,0.32366090890790006,1.0049999999999997,0.9445999999999998,77.04594871655044,232502483.99331886,0.00975353522099874,0.7213546061637014,0.007035757558047337
Australia,43654.58052435929,23781169.0,0.8942299999999999,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.27360239086009513,1.0,0.22678751371399994,1.201782492156731,85.49309002806255,2033125622.2895696,1.7862553852258674e-07,4.247924119321644,11.647048829106431,0.53013019968,175491.4137079244,85.49309002806254,102.7440987961048,102.7440987961048,85.49309002806255,1.7862553852258674e-07,0.001246291698950492,0.8039999999999999,11.64704882910643,15.882339312417855,11.647048829106433,641410.3807947378,2.731769034191811,3.0199999999999996,0.226998619968,2.2949375999999995,1.9501260799999998,110.80687448060273,2635117008.3850007,0.0025382645566545394,0.771550415340237,0.0019583990729302126
Austria,43892.7295366914,8611088.0,0.65968,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729006,1.0,0.4836005980600002,1.1627453167024924,96.62345625303982,832033084.6590762,1.892380185402799e-07,1.6295452305959814,38.19721168585353,0.51878432856,176448.77273749933,96.62345625303982,112.34847124183023,112.34847124183023,96.62345625303982,1.892380185402799e-07,0.0021973804682322456,0.8039999999999999,38.19721168585353,54.561742787086274,38.197211685853524,759643.096138718,2.7304321556831037,3.0199999999999996,0.3975700966800001,1.2285119999999998,1.0439295999999998,118.45062818378534,1019988782.9458557,0.0026986389188844704,0.8157276810986686,0.002201354467424247
Azerbaijan,16695.3894224544,9651349.0,0.5462,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.5982212831852317,1.0,0.4548711200707242,1.5084382783151649,42.737318913629316,412472780.15973747,4.507328545260629e-07,4.3501800847972625,0.0,0.0459480372,67115.46547826668,42.737318913629316,64.46660776188112,64.46660776188112,42.737318913629316,4.507328545260629e-07,0.006399322112339692,0.8039999999999999,0.0,7.430232147002279,0.0,112191.70458280937,2.72084374182905,0.0,0.3907306205137451,1.0049999999999997,1.0049999999999997,66.16428669123914,638574622.1932042,0.00396302745728421,0.645927297804424,0.002559827616608327
Bangladesh,3136.5610686987793,160995642.0,0.34277,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.1478955577817568,1.2169977389506987,65.68845535330277,10575555041.593317,7.84099669365604e-06,1262.3662966150316,16.415147327760504,0.07025293951199998,12608.975496169092,65.68845535330277,79.94270164013338,79.94270164013338,65.68845535330277,7.84099669365604e-06,0.01616852246323889,0.8039999999999997,16.415147327760504,40.12430935773877,16.415147327760504,43522.91270417207,2.710009990312942,2.4160000000000004,0.11098903571692627,1.8991611955209269,1.6708839095319437,93.71862627625801,15088290404.704227,0.029879420238783275,0.700911419248404,0.02094282684588507
Belarus,16621.033435804093,9513000.0,0.76667,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5166666666666667,0.3864445367538237,1.0,0.43578723624960136,1.308380406754342,57.38849229492216,545936727.2015945,5.58912085692968e-07,5.316930671197205,9.250436277884262,0.138588577008,66816.55441193243,57.38849229492215,75.08597889184867,75.08597889184868,57.38849229492216,5.58912085692968e-07,0.005079364424880539,0.8039999999999999,9.250436277884264,24.414641202627084,9.25043627788426,172900.76080049883,2.7260195454366167,2.4160000000000004,0.3766378521373047,1.5115199999999993,1.3298367999999996,81.48644418451659,775180543.5273063,0.004902609967018241,0.7042704203041745,0.003452763182059372
Belgium,41138.3833578238,11285721.0,0.9785799999999999,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.2166915174374668,1.0,0.4831951641469999,1.1480208379739567,24.273030555600542,273938650.67498267,5.505675790809646e-08,0.6213552089153205,0.0,0.4656998748,165376.3010984516,24.27303055560054,27.865944878607984,27.865944878607984,24.273030555600542,5.505675790809646e-08,0.00045869702534638557,0.8039999999999999,0.0,8.363936879163354,0.0,763187.7013652654,2.73267686846634,0.0,0.410181159888,1.2381600000000001,1.2381600000000001,31.248090031396448,352657225.8772215,0.0007595847838647167,0.7767844540646249,0.0005900336516501501
