country,hazard,rp,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,aid,need
Albania,earthquake,1.0,11424.6283187,2876101.0,0.5837600000000001,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331258572502,1.118347494599629,52.909671909040895,0.0022585582045691805,0.0011318354184551643,0.5,99.965497788625,0,0.0
Albania,earthquake,20.0,11424.6283187,2876101.0,0.5837600000000001,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331258572502,1.118347494599629,170.78728630181047,0.007290406702505895,0.0036719735316998767,0.5,99.965497788625,0,0.0
Albania,earthquake,50.0,11424.6283187,2876101.0,0.5837600000000001,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331258572502,1.118347494599629,361.87287544246954,0.015447288224480056,0.007844825391127495,0.5,99.965497788625,0,0.0
Albania,earthquake,100.0,11424.6283187,2876101.0,0.5837600000000001,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331258572502,1.118347494599629,624.5550137462558,0.026660415753974643,0.013695331097946925,0.5,99.965497788625,0,0.0
Albania,earthquake,250.0,11424.6283187,2876101.0,0.5837600000000001,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331258572502,1.118347494599629,1237.8180558908853,0.05283881046743971,0.027893251460987617,0.5,99.965497788625,0,0.0
Albania,earthquake,500.0,11424.6283187,2876101.0,0.5837600000000001,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331258572502,1.118347494599629,1980.4543973372583,0.08453977064100565,0.046173371562083274,0.5,99.965497788625,0,0.0
Albania,earthquake,1000.0,11424.6283187,2876101.0,0.5837600000000001,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331258572502,1.118347494599629,3016.712273808227,0.12877457014943014,0.07390427651515934,0.5,99.965497788625,0,0.0
Albania,earthquake,1500.0,11424.6283187,2876101.0,0.5837600000000001,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331258572502,1.118347494599629,3777.3461410378895,0.16124379174010847,0.0961207739222757,0.5,99.965497788625,0,0.0
Albania,earthquake,2000.0,11424.6283187,2876101.0,0.5837600000000001,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331258572502,1.118347494599629,2.6658633041398474e-11,1.1379786002407857e-15,5.689893001203934e-16,0.5,99.965497788625,0,0.0
Albania,flood,1.0,11424.6283187,2876101.0,0.5837600000000001,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331258572502,1.118347494599629,14.422095013730244,0.0006129365521022206,0.0003066562368676166,0.5,99.965497788625,0,0.0
