country,hazard,rp,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,share1,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
Albania,earthquake,1.0,10971.292519999999,11359.1704,10971.29252,10397.28739,2889167.0,0.08900000000000001,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.18394331291100008,1.118347494599629,50.810185809464365,0.0022585582045691805,0.0,0.0,548.564626,30.536122052067434,30.536122052067434,13520.183801458501
Albania,earthquake,20.0,10971.292519999999,11359.1704,10971.29252,10397.28739,2889167.0,0.08900000000000001,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.18394331291100008,1.118347494599629,164.010348917064,0.007290406702505895,0.0,0.0,548.564626,98.56763860526469,98.56763860526469,13520.183801458501
Albania,earthquake,50.0,10971.292519999999,11359.1704,10971.29252,10397.28739,2889167.0,0.08900000000000001,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.18394331291100008,1.118347494599629,347.51355238502606,0.015447288224480056,0.0,0.0,548.564626,208.85017602907593,208.85017602907593,13520.183801458501
Albania,earthquake,100.0,10971.292519999999,11359.1704,10971.29252,10397.28739,2889167.0,0.08900000000000001,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.18394331291100008,1.118347494599629,599.7723129191687,0.026660415753974643,0.0,0.0,548.564626,360.453721217037,360.453721217037,13520.183801458503
Albania,earthquake,250.0,10971.292519999999,11359.1704,10971.29252,10397.28739,2889167.0,0.08900000000000001,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.18394331291100008,1.118347494599629,1188.700726140373,0.05283881046743971,0.0,0.0,548.564626,714.3904293702143,548.564626,10381.850407817867
Albania,earthquake,500.0,10971.292519999999,11359.1704,10971.29252,10397.28739,2889167.0,0.08900000000000001,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.18394331291100008,1.118347494599629,1901.868832013722,0.08453977064100565,0.0,0.0,548.564626,1142.9932375995415,548.564626,6488.8350398944785
Albania,earthquake,1000.0,10971.292519999999,11359.1704,10971.29252,10397.28739,2889167.0,0.08900000000000001,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.18394331291100008,1.118347494599629,2897.007402151292,0.12877457014943014,0.0,0.0,548.564626,1741.0558573741068,548.564626,4259.883184726961
Albania,earthquake,1500.0,10971.292519999999,11359.1704,10971.29252,10397.28739,2889167.0,0.08900000000000001,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.18394331291100008,1.118347494599629,3627.458881671932,0.16124379174010847,0.0,0.0,548.564626,2180.045701170363,548.564626,3402.0821520010654
Albania,earthquake,2000.0,10971.292519999999,11359.1704,10971.29252,10397.28739,2889167.0,0.08900000000000001,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.18394331291100008,1.118347494599629,2.5600803206423364e-11,1.1379786002407857e-15,0.0,0.0,548.564626,1.5385679837381887e-11,1.5385679837381887e-11,13520.1838014585
Albania,flood,1.0,10971.292519999999,11359.1704,10971.29252,10397.28739,2889167.0,0.08900000000000001,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.18394331291100008,1.118347494599629,13.849818019355585,0.0006129365521022206,0.0,0.0,548.564626,8.28701484305427,8.28701484305427,13520.183801458503
