country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Belarus,16742.2554956,9507120.0,0.77046,4989.25461056,5,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.516666666667,0.386444536754,20.0,0.435313789819,1.49525342118,33.7190338301,320570900.907,3.6052731435e-07,3.42757644081,0.0,0.043093463,4185.5638739,33.7190338301,50.4185006933,50.4185006933,33.7190338301,3.6052731435e-07,0.00200969118222,0.25,0.0,0.0,10830.9562585,0.16706259741,0.0,0.117113759993,0.094,0.094,53.1392792854,505201504.88,0.00317396179382,0.63454066904,0.00201400784016
Belgium,41945.6921229,11348159.0,0.97897,41096.1573022,5,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.216691517437,20.0,0.48314774691,1.23771882002,13.9340295706,158125583.078,3.16929338259e-08,0.359656452233,0.0,0.144807175,10486.4230307,13.9340295706,17.2464106383,17.2464106383,13.9340295706,3.16929338259e-08,0.000234130317071,0.25,0.0,0.0,48393.3250123,0.169532325237,0.0,0.127543893,0.077,0.077,18.5246314041,210220462.59,0.000441633704596,0.752189302267,0.000332192148118
Belize,7831.45448606,366954.0,0.43845,4810.56590199,5,0.2,1.5,0.06,0.8,0.05,0.0,0.075,0.961548126505,20.0,0.150881730148,2.36775085425,59.2844225369,21754655.9876,3.78329074995e-06,1.38829367386,0.0,0.06363335,1957.86362152,59.2844225369,140.370742105,140.370742105,59.2844225369,3.78329074995e-06,0.0202702176808,0.25,0.0,0.0,2036.1576998,0.139334912154,0.0,0.0499569867708,0.0903115763478,0.0903115763478,178.403505698,65465880.0299,0.0227803795598,0.332305255465,0.00757003984922
Benin,2009.96138386,10872298.0,0.44395,789.440410686,5,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.25,0.330253321946,20.0,0.0827798384973,1.41000496933,3.22628247617,35077104.5131,1.36382793587e-06,14.8279437395,0.0,0.020593014,502.490345965,3.22628247617,4.54907432386,4.54907432386,3.22628247617,1.36382793587e-06,0.000925813067276,0.25,0.0,0.0,1521.53002733,0.168750335991,0.0,0.0193282144442,0.169686980083,0.169686980083,8.36210720438,90915321.434,0.00416033226883,0.385821707055,0.00160514649788
Bhutan,8105.79696745,797765.0,0.39377,2804.00022299,5,0.2,1.5,0.06,0.8,0.05,0.6,0.416666666667,0.185575394278,20.0,0.0440194671464,1.1905121288,131.872205679,105203030.164,4.1113767949e-06,3.27991250878,0.0,0.060388695,2026.44924186,131.872205679,156.995460313,156.995460313,131.872205679,4.1113767949e-06,0.004379305001,0.25,0.0,0.0,10919.8164431,0.163300209785,0.0,0.0109345927215,0.169778115329,0.169778115329,204.145479619,162860118.549,0.0251851212705,0.645971715491,0.016268875992
Bolivia,6707.95618416,10887882.0,0.68911,3104.95608914,5,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.45,0.421834200421,20.0,0.170332203809,1.5489435585,12.8851182226,140291646.764,6.17372417806e-07,6.72187803513,0.0,0.06835852,1676.98904604,12.8851182226,19.9583208714,19.9583208714,12.8851182226,6.17372417806e-07,0.00169197068815,0.25,0.0,0.0,3975.46961428,0.167258143774,0.0,0.0531593188548,0.112770842336,0.112770842336,23.0786320048,251277421.99,0.00344048639723,0.558313777868,0.00192087095814
Bosnia and Herzegovina,11179.3499097,3516816.0,0.3994,4708.71826066,5,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.323932232357,20.0,0.143200371171,1.40041515883,31.013461358,109068637.119,5.73133167598e-07,2.01560389394,0.0,0.0249420405,2794.83747742,31.013461358,43.4317214136,43.4317214136,31.013461358,5.73133167598e-07,0.00171300306871,0.25,0.0,0.0,8627.84619205,0.166627555935,0.0,0.0386900179958,0.1234047187,0.1234047187,46.0963000273,162112205.477,0.00412334352173,0.672797194994,0.00277417395542
Botswana,15513.4419328,2250260.0,0.5771,6788.04274538,5,0.2,1.5,0.06,0.8,0.05,0.6,0.708333333333,0.281178076714,20.0,0.0831001334421,1.33555225115,19.3662538675,43579106.4279,2.54007933737e-07,0.571583892972,0.0,0.07654833,3878.3604832,19.3662538675,25.864643949,25.864643949,19.3662538675,2.54007933737e-07,0.000512870125987,0.25,0.0,0.0,13793.2534731,0.16917733418,0.0,0.0280495814123,0.163320170798,0.163320170798,33.3951258423,75147715.8779,0.00215265741716,0.57991258841,0.00124835313475
Brazil,14023.6916227,207652865.0,0.85933,8649.94849175,5,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.558333333333,0.265575010188,20.0,0.213762613761,1.31188062792,10.129250257,2103367836.17,1.46464208613e-07,30.4137125385,0.0,0.0363961905,3505.92290568,10.129250257,13.2883671876,13.2883671876,10.129250257,1.46464208613e-07,0.000282365443115,0.25,0.0,0.0,13201.2530215,0.16959927918,0.0,0.0517890648576,0.165132576999,0.165132576999,16.55039908,3436737785.85,0.00118017420272,0.612024532344,0.000722295564501
Bulgaria,17709.075186,7127822.0,0.74266,7350.7958009,5,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.716666666667,0.323078471507,20.0,0.43909310688,1.3991199067,16.6157547615,118434142.336,1.57573475686e-07,1.12315568661,0.0,0.0428718765,4427.2687965,16.6157547615,23.2474332518,23.2474332518,16.6157547615,1.57573475686e-07,0.000623395184326,0.25,0.0,0.0,13703.3853597,0.169012975974,0.0,0.11833445865,0.11206612276,0.11206612276,25.2633622779,180072749.438,0.00142657716524,0.657701638396,0.000938262138877
Burkina Faso,1594.57677663,18646433.0,0.30688,649.730483656,5,0.2,1.5,0.06,0.8,0.05,0.8,0.416666666667,0.405665091881,20.0,0.0372065918619,1.52441318528,1.82825206028,34090379.5491,6.90798394517e-07,12.8809259799,0.0,0.024540308,398.644194157,1.82825206028,2.78701154671,2.78701154671,1.82825206028,6.90798394517e-07,0.000642015876306,0.25,0.0,0.0,982.692871868,0.169007016055,0.0,0.00905091981653,0.169686980083,0.169686980083,2.99290455575,55806994.2742,0.00187692721957,0.610862132829,0.00114654376451
Burundi,721.176561507,10524117.0,0.12359,285.727442065,5,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.25,0.462979312718,20.0,0.10226863015,1.61136536477,1.37272811809,14446751.3239,1.76281125666e-06,18.552031914,0.0,0.0116650575,180.294140377,1.37272811809,2.21196654473,2.21196654473,1.37272811809,1.76281125666e-06,0.00168977480583,0.25,0.0,0.0,389.421590607,0.16745670637,0.0,0.0258167974252,0.123489442543,0.123489442543,2.32295705895,24447071.8744,0.00322106566261,0.590939945617,0.00190345636749
Cameroon,3045.91916487,23439189.0,0.54938,1032.64872204,5,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.566666666667,0.419737574603,20.0,0.018028650423,1.54576273912,5.5353980317,129745240.655,9.70222011719e-07,22.7412171046,0.0,0.0249507305,761.479791217,5.5353980317,8.55641202359,8.55641202359,5.5353980317,9.70222011719e-07,0.00217474649777,0.25,0.0,0.0,1814.18066261,0.166876899063,0.0,0.00403548532136,0.091718404804,0.091718404804,11.0974030844,260114128.304,0.00364336756286,0.498801205076,0.00181731613089
Canada,43087.7573653,36286425.0,0.82006,42157.927991,5,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.833333333333,0.335483893856,20.0,0.24114664264,1.4179403407,20.6830239352,750512996.797,5.42049877537e-08,1.96690522275,0.0,0.16576132,10771.9393413,20.6830239352,29.3272940055,29.3272940055,20.6830239352,5.42049877537e-08,0.000542432809711,0.25,0.0,0.0,32108.6631537,0.169240758664,0.0,0.0761261319999,0.0753338228058,0.0753338228058,32.9888598174,1197047787.6,0.000765620255836,0.626969954392,0.000480020896883
Central African Republic,647.880444823,4594621.0,0.40332,382.213174318,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.314743833051,20.0,0.00945003463381,1.38647531399,2.03499610853,9350035.85519,3.89964012823e-06,17.9173684256,0.0,0.0077632873,161.970111206,2.03499610853,2.82147186855,2.82147186855,2.03499610853,3.89964012823e-06,0.00159583495161,0.25,0.0,0.0,514.609324147,0.166913365007,0.0,0.00230502615631,0.161964111059,0.161964111059,4.37562341643,20104331.2372,0.0067537513308,0.465075696619,0.00314100560496
Chad,1845.91467919,14452543.0,0.22618,664.295651899,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.753200994464,20.0,0.0357168332084,2.05166460278,1.94244135885,28073217.2637,8.95760392325e-07,12.9460155878,0.0,0.013221527,461.478669797,1.94244135885,3.98523817892,3.98523817892,1.94244135885,8.95760392325e-07,0.00116115088277,0.25,0.0,0.0,612.689936935,0.167719693645,0.0,0.00864422296221,0.169686980083,0.169686980083,4.8337441217,69859894.7698,0.00261861730458,0.401850265538,0.00105229205919
Chile,22706.720537,17909754.0,0.89697,13792.9260544,5,0.2,1.5,0.06,0.8,0.05,0.8,0.925,0.347394111819,20.0,0.166982123967,1.43600949344,57.23128113,1024998166.14,5.51637839323e-07,9.87969799938,0.0,0.041400705,5676.68013425,57.23128113,82.1846630243,82.1846630243,57.23128113,5.51637839323e-07,0.00696947110075,0.25,0.0,0.0,16340.7494287,0.161285470347,0.0,0.0465367137835,0.03869242,0.03869242,128.423673695,2300036403.65,0.0056557561223,0.445644323072,0.00252045560858
China,14400.8860587,1378665000.0,0.56778,8123.18087255,5,0.2,1.5,0.06,0.8,0.05,0.8,0.841666666667,0.229216379139,20.0,0.19586191952,1.25672045708,19.5735190116,26985325588.2,2.64771035463e-07,365.030559607,0.0,0.11206054,3600.22151467,19.5735190116,24.598441759,24.598441759,19.5735190116,2.64771035463e-07,0.000554754797398,0.25,0.0,0.0,15706.6503196,0.169342763394,0.0,0.0556498705159,0.14199115775,0.14199115775,31.1337529151,42923015462.7,0.00216193314691,0.628691281291,0.0013591885202
Colombia,13124.3248436,48653419.0,0.76708,5805.60533452,5,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.716666666667,0.27977925648,20.0,0.104940216041,1.33343008205,63.6555343005,3097059381.99,1.1069150023e-06,53.8551994042,0.0,0.0363297245,3281.0812109,63.6555343005,84.8802043256,84.8802043256,63.6555343005,1.1069150023e-06,0.00491486411521,0.25,0.0,0.0,11727.392703,0.163265456118,0.0,0.0272332003555,0.070896,0.070896,113.246296953,5509819535.87,0.00862873315792,0.56209815255,0.00485019496691
Comoros,1411.15233854,795601.0,0.28412,775.080084705,5,0.2,1.5,0.06,0.8,0.05,0.266666666667,0.166666666667,0.197958724461,20.0,0.0416231060007,1.20929904648,2.09641687568,1667911.36271,8.04141016297e-07,0.639775396707,0.0,0.0250209188,282.230467708,2.09641687568,2.53519492879,2.53519492879,2.09641687568,8.04141016297e-07,0.000557177925754,0.2,0.0,0.0,1425.70360805,0.134981095638,0.0,0.0082763605344,0.0987915540344,0.0987915540344,2.90044864397,2307599.84159,0.00205537599645,0.722790551745,0.00148560635052
"Congo, Dem. Rep.",742.307904932,78736153.0,0.43015,444.505316816,5,0.2,1.5,0.06,0.8,0.05,0.4,0.375,0.237056001858,20.0,0.0834408819573,1.26861405473,3.79762214919,299010158.575,4.26286137606e-06,335.641305524,0.0,0.0141920835,185.576976233,3.79762214919,4.817716833,4.817716833,3.79762214919,4.26286137606e-06,0.0020784282493,0.25,0.0,0.0,782.840235128,0.166791731355,0.0,0.0197872054656,0.155,0.155,5.8661092037,461874871.777,0.0079025282699,0.647383472984,0.00511596619672
"Congo, Rep.",5301.39727121,5125821.0,0.65798,1528.24483012,5,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.372753423902,20.0,0.153842015674,1.47448244873,18.0713285429,92630395.3432,1.20042327043e-06,6.15315480847,0.0,0.029115569,1325.3493178,18.0713285429,26.6458567617,26.6458567617,18.0713285429,1.20042327043e-06,0.00340511881604,0.25,0.0,0.0,3555.56577838,0.16391121008,0.0,0.0393905372897,0.091718404804,0.091718404804,31.5277783549,161605748.375,0.00594706956337,0.573187502763,0.00340878595178
Costa Rica,15401.4925047,4857274.0,0.77675,11824.638102,5,0.2,1.5,0.06,0.8,0.05,0.933333333333,0.75,0.481896754917,20.0,0.196189451166,1.64006527214,21.0288927842,102143094.169,2.98467848429e-07,1.44974012001,0.0,0.067281805,3850.37312617,21.0288927842,34.488756767,34.488756767,21.0288927842,2.98467848429e-07,0.00158017156012,0.25,0.0,0.0,7990.03746525,0.167868364418,0.0,0.052160577834,0.0992084334662,0.0992084334662,38.8154689854,188537368.301,0.00252024074768,0.541765778795,0.00136538019142
