province,hazard,rp,pop,cp,cr,gdp_pc_pp,shewp,shewr,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,aid,need
Abra,earthquake,20.0,51167,92.82897218628722,203.89142050304676,173.68948702635626,,,0.4437300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22278414027566448,1.2018342573076888,2.770477419336087,0.019793838421157985,0.0026924728282705437,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,50.0,51167,92.82897218628722,203.89142050304676,173.68948702635626,,,0.4437300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22278414027566448,1.2018342573076888,5.519869244921948,0.03943702958101969,0.005474155024432248,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,100.0,51167,92.82897218628722,203.89142050304676,173.68948702635626,,,0.4437300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22278414027566448,1.2018342573076888,8.594566777876867,0.0614043864475583,0.008722874268880937,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,250.0,51167,92.82897218628722,203.89142050304676,173.68948702635626,,,0.4437300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22278414027566448,1.2018342573076888,14.48202471355626,0.10346767499012605,0.015387833337221317,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,500.0,51167,92.82897218628722,203.89142050304676,173.68948702635626,,,0.4437300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22278414027566448,1.2018342573076888,21.356893786071254,0.152585580315118,0.024008022013103224,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,1000.0,51167,92.82897218628722,203.89142050304676,173.68948702635626,,,0.4437300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22278414027566448,1.2018342573076888,31.074898077022183,0.22201643196858456,0.03804989224136063,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,1500.0,51167,92.82897218628722,203.89142050304676,173.68948702635626,,,0.4437300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22278414027566448,1.2018342573076888,37.74957565045855,0.2697040573864401,0.04924105268360693,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,2000.0,51167,92.82897218628722,203.89142050304676,173.68948702635626,,,0.4437300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22278414027566448,1.2018342573076888,0.0,0.0,0.0,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,20.0,51167,92.82897218628722,203.89142050304676,173.68948702635626,,,0.4437300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22278414027566448,1.2018342573076888,1.679094574419541,0.013592880376242785,0.0018373590519673033,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,50.0,51167,92.82897218628722,203.89142050304676,173.68948702635626,,,0.4437300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22278414027566448,1.2018342573076888,3.6604405235661073,0.029632595399449797,0.004071666774043247,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,100.0,51167,92.82897218628722,203.89142050304676,173.68948702635626,,,0.4437300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22278414027566448,1.2018342573076888,6.207198101176049,0.05024952289545405,0.007054417499727173,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,250.0,51167,92.82897218628722,203.89142050304676,173.68948702635626,,,0.4437300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22278414027566448,1.2018342573076888,27.177213459680367,0.22000941289727946,0.037608900506437434,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,500.0,51167,92.82897218628722,203.89142050304676,173.68948702635626,,,0.4437300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22278414027566448,1.2018342573076888,30.30931475918162,0.24536491040111302,0.04335250485662459,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,1000.0,51167,92.82897218628722,203.89142050304676,173.68948702635626,,,0.4437300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22278414027566448,1.2018342573076888,35.639113936296425,0.28851157036156444,0.054067231143998674,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,1500.0,51167,92.82897218628722,203.89142050304676,173.68948702635626,,,0.4437300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22278414027566448,1.2018342573076888,37.75735925485064,0.3056595354978328,0.05869541934627833,0.13333333333333336,5.500167089167949,0,0.0
