country,hazard,rp,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,aid,need
Albania,surge,1000.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,surge,1500.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,surge,2000.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,tsunami,20.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,tsunami,50.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,tsunami,100.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,tsunami,250.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,tsunami,500.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,tsunami,1000.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,tsunami,1500.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,tsunami,2000.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,wind,20.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,wind,50.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,wind,100.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,wind,250.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,wind,500.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,wind,1000.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,wind,1500.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Albania,wind,2000.0,9960.94072579,2897366.0,0.58376,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.195849799159,1.04099835156,0.0,0.0,0.0,0.5,87.1582313506,0,0.0
Angola,earthquake,20.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,1.0835330045,9.21165107164e-05,4.60624984748e-05,0.5,65.5201028984,0,0.0
Angola,earthquake,50.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,3.50942660677,0.000298353748606,0.000149221395066,0.5,65.5201028984,0,0.0
Angola,earthquake,100.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,6.68523133476,0.000568344647862,0.000284333923595,0.5,65.5201028984,0,0.0
Angola,earthquake,250.0,7488.01175982,21471618.0,0.44819,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.125668031228,1.12186846137,16.4252187512,0.00139638924964,0.000699170939604,0.5,65.5201028984,0,0.0
