country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11424.6283187,2876101.0,0.58376,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1.0,0.183943312586,1.1183474946,55.2173005267,158810533.262,8.62371691301e-07,2.48026808372,0.0,0.43043599,57123.1415934,55.2173005267,61.7521297025,61.7521297025,55.2173005267,8.62371691301e-07,0.0044676867198,5.0,0.0,0.0,308307.134608,3.39099980367,0.0,0.958954507668,1.053,1.053,71.649789274,206072030.581,0.00627152037471,0.770655449041,0.00483318135054
Algeria,13974.6662247,40606052.0,0.71304,3843.75232202,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1.0,0.145444582109,1.21624346508,29.5564225706,1200169631.84,5.06036948735e-07,20.5481626542,0.0,0.7609223,69873.3311234,29.5564225706,35.9478058025,35.9478058025,29.5564225706,5.06036948735e-07,0.00886564477349,5.0,0.0,0.0,241851.172375,3.38701467529,0.0,0.781313482301,0.4751962,0.4751962,56.8822616687,2309764075.2,0.00407038427639,0.519607021654,0.00211500025084
Angola,6024.72613816,28813463.0,0.44819,3110.80818263,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,1.0,0.127358535734,1.3517904141,3.9011047414,112404337.126,2.4261445358e-07,6.99056258149,0.0,0.9285816,30123.6306908,3.9011047414,5.27347599382,5.27347599382,3.9011047414,2.4261445358e-07,0.00135713673424,5.0,0.0,0.0,69666.5413596,3.39782268509,0.0,0.650242163989,1.55,1.55,7.71964365364,222429666.787,0.00128132689796,0.505347774643,0.000647515696472
Antigua and Barbuda,20777.613083,100963.0,0.23393,14353.3788139,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.416666666667,0.400510641609,1.0,0.139014907013,1.32166814984,1101.81943167,111242995.279,1.35735376619e-05,1.37042508296,0.0,0.612,83110.4523321,1101.81943167,1456.23964971,1456.23964971,1101.81943167,1.35735376619e-05,0.0557421055739,4.0,0.0,0.0,207511.221171,2.64974680723,0.0,0.655619839887,1.61837960206,1.61837960206,2766.05335549,279269044.931,0.13312661779,0.398336290035,0.0530291630354
Argentina,10405.0,43847430.0,0.91893,12449.2168521,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,1.0,0.154097673055,1.19795388607,23.9806100334,1051488119.8,5.67260234194e-07,24.8729034106,0.0,0.25375402,52024.9999999,23.9806100334,28.7276649797,28.7276649797,23.9806100334,5.67260234194e-07,0.00303831805133,5.0,0.0,0.0,193007.21065,3.39536372916,0.0,0.80813310877,1.144731475,1.144731475,40.9671741395,1796305300.38,0.00393725844686,0.585361586125,0.00230471984944
Armenia,8174.36673173,2924816.0,0.62558,3606.15205715,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.366695721222,1.0,0.353665438477,1.28972441138,29.4404660504,86107946.1516,8.17864614446e-07,2.39210351017,0.0,0.104657299,40871.8336587,29.4404660504,37.9700877477,37.9700877477,29.4404660504,8.17864614446e-07,0.0110167469849,5.0,0.0,0.0,111459.80521,3.38129832025,0.0,2.01281659769,0.625,0.625,41.1270072896,120288928.953,0.00503121631796,0.715842654026,0.00360155924203
Australia,44414.029479,24127159.0,0.89554,49927.8195095,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.27360239086,1.0,0.22769110058,1.20178249216,56.7610324975,1369482456.07,1.13267775728e-07,2.73282963456,0.0,3.2968296,222070.147395,56.7610324975,68.2144150922,68.2144150922,56.7610324975,1.13267775728e-07,0.00113865080466,5.0,0.0,0.0,811652.802803,3.3983264356,0.0,1.41168296,1.4272,1.4272,72.1007367577,1739585939.77,0.00162337751389,0.787246220357,0.00127799781203
Austria,44143.7001647,8747358.0,0.66032,44176.515216,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.891666666667,0.232278518207,1.0,0.4838857587,1.1627453167,54.9608281245,480762039.581,1.08867372718e-07,0.952301883681,0.0,3.2262707,220718.500823,54.9608281245,63.9054455038,63.9054455038,54.9608281245,1.08867372718e-07,0.00190179793424,5.0,0.0,0.0,950232.085718,3.39724770935,0.0,2.47245085,0.764,0.764,68.7168968752,601091297.616,0.00155666372821,0.799815338349,0.00124504352647
Azerbaijan,15994.0097416,9762274.0,0.54895,3876.93643264,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.598221283185,1.0,0.4315486726,1.50843827831,20.6539001635,201629032.565,2.42008359141e-07,2.36255191223,0.0,0.2857465,79970.048708,20.6539001635,31.1551336032,31.1551336032,20.6539001635,2.42008359141e-07,0.00648120839168,5.0,0.0,0.0,133679.711765,3.38708457338,0.0,2.42991679424,0.625,0.625,33.3050803987,325133320.445,0.00208234713726,0.620142630381,0.00129135223107
Bangladesh,3319.35355607,162951560.0,0.35035,1358.77975225,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.616666666667,0.289708907625,1.0,0.147886692351,1.21699773895,43.6473400854,7112402156.76,4.08260060293e-06,665.266137105,0.0,0.43689639,16596.7677804,43.6473400854,53.1187141951,53.1187141951,43.6473400854,4.08260060293e-06,0.0154348257708,5.0,0.0,0.0,57287.7372547,3.37725451234,0.0,0.690230321622,1.17830214513,1.17830214513,53.1237588422,8656599376.39,0.016004248401,0.821616185238,0.0131493495188
