province,hazard,rp,0
Aklan,wind,50,0.032366968
Aklan,wind,100,0.038610263
Aklan,wind,250,0.047329513
Aklan,wind,500,0.051516345
Aklan,wind,1000,0.057140025
Aklan,wind,1500,0.062763705
Aklan,wind,2000,1.73E-15
Albay,earthquake,20,0.004361556
Albay,earthquake,50,0.008689917
Albay,earthquake,100,0.013530406
Albay,earthquake,250,0.022799017
Albay,earthquake,500,0.033622107
Albay,earthquake,1000,0.048921138
Albay,earthquake,1500,0.059429067
Albay,earthquake,2000,-4.34E-16
Albay,flood,20,0.00299518
Albay,flood,50,0.006529518
Albay,flood,100,0.011072441
Albay,flood,250,0.048478893
Albay,flood,500,0.054065956
Albay,flood,1000,0.063573287
Albay,flood,1500,0.067351827
Albay,flood,2000,0
Albay,surge,20,0.004384592
Albay,surge,50,0.005500548
Albay,surge,100,0.006751683
Albay,surge,250,0.007069631
Albay,surge,500,0.007599555
Albay,surge,1000,0.008659386
Albay,surge,1500,0.008890747
Albay,surge,2000,1.786165117
Albay,tsunami,20,8.25E-05
Albay,tsunami,50,0.00019776
Albay,tsunami,100,0.000536292
Albay,tsunami,250,0.002622035
Albay,tsunami,500,0.005394383
Albay,tsunami,1000,0.009966293
Albay,tsunami,1500,0.015727976
Albay,tsunami,2000,1.36E-17
Albay,wind,20,0.023734604
Albay,wind,50,0.032366968
Albay,wind,100,0.038610263
Albay,wind,250,0.047329513
Albay,wind,500,0.051516345
Albay,wind,1000,0.057140025
Albay,wind,1500,0.062763705
Albay,wind,2000,1.73E-15
Antique,earthquake,20,0.004361556
Antique,earthquake,50,0.008689917
Antique,earthquake,100,0.013530406
Antique,earthquake,250,0.022799017
Antique,earthquake,500,0.033622107
Antique,earthquake,1000,0.048921138
Antique,earthquake,1500,0.059429067
Antique,earthquake,2000,-4.34E-16
Antique,flood,20,0.00299518
Antique,flood,50,0.006529518
Antique,flood,100,0.011072441
Antique,flood,250,0.048478893
Antique,flood,500,0.054065956
Antique,flood,1000,0.063573287
Antique,flood,1500,0.067351827
Antique,flood,2000,0
Antique,surge,20,0.004384592
Antique,surge,50,0.005500548
Antique,surge,100,0.006751683
Antique,surge,250,0.007069631
Antique,surge,500,0.007599555
Antique,surge,1000,0.008659386
Antique,surge,1500,0.008890747
Antique,surge,2000,1.786165117
Antique,tsunami,20,8.25E-05
Antique,tsunami,50,0.00019776
Antique,tsunami,100,0.000536292
Antique,tsunami,250,0.002622035
Antique,tsunami,500,0.005394383
Antique,tsunami,1000,0.009966293
Antique,tsunami,1500,0.015727976
Antique,tsunami,2000,1.36E-17
Antique,wind,20,0.023734604
Antique,wind,50,0.032366968
Antique,wind,100,0.038610263
Antique,wind,250,0.047329513
Antique,wind,500,0.051516345
Antique,wind,1000,0.057140025
Antique,wind,1500,0.062763705
Antique,wind,2000,1.73E-15
Apayao,earthquake,20,0.004361556
Apayao,earthquake,50,0.008689917
Apayao,earthquake,100,0.013530406
Apayao,earthquake,250,0.022799017
Apayao,earthquake,500,0.033622107
Apayao,earthquake,1000,0.048921138
Apayao,earthquake,1500,0.059429067
Apayao,earthquake,2000,-4.34E-16
Apayao,flood,20,0.00299518
Apayao,flood,50,0.006529518
Apayao,flood,100,0.011072441
Apayao,flood,250,0.048478893
Apayao,flood,500,0.054065956
Apayao,flood,1000,0.063573287
Apayao,flood,1500,0.067351827
Apayao,flood,2000,0
Apayao,surge,20,0.004384592
Apayao,surge,50,0.005500548
Apayao,surge,100,0.006751683
Apayao,surge,250,0.007069631
Apayao,surge,500,0.007599555
Apayao,surge,1000,0.008659386
Apayao,surge,1500,0.008890747
Apayao,surge,2000,1.786165117
Apayao,tsunami,20,8.25E-05
Apayao,tsunami,50,0.00019776
Apayao,tsunami,100,0.000536292
Apayao,tsunami,250,0.002622035
Apayao,tsunami,500,0.005394383
Apayao,tsunami,1000,0.009966293
Apayao,tsunami,1500,0.015727976
Apayao,tsunami,2000,1.36E-17
Apayao,wind,20,0.023734604
Apayao,wind,50,0.032366968
Apayao,wind,100,0.038610263
Apayao,wind,250,0.047329513
Apayao,wind,500,0.051516345
Apayao,wind,1000,0.057140025
Apayao,wind,1500,0.062763705
Apayao,wind,2000,1.73E-15
Aurora,earthquake,20,0.004361556
Aurora,earthquake,50,0.008689917
Aurora,earthquake,100,0.013530406
Aurora,earthquake,250,0.022799017
Aurora,earthquake,500,0.033622107
Aurora,earthquake,1000,0.048921138
Aurora,earthquake,1500,0.059429067
Aurora,earthquake,2000,-4.34E-16
Aurora,flood,20,0.00299518
Aurora,flood,50,0.006529518
Aurora,flood,100,0.011072441
Aurora,flood,250,0.048478893
Aurora,flood,500,0.054065956
Aurora,flood,1000,0.063573287
Aurora,flood,1500,0.067351827
Aurora,flood,2000,0
Aurora,surge,20,0.004384592
Aurora,surge,50,0.005500548
Aurora,surge,100,0.006751683
Aurora,surge,250,0.007069631
Aurora,surge,500,0.007599555
Aurora,surge,1000,0.008659386
Aurora,surge,1500,0.008890747
Aurora,surge,2000,1.786165117
Aurora,tsunami,20,8.25E-05
Aurora,tsunami,50,0.00019776
Aurora,tsunami,100,0.000536292
Aurora,tsunami,250,0.002622035
Aurora,tsunami,500,0.005394383
Aurora,tsunami,1000,0.009966293
Aurora,tsunami,1500,0.015727976
Aurora,tsunami,2000,1.36E-17
Aurora,wind,20,0.023734604
Aurora,wind,50,0.032366968
Aurora,wind,100,0.038610263
Aurora,wind,250,0.047329513
Aurora,wind,500,0.051516345
Aurora,wind,1000,0.057140025
Aurora,wind,1500,0.062763705
Aurora,wind,2000,1.73E-15
Basilan,earthquake,20,0.004361556
Basilan,earthquake,50,0.008689917
Basilan,earthquake,100,0.013530406
Basilan,earthquake,250,0.022799017
Basilan,earthquake,500,0.033622107
Basilan,earthquake,1000,0.048921138
Basilan,earthquake,1500,0.059429067
Basilan,earthquake,2000,-4.34E-16
Basilan,flood,20,0.00299518
Basilan,flood,50,0.006529518
Basilan,flood,100,0.011072441
Basilan,flood,250,0.048478893
Basilan,flood,500,0.054065956
Basilan,flood,1000,0.063573287
Basilan,flood,1500,0.067351827
Basilan,flood,2000,0
Basilan,surge,20,0.004384592
Basilan,surge,50,0.005500548
Basilan,surge,100,0.006751683
Basilan,surge,250,0.007069631
Basilan,surge,500,0.007599555
Basilan,surge,1000,0.008659386
Basilan,surge,1500,0.008890747
Basilan,surge,2000,1.786165117
Basilan,tsunami,20,8.25E-05
Basilan,tsunami,50,0.00019776
Basilan,tsunami,100,0.000536292
Basilan,tsunami,250,0.002622035
Basilan,tsunami,500,0.005394383
Basilan,tsunami,1000,0.009966293
Basilan,tsunami,1500,0.015727976
Basilan,tsunami,2000,1.36E-17
Basilan,wind,20,0.023734604
Basilan,wind,50,0.032366968
Basilan,wind,100,0.038610263
Basilan,wind,250,0.047329513
Basilan,wind,500,0.051516345
Basilan,wind,1000,0.057140025
Basilan,wind,1500,0.062763705
Basilan,wind,2000,1.73E-15
Bataan,earthquake,20,0.004361556
Bataan,earthquake,50,0.008689917
Bataan,earthquake,100,0.013530406
Bataan,earthquake,250,0.022799017
Bataan,earthquake,500,0.033622107
Bataan,earthquake,1000,0.048921138
Bataan,earthquake,1500,0.059429067
Bataan,earthquake,2000,-4.34E-16
Bataan,flood,20,0.00299518
Bataan,flood,50,0.006529518
Bataan,flood,100,0.011072441
Bataan,flood,250,0.048478893
Bataan,flood,500,0.054065956
Bataan,flood,1000,0.063573287
Bataan,flood,1500,0.067351827
Bataan,flood,2000,0
Bataan,surge,20,0.004384592
Bataan,surge,50,0.005500548
Bataan,surge,100,0.006751683
Bataan,surge,250,0.007069631
Bataan,surge,500,0.007599555
Bataan,surge,1000,0.008659386
Bataan,surge,1500,0.008890747
Bataan,surge,2000,1.786165117
Bataan,tsunami,20,8.25E-05
Bataan,tsunami,50,0.00019776
Bataan,tsunami,100,0.000536292
Bataan,tsunami,250,0.002622035
Bataan,tsunami,500,0.005394383
Bataan,tsunami,1000,0.009966293
Bataan,tsunami,1500,0.015727976
Bataan,tsunami,2000,1.36E-17
Bataan,wind,20,0.023734604
Bataan,wind,50,0.032366968
Bataan,wind,100,0.038610263
Bataan,wind,250,0.047329513
Bataan,wind,500,0.051516345
Bataan,wind,1000,0.057140025
Bataan,wind,1500,0.062763705
Bataan,wind,2000,1.73E-15
Batanes,earthquake,20,0.004361556
Batanes,earthquake,50,0.008689917
Batanes,earthquake,100,0.013530406
Batanes,earthquake,250,0.022799017
Batanes,earthquake,500,0.033622107
Batanes,earthquake,1000,0.048921138
Batanes,earthquake,1500,0.059429067
Batanes,earthquake,2000,-4.34E-16
Batanes,flood,20,0.00299518
Batanes,flood,50,0.006529518
Batanes,flood,100,0.011072441
Batanes,flood,250,0.048478893
Batanes,flood,500,0.054065956
Batanes,flood,1000,0.063573287
Batanes,flood,1500,0.067351827
Batanes,flood,2000,0
Batanes,surge,20,0.004384592
Batanes,surge,50,0.005500548
Batanes,surge,100,0.006751683
Batanes,surge,250,0.007069631
Batanes,surge,500,0.007599555
Batanes,surge,1000,0.008659386
Batanes,surge,1500,0.008890747
Batanes,surge,2000,1.786165117
Batanes,tsunami,20,8.25E-05
Batanes,tsunami,50,0.00019776
Batanes,tsunami,100,0.000536292
Batanes,tsunami,250,0.002622035
Batanes,tsunami,500,0.005394383
Batanes,tsunami,1000,0.009966293
Batanes,tsunami,1500,0.015727976
Batanes,tsunami,2000,1.36E-17
Batanes,wind,20,0.023734604
Batanes,wind,50,0.032366968
Batanes,wind,100,0.038610263
Batanes,wind,250,0.047329513
Batanes,wind,500,0.051516345
Batanes,wind,1000,0.057140025
Batanes,wind,1500,0.062763705
Batanes,wind,2000,1.73E-15
Batangas,earthquake,20,0.004361556
Batangas,earthquake,50,0.008689917
Batangas,earthquake,100,0.013530406
Batangas,earthquake,250,0.022799017
Batangas,earthquake,500,0.033622107
Batangas,earthquake,1000,0.048921138
Batangas,earthquake,1500,0.059429067
Batangas,earthquake,2000,-4.34E-16
Batangas,flood,20,0.00299518
Batangas,flood,50,0.006529518
Batangas,flood,100,0.011072441
Batangas,flood,250,0.048478893
Batangas,flood,500,0.054065956
Batangas,flood,1000,0.063573287
Batangas,flood,1500,0.067351827
Batangas,flood,2000,0
Batangas,surge,20,0.004384592
Batangas,surge,50,0.005500548
Batangas,surge,100,0.006751683
Batangas,surge,250,0.007069631
Batangas,surge,500,0.007599555
Batangas,surge,1000,0.008659386
Batangas,surge,1500,0.008890747
Batangas,surge,2000,1.786165117
Batangas,tsunami,20,8.25E-05
Batangas,tsunami,50,0.00019776
Batangas,tsunami,100,0.000536292
Batangas,tsunami,250,0.002622035
Batangas,tsunami,500,0.005394383
Batangas,tsunami,1000,0.009966293
Batangas,tsunami,1500,0.015727976
Batangas,tsunami,2000,1.36E-17
Batangas,wind,20,0.023734604
Batangas,wind,50,0.032366968
Batangas,wind,100,0.038610263
Batangas,wind,250,0.047329513
Batangas,wind,500,0.051516345
Batangas,wind,1000,0.057140025
Batangas,wind,1500,0.062763705
Batangas,wind,2000,1.73E-15
Benguet,earthquake,20,0.004361556
Benguet,earthquake,50,0.008689917
Benguet,earthquake,100,0.013530406
Benguet,earthquake,250,0.022799017
Benguet,earthquake,500,0.033622107
Benguet,earthquake,1000,0.048921138
Benguet,earthquake,1500,0.059429067
Benguet,earthquake,2000,-4.34E-16
Benguet,flood,20,0.00299518
Benguet,flood,50,0.006529518
Benguet,flood,100,0.011072441
Benguet,flood,250,0.048478893
Benguet,flood,500,0.054065956
Benguet,flood,1000,0.063573287
Benguet,flood,1500,0.067351827
Benguet,flood,2000,0
Benguet,surge,20,0.004384592
Benguet,surge,50,0.005500548
Benguet,surge,100,0.006751683
Benguet,surge,250,0.007069631
Benguet,surge,500,0.007599555
Benguet,surge,1000,0.008659386
Benguet,surge,1500,0.008890747
Benguet,surge,2000,1.786165117
Benguet,tsunami,20,8.25E-05
Benguet,tsunami,50,0.00019776
Benguet,tsunami,100,0.000536292
Benguet,tsunami,250,0.002622035
Benguet,tsunami,500,0.005394383
Benguet,tsunami,1000,0.009966293
Benguet,tsunami,1500,0.015727976
Benguet,tsunami,2000,1.36E-17
Benguet,wind,20,0.023734604
Benguet,wind,50,0.032366968
Benguet,wind,100,0.038610263
Benguet,wind,250,0.047329513
Benguet,wind,500,0.051516345
Benguet,wind,1000,0.057140025
Benguet,wind,1500,0.062763705
Benguet,wind,2000,1.73E-15
Biliran,earthquake,20,0.004361556
Biliran,earthquake,50,0.008689917
Biliran,earthquake,100,0.013530406
Biliran,earthquake,250,0.022799017
Biliran,earthquake,500,0.033622107
Biliran,earthquake,1000,0.048921138
Biliran,earthquake,1500,0.059429067
Biliran,earthquake,2000,-4.34E-16
Biliran,flood,20,0.00299518
Biliran,flood,50,0.006529518
Biliran,flood,100,0.011072441
Biliran,flood,250,0.048478893
Biliran,flood,500,0.054065956
Biliran,flood,1000,0.063573287
Biliran,flood,1500,0.067351827
Biliran,flood,2000,0
Biliran,surge,20,0.004384592
Biliran,surge,50,0.005500548
Biliran,surge,100,0.006751683
Biliran,surge,250,0.007069631
Biliran,surge,500,0.007599555
Biliran,surge,1000,0.008659386
Biliran,surge,1500,0.008890747
Biliran,surge,2000,1.786165117
Biliran,tsunami,20,8.25E-05
Biliran,tsunami,50,0.00019776
Biliran,tsunami,100,0.000536292
Biliran,tsunami,250,0.002622035
Biliran,tsunami,500,0.005394383
Biliran,tsunami,1000,0.009966293
Biliran,tsunami,1500,0.015727976
Biliran,tsunami,2000,1.36E-17
Biliran,wind,20,0.023734604
Biliran,wind,50,0.032366968
Biliran,wind,100,0.038610263
Biliran,wind,250,0.047329513
Biliran,wind,500,0.051516345
Biliran,wind,1000,0.057140025
Biliran,wind,1500,0.062763705
Biliran,wind,2000,1.73E-15
Bohol,earthquake,20,0.004361556
Bohol,earthquake,50,0.008689917
Bohol,earthquake,100,0.013530406
Bohol,earthquake,250,0.022799017
Bohol,earthquake,500,0.033622107
Bohol,earthquake,1000,0.048921138
Bohol,earthquake,1500,0.059429067
Bohol,earthquake,2000,-4.34E-16
Bohol,flood,20,0.00299518
Bohol,flood,50,0.006529518
Bohol,flood,100,0.011072441
Bohol,flood,250,0.048478893
Bohol,flood,500,0.054065956
Bohol,flood,1000,0.063573287
Bohol,flood,1500,0.067351827
Bohol,flood,2000,0
Bohol,surge,20,0.004384592
Bohol,surge,50,0.005500548
Bohol,surge,100,0.006751683
Bohol,surge,250,0.007069631
Bohol,surge,500,0.007599555
Bohol,surge,1000,0.008659386
Bohol,surge,1500,0.008890747
Bohol,surge,2000,1.786165117
Bohol,tsunami,20,8.25E-05
Bohol,tsunami,50,0.00019776
Bohol,tsunami,100,0.000536292
Bohol,tsunami,250,0.002622035
Bohol,tsunami,500,0.005394383
Bohol,tsunami,1000,0.009966293
Bohol,tsunami,1500,0.015727976
Bohol,tsunami,2000,1.36E-17
Bohol,wind,20,0.023734604
Bohol,wind,50,0.032366968
Bohol,wind,100,0.038610263
Bohol,wind,250,0.047329513
Bohol,wind,500,0.051516345
Bohol,wind,1000,0.057140025
Bohol,wind,1500,0.062763705
Bohol,wind,2000,1.73E-15
Bukidnon,earthquake,20,0.004361556
Bukidnon,earthquake,50,0.008689917
Bukidnon,earthquake,100,0.013530406
Bukidnon,earthquake,250,0.022799017
Bukidnon,earthquake,500,0.033622107
Bukidnon,earthquake,1000,0.048921138
Bukidnon,earthquake,1500,0.059429067
Bukidnon,earthquake,2000,-4.34E-16
Bukidnon,flood,20,0.00299518
Bukidnon,flood,50,0.006529518
Bukidnon,flood,100,0.011072441
Bukidnon,flood,250,0.048478893
Bukidnon,flood,500,0.054065956
Bukidnon,flood,1000,0.063573287
Bukidnon,flood,1500,0.067351827
Bukidnon,flood,2000,0
Bukidnon,surge,20,0.004384592
Bukidnon,surge,50,0.005500548
Bukidnon,surge,100,0.006751683
Bukidnon,surge,250,0.007069631
Bukidnon,surge,500,0.007599555
Bukidnon,surge,1000,0.008659386
Bukidnon,surge,1500,0.008890747
Bukidnon,surge,2000,1.786165117
Bukidnon,tsunami,20,8.25E-05
Bukidnon,tsunami,50,0.00019776
Bukidnon,tsunami,100,0.000536292
Bukidnon,tsunami,250,0.002622035
Bukidnon,tsunami,500,0.005394383
Bukidnon,tsunami,1000,0.009966293
Bukidnon,tsunami,1500,0.015727976
Bukidnon,tsunami,2000,1.36E-17
Bukidnon,wind,20,0.023734604
Bukidnon,wind,50,0.032366968
Bukidnon,wind,100,0.038610263
Bukidnon,wind,250,0.047329513
Bukidnon,wind,500,0.051516345
Bukidnon,wind,1000,0.057140025
Bukidnon,wind,1500,0.062763705
Bukidnon,wind,2000,1.73E-15
Bulacan,earthquake,20,0.004361556
Bulacan,earthquake,50,0.008689917
Bulacan,earthquake,100,0.013530406
Bulacan,earthquake,250,0.022799017
Bulacan,earthquake,500,0.033622107
Bulacan,earthquake,1000,0.048921138
Bulacan,earthquake,1500,0.059429067
Bulacan,earthquake,2000,-4.34E-16
Bulacan,flood,20,0.00299518
Bulacan,flood,50,0.006529518
Bulacan,flood,100,0.011072441
Bulacan,flood,250,0.048478893
Bulacan,flood,500,0.054065956
Bulacan,flood,1000,0.063573287
Bulacan,flood,1500,0.067351827
Bulacan,flood,2000,0
Bulacan,surge,20,0.004384592
Bulacan,surge,50,0.005500548
Bulacan,surge,100,0.006751683
Bulacan,surge,250,0.007069631
Bulacan,surge,500,0.007599555
Bulacan,surge,1000,0.008659386
Bulacan,surge,1500,0.008890747
Bulacan,surge,2000,1.786165117
Bulacan,tsunami,20,8.25E-05
Bulacan,tsunami,50,0.00019776
Bulacan,tsunami,100,0.000536292
Bulacan,tsunami,250,0.002622035
Bulacan,tsunami,500,0.005394383
Bulacan,tsunami,1000,0.009966293
Bulacan,tsunami,1500,0.015727976
Bulacan,tsunami,2000,1.36E-17
Bulacan,wind,20,0.023734604
Bulacan,wind,50,0.032366968
Bulacan,wind,100,0.038610263
Bulacan,wind,250,0.047329513
Bulacan,wind,500,0.051516345
Bulacan,wind,1000,0.057140025
Bulacan,wind,1500,0.062763705
Bulacan,wind,2000,1.73E-15
Cagayan,earthquake,20,0.004361556
Cagayan,earthquake,50,0.008689917
Cagayan,earthquake,100,0.013530406
Cagayan,earthquake,250,0.022799017
Cagayan,earthquake,500,0.033622107
Cagayan,earthquake,1000,0.048921138
Cagayan,earthquake,1500,0.059429067
Cagayan,earthquake,2000,-4.34E-16
Cagayan,flood,20,0.00299518
Cagayan,flood,50,0.006529518
Cagayan,flood,100,0.011072441
Cagayan,flood,250,0.048478893
Cagayan,flood,500,0.054065956
Cagayan,flood,1000,0.063573287
Cagayan,flood,1500,0.067351827
Cagayan,flood,2000,0
Cagayan,surge,20,0.004384592
Cagayan,surge,50,0.005500548
Cagayan,surge,100,0.006751683
Cagayan,surge,250,0.007069631
Cagayan,surge,500,0.007599555
Cagayan,surge,1000,0.008659386
Cagayan,surge,1500,0.008890747
Cagayan,surge,2000,1.786165117
Cagayan,tsunami,20,8.25E-05
Cagayan,tsunami,50,0.00019776
Cagayan,tsunami,100,0.000536292
Cagayan,tsunami,250,0.002622035
Cagayan,tsunami,500,0.005394383
Cagayan,tsunami,1000,0.009966293
Cagayan,tsunami,1500,0.015727976
Cagayan,tsunami,2000,1.36E-17
Cagayan,wind,20,0.023734604
Cagayan,wind,50,0.032366968
Cagayan,wind,100,0.038610263
Cagayan,wind,250,0.047329513
Cagayan,wind,500,0.051516345
Cagayan,wind,1000,0.057140025
Cagayan,wind,1500,0.062763705
Cagayan,wind,2000,1.73E-15
Camarines Norte,earthquake,20,0.004361556
Camarines Norte,earthquake,50,0.008689917
Camarines Norte,earthquake,100,0.013530406
Camarines Norte,earthquake,250,0.022799017
Camarines Norte,earthquake,500,0.033622107
Camarines Norte,earthquake,1000,0.048921138
Camarines Norte,earthquake,1500,0.059429067
Camarines Norte,earthquake,2000,-4.34E-16
Camarines Norte,flood,20,0.00299518
Camarines Norte,flood,50,0.006529518
Camarines Norte,flood,100,0.011072441
Camarines Norte,flood,250,0.048478893
Camarines Norte,flood,500,0.054065956
Camarines Norte,flood,1000,0.063573287
Camarines Norte,flood,1500,0.067351827
Camarines Norte,flood,2000,0
Camarines Norte,surge,20,0.004384592
Camarines Norte,surge,50,0.005500548
Camarines Norte,surge,100,0.006751683
Camarines Norte,surge,250,0.007069631
Camarines Norte,surge,500,0.007599555
Camarines Norte,surge,1000,0.008659386
Camarines Norte,surge,1500,0.008890747
Camarines Norte,surge,2000,1.786165117
Camarines Norte,tsunami,20,8.25E-05
Camarines Norte,tsunami,50,0.00019776
Camarines Norte,tsunami,100,0.000536292
Camarines Norte,tsunami,250,0.002622035
Camarines Norte,tsunami,500,0.005394383
Camarines Norte,tsunami,1000,0.009966293
Camarines Norte,tsunami,1500,0.015727976
Camarines Norte,tsunami,2000,1.36E-17
Camarines Norte,wind,20,0.023734604
Camarines Norte,wind,50,0.032366968
Camarines Norte,wind,100,0.038610263
Camarines Norte,wind,250,0.047329513
Camarines Norte,wind,500,0.051516345
Camarines Norte,wind,1000,0.057140025
Camarines Norte,wind,1500,0.062763705
Camarines Norte,wind,2000,1.73E-15
Camarines Sur,earthquake,20,0.004361556
Camarines Sur,earthquake,50,0.008689917
Camarines Sur,earthquake,100,0.013530406
Camarines Sur,earthquake,250,0.022799017
Camarines Sur,earthquake,500,0.033622107
Camarines Sur,earthquake,1000,0.048921138
Camarines Sur,earthquake,1500,0.059429067
Camarines Sur,earthquake,2000,-4.34E-16
Camarines Sur,flood,20,0.00299518
Camarines Sur,flood,50,0.006529518
Camarines Sur,flood,100,0.011072441
Camarines Sur,flood,250,0.048478893
Camarines Sur,flood,500,0.054065956
Camarines Sur,flood,1000,0.063573287
Camarines Sur,flood,1500,0.067351827
Camarines Sur,flood,2000,0
Camarines Sur,surge,20,0.004384592
Camarines Sur,surge,50,0.005500548
Camarines Sur,surge,100,0.006751683
Camarines Sur,surge,250,0.007069631
Camarines Sur,surge,500,0.007599555
