province,hazard,rp,0
Abra,earthquake,20,0.004361556
Abra,earthquake,50,0.008689917
Abra,earthquake,100,0.013530406
Abra,earthquake,250,0.022799017
Abra,earthquake,500,0.033622107
Abra,earthquake,1000,0.048921138
Abra,earthquake,1500,0.059429067
Abra,earthquake,2000,-4.34E-16
Abra,flood,20,0.00299518
Abra,flood,50,0.006529518
Abra,flood,100,0.011072441
Abra,flood,250,0.048478893
Abra,flood,500,0.054065956
Abra,flood,1000,0.063573287
Abra,flood,1500,0.067351827
Abra,flood,2000,0
Abra,surge,20,0.004384592
Abra,surge,50,0.005500548
Abra,surge,100,0.006751683
Abra,surge,250,0.007069631
Abra,surge,500,0.007599555
Abra,surge,1000,0.008659386
Abra,surge,1500,0.008890747
Abra,surge,2000,1.786165117
Abra,tsunami,20,8.25E-05
Abra,tsunami,50,0.00019776
Abra,tsunami,100,0.000536292
Abra,tsunami,250,0.002622035
Abra,tsunami,500,0.005394383
Abra,tsunami,1000,0.009966293
Abra,tsunami,1500,0.015727976
Abra,tsunami,2000,1.36E-17
Abra,wind,20,0.023734604
Abra,wind,50,0.032366968
Abra,wind,100,0.038610263
Abra,wind,250,0.047329513
Abra,wind,500,0.051516345
Abra,wind,1000,0.057140025
Abra,wind,1500,0.062763705
Abra,wind,2000,1.73E-15
Agusan del Norte,earthquake,20,0.004361556
Agusan del Norte,earthquake,50,0.008689917
Agusan del Norte,earthquake,100,0.013530406
Agusan del Norte,earthquake,250,0.022799017
Agusan del Norte,earthquake,500,0.033622107
Agusan del Norte,earthquake,1000,0.048921138
Agusan del Norte,earthquake,1500,0.059429067
Agusan del Norte,earthquake,2000,-4.34E-16
Agusan del Norte,flood,20,0.00299518
Agusan del Norte,flood,50,0.006529518
Agusan del Norte,flood,100,0.011072441
Agusan del Norte,flood,250,0.048478893
Agusan del Norte,flood,500,0.054065956
Agusan del Norte,flood,1000,0.063573287
Agusan del Norte,flood,1500,0.067351827
Agusan del Norte,flood,2000,0
Agusan del Norte,surge,20,0.004384592
Agusan del Norte,surge,50,0.005500548
Agusan del Norte,surge,100,0.006751683
Agusan del Norte,surge,250,0.007069631
Agusan del Norte,surge,500,0.007599555
Agusan del Norte,surge,1000,0.008659386
Agusan del Norte,surge,1500,0.008890747
Agusan del Norte,surge,2000,1.786165117
Agusan del Norte,tsunami,20,8.25E-05
Agusan del Norte,tsunami,50,0.00019776
Agusan del Norte,tsunami,100,0.000536292
Agusan del Norte,tsunami,250,0.002622035
Agusan del Norte,tsunami,500,0.005394383
Agusan del Norte,tsunami,1000,0.009966293
Agusan del Norte,tsunami,1500,0.015727976
Agusan del Norte,tsunami,2000,1.36E-17
Agusan del Norte,wind,20,0.023734604
Agusan del Norte,wind,50,0.032366968
Agusan del Norte,wind,100,0.038610263
Agusan del Norte,wind,250,0.047329513
Agusan del Norte,wind,500,0.051516345
Agusan del Norte,wind,1000,0.057140025
Agusan del Norte,wind,1500,0.062763705
Agusan del Norte,wind,2000,1.73E-15
Agusan del Sur,earthquake,20,0.004361556
Agusan del Sur,earthquake,50,0.008689917
Agusan del Sur,earthquake,100,0.013530406
Agusan del Sur,earthquake,250,0.022799017
Agusan del Sur,earthquake,500,0.033622107
Agusan del Sur,earthquake,1000,0.048921138
Agusan del Sur,earthquake,1500,0.059429067
Agusan del Sur,earthquake,2000,-4.34E-16
Agusan del Sur,flood,20,0.00299518
Agusan del Sur,flood,50,0.006529518
Agusan del Sur,flood,100,0.011072441
Agusan del Sur,flood,250,0.048478893
Agusan del Sur,flood,500,0.054065956
Agusan del Sur,flood,1000,0.063573287
Agusan del Sur,flood,1500,0.067351827
Agusan del Sur,flood,2000,0
Agusan del Sur,surge,20,0.004384592
Agusan del Sur,surge,50,0.005500548
Agusan del Sur,surge,100,0.006751683
Agusan del Sur,surge,250,0.007069631
Agusan del Sur,surge,500,0.007599555
Agusan del Sur,surge,1000,0.008659386
Agusan del Sur,surge,1500,0.008890747
Agusan del Sur,surge,2000,1.786165117
Agusan del Sur,tsunami,20,8.25E-05
Agusan del Sur,tsunami,50,0.00019776
Agusan del Sur,tsunami,100,0.000536292
Agusan del Sur,tsunami,250,0.002622035
Agusan del Sur,tsunami,500,0.005394383
Agusan del Sur,tsunami,1000,0.009966293
Agusan del Sur,tsunami,1500,0.015727976
Agusan del Sur,tsunami,2000,1.36E-17
Agusan del Sur,wind,20,0.023734604
Agusan del Sur,wind,50,0.032366968
Agusan del Sur,wind,100,0.038610263
Agusan del Sur,wind,250,0.047329513
Agusan del Sur,wind,500,0.051516345
Agusan del Sur,wind,1000,0.057140025
Agusan del Sur,wind,1500,0.062763705
Agusan del Sur,wind,2000,1.73E-15
Aklan,earthquake,20,0.004361556
Aklan,earthquake,50,0.008689917
Aklan,earthquake,100,0.013530406
Aklan,earthquake,250,0.022799017
Aklan,earthquake,500,0.033622107
Aklan,earthquake,1000,0.048921138
Aklan,earthquake,1500,0.059429067
Aklan,earthquake,2000,-4.34E-16
Aklan,flood,20,0.00299518
Aklan,flood,50,0.006529518
Aklan,flood,100,0.011072441
Aklan,flood,250,0.048478893
Aklan,flood,500,0.054065956
Aklan,flood,1000,0.063573287
Aklan,flood,1500,0.067351827
Aklan,flood,2000,0
Aklan,surge,20,0.004384592
Aklan,surge,50,0.005500548
Aklan,surge,100,0.006751683
Aklan,surge,250,0.007069631
Aklan,surge,500,0.007599555
Aklan,surge,1000,0.008659386
Aklan,surge,1500,0.008890747
Aklan,surge,2000,1.786165117
Aklan,tsunami,20,8.25E-05
Aklan,tsunami,50,0.00019776
Aklan,tsunami,100,0.000536292
Aklan,tsunami,250,0.002622035
Aklan,tsunami,500,0.005394383
Aklan,tsunami,1000,0.009966293
Aklan,tsunami,1500,0.015727976
Aklan,tsunami,2000,1.36E-17
Aklan,wind,20,0.023734604
