country,hazard,rp,0
Algeria,earthquake,50,0.006361001
Algeria,earthquake,100,0.00982479
Algeria,earthquake,250,0.016111314
Algeria,earthquake,500,0.021824699
Algeria,earthquake,1000,0.028221787
Algeria,earthquake,1500,0.032202387
Algeria,earthquake,2000,-4.34E-16
Algeria,flood,20,0.000815844
Algeria,flood,50,0.001943235
Algeria,flood,100,0.002731038
Algeria,flood,250,0.005813677
Algeria,flood,500,0.007237349
Algeria,flood,1000,0.008510518
Algeria,flood,1500,0.008932827
Algeria,flood,2000,-5.42E-17
Algeria,surge,20,0
Algeria,surge,50,0
Algeria,surge,100,0
Algeria,surge,250,0
Algeria,surge,500,0
Algeria,surge,1000,0
Algeria,surge,1500,0
Algeria,surge,2000,0
Algeria,tsunami,20,0
Algeria,tsunami,50,0
Algeria,tsunami,100,0
Algeria,tsunami,250,0
Algeria,tsunami,500,0
Algeria,tsunami,1000,0
Algeria,tsunami,1500,0
Algeria,tsunami,2000,0
Algeria,wind,20,0
Algeria,wind,50,0
Algeria,wind,100,0
Algeria,wind,250,0
Algeria,wind,500,0
Algeria,wind,1000,0
Algeria,wind,1500,0
Algeria,wind,2000,0
American Samoa,earthquake,20,0.000202021
American Samoa,earthquake,50,0.001274288
American Samoa,earthquake,100,0.003719263
American Samoa,earthquake,250,0.010924688
American Samoa,earthquake,500,0.020217665
American Samoa,earthquake,1000,0.032981264
American Samoa,earthquake,1500,0.0420256
American Samoa,surge,20,0
American Samoa,surge,50,0
American Samoa,surge,100,0
American Samoa,surge,250,0
American Samoa,surge,500,0
American Samoa,surge,1000,0
American Samoa,surge,1500,0
American Samoa,tsunami,20,0
American Samoa,tsunami,50,0
American Samoa,tsunami,100,0
American Samoa,tsunami,250,0
American Samoa,tsunami,500,0
American Samoa,tsunami,1000,0
American Samoa,tsunami,1500,0
American Samoa,wind,20,0.015679957
American Samoa,wind,50,0.196095292
American Samoa,wind,100,0.25726629
American Samoa,wind,250,0.287020394
American Samoa,wind,500,0.335168791
American Samoa,wind,1000,0.336468979
American Samoa,wind,1500,0.337769167
Andorra,earthquake,20,2.27E-05
Andorra,earthquake,50,4.65E-05
Andorra,earthquake,100,7.64E-05
Andorra,earthquake,250,0.0001897
Andorra,earthquake,500,0.000436668
Andorra,earthquake,1000,0.001009348
Andorra,earthquake,1500,0.001670316
Andorra,earthquake,2000,3.39E-18
Andorra,surge,20,0
Andorra,surge,50,0
Andorra,surge,100,0
Andorra,surge,250,0
Andorra,surge,500,0
Andorra,surge,1000,0
Andorra,surge,1500,0
Andorra,surge,2000,0
Andorra,tsunami,20,0
Andorra,tsunami,50,0
Andorra,tsunami,100,0
Andorra,tsunami,250,0
Andorra,tsunami,500,0
Andorra,tsunami,1000,0
Andorra,tsunami,1500,0
Andorra,tsunami,2000,0
Andorra,wind,20,0
Andorra,wind,50,0
Andorra,wind,100,0
Andorra,wind,250,0
Andorra,wind,500,0
Andorra,wind,1000,0
Andorra,wind,1500,0
Andorra,wind,2000,0
Angola,earthquake,20,6.25E-05
Angola,earthquake,50,0.000202403
Angola,earthquake,100,0.000385565
Angola,earthquake,250,0.00094731
Angola,earthquake,500,0.001889399
Angola,earthquake,1000,0.003631622
Angola,earthquake,1500,0.005120358
Angola,earthquake,2000,6.78E-18
Angola,flood,20,0.006498774
Angola,flood,50,0.011452267
Angola,flood,100,0.012707451
Angola,flood,250,0.014068662
Angola,flood,500,0.016315999
Angola,flood,1000,0.019576261
Angola,flood,1500,0.021460647
Angola,flood,2000,-2.17E-16
Angola,surge,20,0
Angola,surge,50,0
Angola,surge,100,0
Angola,surge,250,0
Angola,surge,500,0
Angola,surge,1000,0
Angola,surge,1500,0
Angola,surge,2000,0
Angola,tsunami,20,0
Angola,tsunami,50,0
Angola,tsunami,100,0
Angola,tsunami,250,0
Angola,tsunami,500,0
Angola,tsunami,1000,0
Angola,tsunami,1500,0
Angola,tsunami,2000,0
Angola,wind,20,0
Angola,wind,50,0
Angola,wind,100,0
Angola,wind,250,0
Angola,wind,500,0
Angola,wind,1000,0
Angola,wind,1500,0
Angola,wind,2000,0
Anguilla,earthquake,20,0.017007589
Anguilla,earthquake,50,0.054003716
Anguilla,earthquake,100,0.10536155
Anguilla,earthquake,250,0.196592474
Anguilla,earthquake,500,0.268262361
Anguilla,earthquake,1000,0.342786102
Anguilla,earthquake,1500,0.381665542
Anguilla,earthquake,2000,0
Anguilla,surge,20,0.092397885
Anguilla,surge,50,0.147441467
Anguilla,surge,100,0.188724154
Anguilla,surge,250,0.228597244
Anguilla,surge,500,0.244957805
Anguilla,surge,1000,0.244992467
Anguilla,surge,1500,0.245027129
Anguilla,surge,2000,0
Anguilla,tsunami,20,0
Anguilla,tsunami,50,0
Anguilla,tsunami,100,0
Anguilla,tsunami,250,0
Anguilla,tsunami,500,0
Anguilla,tsunami,1000,0
Anguilla,tsunami,1500,0
Anguilla,tsunami,2000,0
Anguilla,wind,20,0.060601089
Anguilla,wind,50,0.15409661
Anguilla,wind,100,0.312283361
Anguilla,wind,250,0.44308697
Anguilla,wind,500,0.485016684
Anguilla,wind,1000,0.568876113
Anguilla,wind,1500,0.574884228
Anguilla,wind,2000,0
Antigua and Barbuda,earthquake,20,0.023548533
Antigua and Barbuda,earthquake,50,0.051750838
Antigua and Barbuda,earthquake,100,0.078177614
Antigua and Barbuda,earthquake,250,0.117536505
Antigua and Barbuda,earthquake,500,0.150657873
Antigua and Barbuda,earthquake,1000,0.181716046
Antigua and Barbuda,earthquake,1500,0.203057554
Antigua and Barbuda,earthquake,2000,0
Antigua and Barbuda,surge,20,0.070990796
Antigua and Barbuda,surge,50,0.133364444
Antigua and Barbuda,surge,100,0.189233678
Antigua and Barbuda,surge,250,0.264381226
Antigua and Barbuda,surge,500,0.30054864
Antigua and Barbuda,surge,1000,0.349739264
Antigua and Barbuda,surge,1500,0.357899346
Antigua and Barbuda,surge,2000,3.47E-15
Antigua and Barbuda,tsunami,20,0
Antigua and Barbuda,tsunami,50,0
Antigua and Barbuda,tsunami,100,0
Antigua and Barbuda,tsunami,250,0
Antigua and Barbuda,tsunami,500,0.00039474
Antigua and Barbuda,tsunami,1000,0.001702015
Antigua and Barbuda,tsunami,1500,0.002975729
Antigua and Barbuda,tsunami,2000,0.013285837
Antigua and Barbuda,wind,20,0.140103783
Antigua and Barbuda,wind,50,0.488415912
Antigua and Barbuda,wind,100,0.609597765
Antigua and Barbuda,wind,250,0.690274863
Antigua and Barbuda,wind,500,0
Antigua and Barbuda,wind,1000,0
Antigua and Barbuda,wind,1500,0
Antigua and Barbuda,wind,2000,0
Argentina,earthquake,20,0.002539397
Argentina,earthquake,50,0.005126239
Argentina,earthquake,100,0.007642993
Argentina,earthquake,250,0.011415925
Argentina,earthquake,500,0.014345686
Argentina,earthquake,1000,0.017304051
Argentina,earthquake,1500,0.019042034
Argentina,earthquake,2000,0
Argentina,flood,20,0.002204987
