country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
Finland,39422.6469804678,5495096.0,0.094,0.8435799999999999,43090.247506299704,0.43246429999999997,0.6640016999999999,,
Fragile and conflict affected situations,3937.00456177455,505635987.0,,0.413226528552401,1471.0146505076002,,,,
France,38058.8730455565,66896109.0,0.08,0.7975,36854.9682804756,0.4053758,0.5990517,,
French Polynesia,,280208.0,,0.55802,14530.7772043155,,,,
Gabon,16785.998014361998,1979786.0,0.057999999999999996,0.87366,7179.340661153141,0.08577912,0.2428994,0.21919784534284376,0.12051671406175977
"Gambia, The",1565.79670481901,2038501.0,0.048,0.60224,473.19043627424,,,,
Georgia,9267.299003743121,3719300.0,0.061,0.53826,3853.64990352915,0.011648849999999999,0.008063393,0.9832011784414143,0.5428108927360503
Germany,44072.3921575134,82667685.0,0.081,0.7551000000000001,41936.0585754956,0.5265064,0.6140809,,
Ghana,3980.2021060736997,28206728.0,0.054000000000000006,0.54682,1513.4610343274499,0.1174127,0.23211980000000002,0.6257034540521396,0.1473819807795935
Gibraltar,,34408.0,,1.0,,,,,
Greece,24263.878126376498,10746740.0,0.059000000000000004,0.7832899999999999,18103.9693224025,0.0654293,0.16323000000000001,,
Greenland,,56186.0,,0.86808,39569.105790544105,,,,
Grenada,12910.9905542247,107317.0,,0.35616,9469.21918069658,,,,
Guam,,162896.0,,0.9459299999999999,35439.4704475361,,,,
Guatemala,7366.76847952713,16582469.0,0.044000000000000004,0.5203,4146.7441286273,0.06985804,0.2047981,0.11104015013004734,0.03636766340320938
Guinea,1215.02537680237,12395924.0,0.076,0.37650999999999996,508.14507842728796,0.0054247290000000005,0.044386400000000006,,
Guinea-Bissau,1466.2676945636802,1815698.0,0.045,0.5009399999999999,620.214764743552,0.0002,0.0002,,
Guyana,7248.23018348168,773303.0,0.045,0.28661,4456.55369735494,0.68,0.68,,
Haiti,1653.96184811414,10847334.0,0.055999999999999994,0.5979399999999999,739.595436253749,0.04369855,0.12755239999999998,0.01029806614756764,0.014338184169277365
Heavily indebted poor countries (HIPC),2082.48297218488,744602976.0,,0.350732544380362,861.5101555246949,,,,
High income,43233.1495601996,1190029421.0,,0.8141498555586879,40677.6835231725,0.36405709999999997,0.5378352,,
Honduras,4392.265946757961,9112867.0,0.036000000000000004,0.55315,2361.1576195089497,0.06635397999999999,0.1964441,0.2579485659627888,0.1349800015059394
"Hong Kong SAR, China",54279.1834739963,7346700.0,,1.0,43681.1405799513,0.34516379999999997,0.6087457,,
Hungary,25381.287915067598,9817958.0,0.076,0.71672,12664.8474351203,0.1423596,0.2304348,0.8014838870713212,0.3974498381291192
IBRD only,12045.1020419384,4697247117.0,,0.53663048866847,5498.82467442429,,,,
IDA & IBRD total,9852.37031094045,6271593092.0,,0.493190065711172,4435.50834426975,,,,
IDA blend,4795.50130285292,521159393.0,,0.417711550736379,1754.20461312359,,,,
IDA only,2616.81458172935,1053186582.0,,0.33652399705581604,1023.47332008504,,,,
IDA total,3347.7246522581395,1574345975.0,,0.36343074112386803,1268.10168071172,,,,
Iceland,45276.4485545161,334252.0,0.09699999999999999,0.9423,59976.9425653312,,,,
India,6092.6480965848095,1324171354.0,0.083,0.33135999999999993,1709.38792119802,0.07480032,0.18833629999999998,,
Indonesia,10764.547997322801,261115456.0,0.07200000000000001,0.54466,3570.29488811764,0.1379658,0.3511817,,
"Iran, Islamic Rep.",16010.111441843701,80277428.0,0.063,0.73879,4957.58127645679,0.1516682,0.2603003,,
Iraq,16086.9180587168,37202572.0,0.08800000000000001,0.69592,4609.60069352322,0.033137599999999996,0.036515809999999996,0.1295524584591229,0.11247386075519886
Ireland,62828.33916560691,4773095.0,0.079,0.63535,61606.482939417,0.40051929999999997,0.5566726999999999,,
Isle of Man,,83737.0,,0.5228100000000001,89941.6442851908,,,,
Israel,32612.6885763515,8547100.0,0.047,0.92205,37292.6122172917,0.4204639,0.6097891,,
Italy,34620.129363371496,60600590.0,0.062,0.69116,30527.2682030287,0.20171340000000001,0.44066890000000003,,
Jamaica,8190.00090507955,2881355.0,0.053,0.5503,4868.248262607461,0.2147204,0.3520919,0.266518589381954,0.1474314747293658
Japan,38239.7712871916,126994511.0,0.07400000000000001,0.93928,38894.4677292018,0.5732915,0.6250877,,
Jordan,8389.54333612986,9455802.0,0.08199999999999999,0.83905,4087.9375167203,0.01797048,0.05062747,0.24754125076743594,0.20254922683467025
Kazakhstan,23419.905577422796,17797032.0,0.1,0.53229,7510.07720865798,0.026057160000000003,0.11531570000000001,0.06564464499053319,0.04712426534917984
Kenya,2925.60091711188,48461567.0,0.047,0.26055,1455.35976536469,0.13334829999999998,0.4164474000000001,0.05486851859573319,0.07183448406098354
Kiribati,1897.81234732038,114395.0,0.066,0.44447,1449.05823116784,0.0,0.0,0.09093071149088224,0.08778566916243413
"Korea, Dem. People’s Rep.",,25368620.0,,0.61048,,,,,
"Korea, Rep.",34985.8493334671,51245707.0,0.073,0.8259200000000001,27538.8061282212,0.36338929999999997,0.6404361999999999,,
Kosovo,9331.68771764274,1816200.0,0.094,,3661.4298474225798,0.049330530000000004,0.08574953,0.3631877926500793,0.1683102401242562
Kuwait,69329.4129636801,4052584.0,,0.9835799999999999,28975.4010764335,0.198661,0.29270870000000004,,
Kyrgyz Republic,3291.96824336307,6082700.0,0.095,0.35850000000000004,1077.0361743347999,0.03731649,0.0561118,0.349181831113288,0.267171013730729
Lao PDR,5734.58657171573,6758353.0,0.076,0.39654000000000006,2353.1528746508397,0.13250879999999998,0.2385275,0.03728431799420904,0.13347582175320616
Late-demographic dividend,15583.7270758543,2262709895.0,,0.60698076670778,8144.64578047236,,,,
Latin America & Caribbean,14364.6578456351,637664490.0,,0.800803734748083,8156.590737666899,,,,
Latin America & Caribbean (excluding high income),13890.788666697801,610136397.0,,0.7983025766047521,7803.427623554559,,,,
Latin America & the Caribbean (IDA & IBRD countries),14281.9690049689,621534921.0,,0.800796907320514,8044.14928377828,,,,
Latvia,23712.090780107403,1960424.0,0.066,0.67361,14118.0639067571,0.185183,0.2983719,0.5817045388103765,0.23839155421060512
Least developed countries: UN classification,2422.26581869334,979387925.0,,0.320890514988359,960.074271128757,,,,
Lebanon,12974.1654544052,6006668.0,0.078,0.87914,7914.0046774839,0.060850230000000005,0.2486327,,
Lesotho,2808.23632967403,2203821.0,0.027999999999999997,0.2784,998.1343715575771,0.02873374,0.11368269999999998,,
Liberia,753.557379048622,4613823.0,0.078,0.501,455.370741357005,0.044962499999999996,0.20074909999999999,0.04503793391523511,0.13130818974140615
Libya,11192.7906388431,6293253.0,,0.7875399999999999,5602.549434254921,,,,
Liechtenstein,,37666.0,,0.14282999999999998,179478.58482786603,,,,
Lithuania,27904.0962508606,2872298.0,0.06,0.66512,14879.680298969799,0.167361,0.3604111,0.7601398503524004,0.20739038459557455
Low & middle income,9685.70717039623,6252106157.0,,0.49237275130795494,4334.0076437743,0.1481179,0.27659279999999997,,
Low income,1560.570638851,659272676.0,,0.31179418437643497,615.0728016683439,0.05052696,0.1328835,,
Lower middle income,6312.47153337704,3012923806.0,,0.39646573697102205,2075.14174998628,0.07945867999999999,0.19305529999999999,,
Luxembourg,97018.6636397428,582972.0,0.079,0.90432,102831.32148281099,0.5098123999999999,0.6614447,,
"Macao SAR, China",96565.8898052951,612167.0,,1.0,73186.9601431088,,,,
"Macedonia, FYR",13054.7769672866,2081206.0,0.055999999999999994,0.5720399999999999,5237.1476704612,0.07452800999999999,0.17958029999999997,,
Madagascar,1396.0917341961701,24894551.0,0.057,0.35741,401.31887006899495,0.01404179,0.045670380000000003,0.07307986905658793,0.0941497119376655
Malawi,1083.97019631881,18091575.0,0.054000000000000006,0.16454000000000002,300.794825113129,0.04726891999999999,0.08640283,0.016992964323850702,0.0236817210165736
Malaysia,25660.4598532358,31187265.0,0.046,0.7537,9502.56839625166,0.255594,0.3924174,0.1471422500216373,0.05773081708127114
Maldives,12235.546466419199,417492.0,0.064,0.4654,8601.632488381541,0.55,0.55,0.031145207668181806,0.016503814270041425
Mali,1962.69087402974,17994837.0,0.08,0.40683,780.507110878306,0.008713539,0.04243126,0.024631705730870018,0.05299713321707195
Malta,35694.0400636582,436947.0,,0.95529,25058.170605581498,0.2980542,0.5080592,,
Marshall Islands,3775.12958856009,53066.0,0.0107,0.7293999999999999,3448.53578562545,0.05,0.05,,
Mauritania,3572.2805503332,4301018.0,0.076,0.60446,1077.5561362616302,0.03751141,0.15244010000000002,,
Mauritius,19548.6385168449,1263473.0,0.07400000000000001,0.39548,9627.59578522351,0.23197389999999998,0.4367753,0.39938854177125355,0.3280153837505936
Mexico,16831.1247258005,127540423.0,0.051,0.7951699999999999,8201.3062528823,0.07032508,0.1956048,0.5165315399168229,0.26416872128964153
"Micronesia, Fed. Sts.",3330.9726623054403,104937.0,0.055,0.22480999999999998,3068.5077713294604,0.19699999999999998,0.19699999999999998,0.4911367616883895,0.13340977833450512
Middle East & North Africa,17661.2295878457,436720722.0,,0.645066381063663,7124.688573384749,,,,
Middle East & North Africa (IDA & IBRD countries),11477.3952200705,369167489.0,,0.606421550996057,3946.37661801481,,,,
Middle East & North Africa (excluding high income),11415.840083539199,373719055.0,,0.6082287904457,3933.95010540058,,,,
Middle income,10644.828161624,5592833481.0,,0.513665927319726,4781.42037667553,0.1608289,0.29504690000000006,,
Moldova,4944.3356612065,3552000.0,0.09699999999999999,0.45089,1900.20147934803,0.03550953,0.09047662,0.48044889618049574,0.35776645858817685
Monaco,,38499.0,,1.0,162009.877819276,,,,
Mongolia,11328.4757357625,3027398.0,0.081,0.72823,3686.4516981052398,0.21726670000000003,0.4111103,0.43289215379153706,0.21401477649655312
Montenegro,15658.1132130544,622781.0,0.085,0.64223,6701.000080242409,0.02831399,0.07029511999999999,0.32631167767132524,0.3342241905444773
Morocco,7265.84707893646,35276786.0,0.065,0.60685,2832.4297771362203,0.051415930000000006,0.1725484,,
Mozambique,1128.27929420544,28829476.0,0.052000000000000005,0.32508000000000004,382.069330425644,,,0.22864661567112732,0.07690921448117116
Myanmar,5351.55480289731,52885223.0,0.073,0.3465,1275.01760814834,0.06761485,0.1680227,,
Namibia,9812.40862857353,2479713.0,0.033,0.47625,4140.4619324880105,0.14453729999999998,0.3485483,,
Nauru,12950.5285121751,13049.0,,1.0,7821.2989176990295,,,,
Nepal,2287.7232646775196,28982771.0,0.083,0.18995,729.532501133179,0.08169342,0.22368110000000002,0.19576886426772783,0.2922257157398467
Netherlands,47128.3107892088,17018408.0,0.08800000000000001,0.9103200000000001,45294.779995386605,0.485505,0.6671163,,
New Caledonia,,278000.0,,0.70738,12579.595105586399,,,,
New Zealand,35269.096154854,4692700.0,,0.86322,39426.6234987649,0.5940498000000001,0.7801831,,
Nicaragua,5136.841573705829,6149928.0,0.05,0.59107,2151.38204656346,0.02887823,0.1150786,0.2150240827360311,0.1290875748090859
Niger,906.9925206172929,20672987.0,0.078,0.19010000000000002,363.22697388988195,0.017845970000000003,0.02122553,0.05921709568758075,0.06195777077582977
Nigeria,5438.92271094916,185989640.0,0.054000000000000006,0.48597,2177.98516981843,0.19702950000000002,0.3224891,0.002057508900952456,0.011572110972991134
North America,52244.5331307074,359479269.0,,0.8181331508658991,55927.85589461849,,,,
Northern Mariana Islands,,55023.0,,0.89209,16819.9065966141,,,,
Norway,63810.786426191204,5232929.0,0.091,0.80734,70812.4774226187,0.7495815,0.8089856999999999,,
OECD members,38724.7943281134,1289937319.0,,0.8048743598092309,36741.3610815405,,,,
Oman,40138.951675186,4424762.0,,0.7808800000000001,14982.3579235229,0.145017,0.2770396,,
Other small states,23233.5403371201,29983809.0,,0.5884387126805671,11965.560905491799,,,,
Pacific island small states,5433.20683645229,2388875.0,,0.3803060493747061,3720.73663143055,,,,
Pakistan,4866.1634560886105,193203476.0,0.092,0.39224000000000003,1468.19294647812,0.01694613,0.043810209999999995,0.07118290614785897,0.13677639250650758
Palau,14251.2264157728,21503.0,,0.8763600000000001,13626.0056736269,,,0.14801150969645407,0.10637442990521595
Panama,21334.9396783773,4034119.0,0.035,0.6689499999999999,13680.23600692,0.14831640000000001,0.2403679,0.19442471509398124,0.11430158362854981
Papua New Guinea,2620.8824025558497,8084991.0,0.051,0.13039,2182.71656543065,0.1438,0.1438,0.004448386849634145,0.0013822475264634651
Paraguay,8877.60664526029,6725308.0,0.040999999999999995,0.59924,4080.20464394436,0.02127697,0.14778729999999998,0.2533582430701873,0.14654954376625337
Peru,12071.5923765881,31773839.0,0.046,0.7892399999999999,6045.6500766247,0.05837516,0.1674962,0.17067789283365783,0.20147588955748694
Philippines,7236.46707132038,103320222.0,0.066,0.44288999999999995,2951.07192903542,0.04855937,0.2163384,0.18809272627107096,0.2281501238304487
Poland,26003.0133945969,37948016.0,0.08,0.60531,12372.4170564311,0.09776094,0.282444,0.5766165423176673,0.3946498977069835
Portugal,27006.8742813236,10324611.0,0.065,0.6401699999999999,19813.3082485256,0.160451,0.3085544,,
Post-demographic dividend,41278.949060348,1102730983.0,,0.812095135135176,40873.1947336663,,,,
Pre-demographic dividend,3483.2526393889098,879292453.0,,0.391021976746501,1358.7514903267402,,,,
Puerto Rico,33843.6240818845,3411307.0,,0.93569,28703.7483471687,0.13116229999999998,0.30437109999999995,,
Qatar,118215.30040584199,2569804.0,,0.9931700000000001,59330.8599872525,0.181152,0.32098259999999995,,
Romania,21647.8089324482,19705301.0,0.08900000000000001,0.5474899999999999,9474.130604405358,0.05571223000000001,0.1842659,0.44718513049652964,0.40619177704967696
Russian Federation,24026.004916417598,144342396.0,0.069,0.74101,8748.36450405452,0.11406239999999998,0.1823601,0.2916806007009515,0.20916966497719697
Rwanda,1773.7504839499,11917508.0,0.052000000000000005,0.29774999999999996,702.835601585743,0.06397243000000001,0.3914391,0.07451404924171061,0.07678145748333853
Samoa,5882.14861883215,195125.0,0.064,0.18955,4027.7613703455395,,,0.22766987331164204,0.14591698846875145
San Marino,,33203.0,,0.9421600000000001,62596.9475629575,,,,
Sao Tome and Principe,2993.38201804133,199910.0,0.084,0.6564699999999999,1756.0614700482001,,,,
Saudi Arabia,50458.1698461902,32275687.0,,0.83331,20028.648207200502,0.08897133,0.2052709,,
Senegal,2380.3869174873603,15411614.0,0.061,0.44065,958.073737852607,0.008773695,0.1060924,0.11367795298178585,0.21771700590819676
Serbia,13720.0872294126,7057412.0,0.086,0.55668,5348.29406421381,0.0419454,0.1149804,0.4593668720166495,0.3624857509688709
Seychelles,26319.1586250515,94677.0,0.054000000000000006,0.54214,15075.7194365696,0.94,0.94,,
Sierra Leone,1365.86594306599,7396190.0,0.079,0.40318000000000004,496.049463350517,0.03622707,0.1585936,0.02410150585142099,0.030431464202948053
Singapore,81443.35645615599,5607283.0,,1.0,52960.7141893889,0.4292485,0.4872643,,
Sint Maarten (Dutch part),36327.231898891805,40005.0,,1.0,,,,,
Slovak Republic,29156.0939118342,5428704.0,0.084,0.53468,16495.9876837228,0.3311596,0.5120568,0.32228808471304815,0.2523005022651217
Slovenia,29803.4496172399,2064845.0,0.094,0.49626999999999993,21304.5701619503,0.2409204,0.3861343,,
Small states,20455.0243073788,39618156.0,,0.546127664102287,10883.0928113459,,,,
Solomon Islands,2072.71057764802,599419.0,0.07,0.22779,2005.4836433279602,0.26,0.26,0.05708569558230865,0.06716642587160629
Somalia,,14317996.0,,0.4003,434.208809668616,0.003747235,0.04457126000000001,,
South Africa,12260.165354074199,55908865.0,0.025,0.65295,5273.59387968462,0.2110501,0.4081099,0.7327359555846154,0.15425549756489032
South Asia,5621.09550813644,1766383450.0,,0.33456442042537304,1639.71225900516,0.0667721,0.1664882,,
South Asia (IDA & IBRD),5621.09550813644,1766383450.0,,0.33456442042537304,1639.71225900516,,,,
South Sudan,1808.16171419844,12230730.0,0.039,0.19030000000000002,758.720578206203,,,,
Spain,33261.0793375509,46443959.0,0.057,0.79802,26528.4917900799,0.35595620000000006,0.5667167,,
Sri Lanka,11417.2564579237,21203000.0,0.071,0.18407,3835.39481711341,0.2143086,0.3952670999999999,0.07117910449185014,0.08948611652373328
St. Kitts and Nevis,24738.2899875762,54821.0,,0.32153,16725.2796474992,,,,
St. Lucia,10703.095748321,178015.0,0.0523,0.18539999999999998,7744.44517263943,0.35,0.35,,
St. Martin (French part),,31949.0,,,,,,,
St. Vincent and the Grenadines,10758.5631210582,109643.0,0.203,0.5089899999999999,7030.05714505765,0.20600000000000002,0.20600000000000002,,
Sub-Saharan Africa,3439.91249483892,1033106135.0,,0.38267725566700794,1449.99735756316,,,,
Sub-Saharan Africa (IDA & IBRD countries),3439.91249483892,1033106135.0,,0.38267725566700894,1449.99735756316,,,,
Sub-Saharan Africa (excluding high income),3437.81523891772,1033011458.0,,0.382662640674959,1448.7478186627698,,,,
Sudan,4385.04692279344,39578828.0,0.068,0.34007,2415.0381621256197,0.03672906,0.1002178,,
Suriname,13113.857560108201,558368.0,,0.66015,6484.432731095269,,,,
Swaziland,7733.808563343309,1343098.0,0.04,0.21315,2775.15390848176,0.09158991,0.2348936,,
Sweden,46441.205921048895,9903122.0,0.09,0.85964,51599.868867777004,0.6662127999999999,0.8096492,,
Switzerland,56625.1350142298,8372098.0,0.079,0.7399,78812.65068729849,0.46041340000000003,0.6177222,,
Syrian Arab Republic,4959.392523364486,18430453.0,0.077,0.5806100000000001,2058.0352093943497,0.04674114,0.053670739999999995,0.0449077463751928,0.12255292524153776
Tajikistan,2762.58545284209,8734951.0,0.07400000000000001,0.26891,795.843864367519,0.006333107,0.021255919999999998,,
Tanzania,2583.27903888137,55572201.0,0.07400000000000001,0.32316,879.193814026315,0.04258187,0.12170310000000001,0.145171981438773,0.07101360955368942
Thailand,15681.814091406999,68863514.0,0.069,0.5154,5907.91343151532,0.3132831,0.46914110000000003,0.30352556178219825,0.2695253562884277
Timor-Leste,2151.10705531404,1268671.0,0.091,0.33401,1161.7609351341698,0.62,0.62,0.07893159026697605,0.05906232176592861
Togo,1382.10974736663,7606374.0,0.05,0.40463,578.4616936486129,0.03249362,0.08989002000000001,,0.060840773688025665
Tonga,5332.4724445691,107122.0,0.067,0.23800999999999997,3688.8746359459296,0.008,0.008,0.0330337194329933,
Trinidad and Tobago,29578.9563877921,1364962.0,0.049,0.08352,15377.098805566498,0.428774,0.45466229999999996,,
Tunisia,10752.016825085699,11403248.0,0.067,0.67047,3688.6463746807794,0.046129760000000006,0.1407694,,
Turkey,23679.396389833502,79512426.0,0.057999999999999996,0.73887,10787.609339044,0.04858122,0.1221136,0.2914336039117214,0.20395487194075962
Turkmenistan,15648.373119026899,5662544.0,,0.50396,6389.3341427961905,0.0,0.010888309999999998,,
