country,hazard,0
"Hong Kong SAR, China",tsunami,9.52434283154e-05
"Hong Kong SAR, China",flood,0.0
"Hong Kong SAR, China",surge,0.000718549509624
"Hong Kong SAR, China",wind,9.07476441131e-05
"Macao SAR, China",earthquake,0.0
"Macao SAR, China",tsunami,0.000163994843861
"Macao SAR, China",flood,0.0
"Macao SAR, China",surge,0.0
"Macao SAR, China",wind,3.84418021094e-05
Colombia,earthquake,0.00332427107584
Colombia,tsunami,1.39745092248e-05
Colombia,flood,0.000634823841783
Colombia,surge,0.0
Colombia,wind,0.0
Comoros,earthquake,0.000175298357805
Comoros,tsunami,0.0
Comoros,flood,0.0
Comoros,surge,0.000210358029366
Comoros,wind,0.000182310292117
"Congo, Rep.",earthquake,1.43379142245e-05
"Congo, Rep.",tsunami,0.0
"Congo, Rep.",flood,0.00222483877088
"Congo, Rep.",surge,0.0
"Congo, Rep.",wind,0.0
Costa Rica,earthquake,0.00168247728114
Costa Rica,tsunami,3.34729225422e-06
Costa Rica,flood,0.000276828191323
Costa Rica,surge,2.23716608249e-06
Costa Rica,wind,3.6740096005e-06
Cote d'Ivoire,earthquake,7.25791552666e-06
Cote d'Ivoire,tsunami,0.0
Cote d'Ivoire,flood,0.00120811302994
Cote d'Ivoire,surge,0.0
Cote d'Ivoire,wind,0.0
Croatia,earthquake,0.000812220249423
Croatia,tsunami,0.0
Croatia,flood,0.000654230945065
Croatia,surge,0.0
Croatia,wind,0.0
Cuba,earthquake,1.94947375642e-05
Cuba,tsunami,0.0
Cuba,flood,3.1500294422e-05
Cuba,surge,0.000797740668538
Cuba,wind,0.00104259685912
Cyprus,earthquake,0.00039868455045
Cyprus,tsunami,7.68043792461e-06
Cyprus,flood,1.39644325902e-07
Cyprus,surge,0.0
Cyprus,wind,0.0
Czech Republic,earthquake,0.000148819569922
Czech Republic,tsunami,0.0
Czech Republic,flood,0.000332396799238
Czech Republic,surge,0.0
Czech Republic,wind,0.0
"Congo, Dem. Rep.",earthquake,0.000152543609955
"Congo, Dem. Rep.",tsunami,0.0
"Congo, Dem. Rep.",flood,0.00231078023502
"Congo, Dem. Rep.",surge,0.0
"Congo, Dem. Rep.",wind,0.0
Denmark,earthquake,0.0
Denmark,tsunami,0.0
Denmark,flood,1.45871552819e-05
Denmark,surge,0.0
Denmark,wind,0.0
Djibouti,earthquake,0.000621751611285
Djibouti,tsunami,0.0
Djibouti,flood,4.63679167738e-05
Djibouti,surge,0.0
Djibouti,wind,0.0
Dominica,earthquake,0.00644003274259
Dominica,tsunami,0.0
Dominica,flood,0.0
Dominica,surge,0.0155971083957
Dominica,wind,0.0117508407547
Dominican Republic,earthquake,0.00179979522488
Dominican Republic,tsunami,0.0
Dominican Republic,flood,0.000430670762169
Dominican Republic,surge,0.000198790145074
Dominican Republic,wind,0.00251843718004
Ecuador,earthquake,0.00441753771599
Ecuador,tsunami,7.92345377691e-06
Ecuador,flood,0.00067073451124
Ecuador,surge,0.0
Ecuador,wind,0.0
"Egypt, Arab Rep.",earthquake,0.000286640665382
"Egypt, Arab Rep.",tsunami,1.38054181405e-05
"Egypt, Arab Rep.",flood,0.000151648953494
"Egypt, Arab Rep.",surge,0.0
"Egypt, Arab Rep.",wind,0.0
El Salvador,earthquake,0.00349788000922
El Salvador,tsunami,0.0
El Salvador,flood,0.000149482051676
El Salvador,surge,0.0
El Salvador,wind,0.0
Equatorial Guinea,earthquake,0.000126112833601
Equatorial Guinea,tsunami,0.0
Equatorial Guinea,flood,0.00158214282154
Equatorial Guinea,surge,0.0
Equatorial Guinea,wind,0.0
Eritrea,earthquake,7.81784207739e-05
Eritrea,tsunami,0.0
Eritrea,flood,0.000793896357436
Eritrea,surge,0.0
Eritrea,wind,0.0
Estonia,earthquake,1.36904918906e-05
Estonia,tsunami,0.0
Estonia,flood,0.000663298052057
Estonia,surge,0.0
Estonia,wind,0.0
