country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Albania,11424.6283187,2876101.0,0.58376,4146.89625046,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.17475920808
Algeria,13974.6662247,40606052.0,0.71304,3843.75232202,1,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,20.0,0.129558545989
Angola,6024.72613815,28813463.0,0.44819,3110.80818263,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.106132303994
Antigua and Barbuda,20777.613083,100963.0,0.23393,14353.3788139,1,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.416666666667,0.400510641609,20.0,0.123714907013
Argentina,10405.0,43847430.0,0.91893,12449.2168521,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.148267179559
Armenia,8174.36673172,2924816.0,0.62558,3606.15205715,1,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.366695721222,20.0,0.351328706264
Australia,44414.0294791,24127159.0,0.89554,49927.8195095,1,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.27360239086,20.0,0.158996
Austria,44143.7001648,8747358.0,0.66032,44176.515216,1,0.2,1.5,0.06,0.8,0.05,0.8,0.891666666667,0.232278518207,20.0,0.41699351443
Azerbaijan,15994.0097416,9762274.0,0.54895,3876.93643264,1,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.598221283185,20.0,0.425623651521
Bangladesh,3319.35355606,162951560.0,0.35035,1358.77975225,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.616666666667,0.289708907625,20.0,0.13847254356
Belarus,16742.2554956,9507120.0,0.77046,4989.25461056,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.516666666667,0.386444536754,20.0,0.416844998849
Belgium,41945.692123,11348159.0,0.97897,41096.1573022,1,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.216691517437,20.0,0.42390653531
Belize,7831.45448606,366954.0,0.43845,4810.56590199,1,0.2,1.5,0.06,0.8,0.05,0.0,0.075,0.961548126505,20.0,0.122746842458
Benin,2009.96138386,10872298.0,0.44395,789.440410686,1,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.25,0.330253321946,20.0,0.0736571919214
Bhutan,8105.79696748,797765.0,0.39377,2804.00022299,1,0.2,1.5,0.06,0.8,0.05,0.6,0.416666666667,0.185575394278,20.0,0.0187393531164
Bolivia,6707.95618414,10887882.0,0.68911,3104.95608914,1,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.45,0.421834200421,20.0,0.139738571989
Bosnia and Herzegovina,11179.3499097,3516816.0,0.3994,4708.71826066,1,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.323932232357,20.0,0.132492419908
Botswana,15513.4419328,2250260.0,0.5771,6788.04274538,1,0.2,1.5,0.06,0.8,0.05,0.6,0.708333333333,0.281178076714,20.0,0.0490688821623
