province,hazard,rp,fa
Albay,wind,10,0.07399036989158538
Albay,wind,25,0.27081260603224977
Albay,wind,30,0.3282950164875166
Albay,wind,50,0.5391403544930474
Albay,wind,100,0.9644512174755602
Albay,wind,200,1.7631533538008288
Albay,wind,250,2.016785308874746
Albay,wind,500,2.81803780178568
Albay,wind,1000,3.8347243108137175
Antique,earthquake,10,0.0005397235818690295
Antique,earthquake,25,0.00951672387583493
Antique,earthquake,30,0.014861719941087115
Antique,earthquake,50,0.04697282700667467
Antique,earthquake,100,0.2234316131138165
Antique,earthquake,200,0.6382453595531267
Antique,earthquake,250,0.7679566266530311
Antique,earthquake,500,1.5999111986462875
Antique,earthquake,1000,2.1798543491405082
Antique,flood,10,0.0002854189107025582
Antique,flood,25,0.003502875701815222
Antique,flood,30,0.00477865571295835
Antique,flood,50,0.011501794849609663
Antique,flood,100,0.03483287451964633
Antique,flood,200,0.06557490457228865
Antique,flood,250,0.07818168991470309
Antique,flood,500,0.10915305513655274
Antique,flood,1000,0.13448934194222986
Antique,surge,10,0.0
Antique,surge,25,0.0
Antique,surge,30,0.0
Antique,surge,50,0.0
Antique,surge,100,0.0
Antique,surge,200,0.0
Antique,surge,250,0.0
Antique,surge,500,0.0
Antique,surge,1000,0.0
Antique,wind,10,0.004490535383419886
Antique,wind,25,0.01623712292334458
Antique,wind,30,0.019437795481093763
Antique,wind,50,0.032917702366468175
Antique,wind,100,0.05695694696520155
Antique,wind,200,0.09623543431959801
Antique,wind,250,0.10850438336187493
Antique,wind,500,0.181673189585391
Antique,wind,1000,0.2427141616311225
Apayao,earthquake,10,0.0028242231837825463
Apayao,earthquake,25,0.04038915355434757
Apayao,earthquake,30,0.06959897444317763
Apayao,earthquake,50,0.17458677662686872
Apayao,earthquake,100,0.36371545448677994
Apayao,earthquake,200,0.6027476794557243
Apayao,earthquake,250,0.6792403692750085
Apayao,earthquake,500,0.8163095353231584
Apayao,earthquake,1000,1.1706592426857108
Apayao,flood,10,0.011886765459453165
Apayao,flood,25,0.08265614082064619
Apayao,flood,30,0.10414826666610545
Apayao,flood,50,0.17698148117609247
Apayao,flood,100,0.29903972835350706
Apayao,flood,200,0.4287537035868903
Apayao,flood,250,0.4634121500845951
Apayao,flood,500,0.5843949291877499
Apayao,flood,1000,0.7036825115896087
Apayao,wind,10,0.16675054166536832
Apayao,wind,25,0.3869738625848086
Apayao,wind,30,0.4487051391844488
Apayao,wind,50,0.6490930016050521
Apayao,wind,100,0.9238936001366254
Apayao,wind,200,1.5140017929260283
Apayao,wind,250,1.8264123351909476
Apayao,wind,500,2.4386452437994826
Apayao,wind,1000,3.256005981311035
Aurora,earthquake,10,0.0032138814050679714
Aurora,earthquake,25,0.06131445420802444
Aurora,earthquake,30,0.08659756319935234
Aurora,earthquake,50,0.256352194377354
Aurora,earthquake,100,0.5313371766042697
Aurora,earthquake,200,0.9115266773621258
Aurora,earthquake,250,0.977352821981053
Aurora,earthquake,500,1.1747212045386557
Aurora,earthquake,1000,1.7285496038644965
Aurora,flood,10,0.013763326103156543
Aurora,flood,25,0.06869945595370901
Aurora,flood,30,0.08643460874658596
Aurora,flood,50,0.1648926984308978
Aurora,flood,100,0.24928862853762201
Aurora,flood,200,0.36495665074903766
Aurora,flood,250,0.3961440511631023
Aurora,flood,500,0.4767898900054118
Aurora,flood,1000,0.5502718323979974
Aurora,surge,10,0.021848325485502095
Aurora,surge,25,0.028470091219885904
Aurora,surge,30,0.03044619615785772
Aurora,surge,50,0.037492986522539476
Aurora,surge,100,0.04424164922241248
Aurora,surge,200,0.049126203844381204
Aurora,surge,250,0.04998773647849181
Aurora,surge,500,0.055580852893029595
Aurora,surge,1000,0.05992967146784748
Aurora,wind,10,0.09735351001301625
Aurora,wind,25,0.26063835546022257
Aurora,wind,30,0.30702822522422485
Aurora,wind,50,0.46411123645148794
Aurora,wind,100,0.692672957199725
Aurora,wind,200,0.9818420246089882
Aurora,wind,250,1.0688966907233366
Aurora,wind,500,1.3829541564649168
Aurora,wind,1000,1.6521708945647737
Basilan,earthquake,10,0.0
Basilan,earthquake,25,0.00017556250792451718
Basilan,earthquake,30,0.0004488125576869026
Basilan,earthquake,50,0.004060110753639537
Basilan,earthquake,100,0.017511539072617214
Basilan,earthquake,200,0.043965411660830164
Basilan,earthquake,250,0.05868028726929323
Basilan,earthquake,500,0.10900821035670653
Basilan,earthquake,1000,0.17905205275606112
Basilan,flood,10,0.0
Basilan,flood,25,0.0
Basilan,flood,30,0.0
Basilan,flood,50,0.0
Basilan,flood,100,0.0
Basilan,flood,200,0.0
Basilan,flood,250,0.0
Basilan,flood,500,1.123049280053301e-05
Basilan,flood,1000,0.0005800911863895951
Basilan,surge,10,0.0
Basilan,surge,25,0.0
Basilan,surge,30,0.0
Basilan,surge,50,0.0
Basilan,surge,100,0.0
Basilan,surge,200,0.0
Basilan,surge,250,0.0
Basilan,surge,500,0.0
Basilan,surge,1000,0.0
Basilan,wind,10,0.0
Basilan,wind,25,0.0
Basilan,wind,30,0.0
Basilan,wind,50,0.0
Basilan,wind,100,0.0
Basilan,wind,200,0.0
Basilan,wind,250,2.678195207587011e-07
Basilan,wind,500,1.0417289343665808e-05
Basilan,wind,1000,0.00010595854964520333
Bataan,earthquake,10,0.001578528085983006
Bataan,earthquake,25,0.032333204331281874
Bataan,earthquake,30,0.049840678013599864
Bataan,earthquake,50,0.16910548284514437
Bataan,earthquake,100,0.4776237499176725
Bataan,earthquake,200,0.9770970439007004
Bataan,earthquake,250,1.2252180521595175
Bataan,earthquake,500,1.6481962470963598
Bataan,earthquake,1000,2.6943087947514353
Bataan,flood,10,0.013804037681254128
Bataan,flood,25,0.033583541605990676
Bataan,flood,30,0.041877008977276586
Bataan,flood,50,0.08608299015498834
Bataan,flood,100,0.14801447368895448
Bataan,flood,200,0.2346007393266912
Bataan,flood,250,0.2503132562783959
Bataan,flood,500,0.3053386682893854
Bataan,flood,1000,0.36441063162966053
Bataan,surge,10,0.03739090602510926
Bataan,surge,25,0.06192856857141396
Bataan,surge,30,0.0665623684611552
Bataan,surge,50,0.08104123725735003
Bataan,surge,100,0.1093359040438326
Bataan,surge,200,0.1525413582594588
Bataan,surge,250,0.16235660807934135
Bataan,surge,500,0.18859009707426175
Bataan,surge,1000,0.2242511023763699
Bataan,wind,10,0.1109366531698541
Bataan,wind,25,0.5082496521732578
Bataan,wind,30,0.640091147666901
Bataan,wind,50,1.0785898092059276
Bataan,wind,100,2.0587974007777308
Bataan,wind,200,3.4935308811589962
Bataan,wind,250,4.05823243672768
Bataan,wind,500,6.320244700266832
Bataan,wind,1000,8.35019104550463
Batanes,earthquake,10,0.00013687697440024863
Batanes,earthquake,25,0.0037464971248583278
Batanes,earthquake,30,0.00602140443285315
Batanes,earthquake,50,0.020103207559324612
Batanes,earthquake,100,0.0714153202703977
Batanes,earthquake,200,0.25497308980408206
Batanes,earthquake,250,0.34391336599750527
Batanes,earthquake,500,0.6427296806819024
Batanes,earthquake,1000,0.8857653761170435
Batanes,flood,10,0.006582563104504077
Batanes,flood,25,0.018505827105176127
Batanes,flood,30,0.021665475056576986
Batanes,flood,50,0.033020325521570026
Batanes,flood,100,0.06202261651183374
Batanes,flood,200,0.09246909284997767
Batanes,flood,250,0.10323794934056336
Batanes,flood,500,0.12721537096009083
Batanes,flood,1000,0.14653032065654875
Batanes,wind,10,0.6617821111077954
Batanes,wind,25,1.6592975951091022
Batanes,wind,30,1.977628115106015
Batanes,wind,50,3.053131582428541
Batanes,wind,100,4.695962530712134
Batanes,wind,200,7.530089325414663
Batanes,wind,250,9.017798205717396
Batanes,wind,500,11.355843683610765
Batanes,wind,1000,13.494029382331732
Batangas,earthquake,10,0.005251842179331155
Batangas,earthquake,25,0.05568603626944722
Batangas,earthquake,30,0.08141476675450848
Batangas,earthquake,50,0.194179434516555
Batangas,earthquake,100,0.5145047841351387
Batangas,earthquake,200,0.827498897981685
Batangas,earthquake,250,0.9771400283994821
Batangas,earthquake,500,1.5916988463613075
Batangas,earthquake,1000,2.3245098057021085
Batangas,flood,10,0.011134732222106532
Batangas,flood,25,0.02003278156032959
Batangas,flood,30,0.02292398933404085
Batangas,flood,50,0.03147345412006423
Batangas,flood,100,0.055366262684919475
