country,income_cat,n,c,axfin,gamma_SP,k,fa,v,shew
Albania,nonpoor,0.8,13009.7954979,0.09645449,1.09474309842,70791.5871152,0.0210009212881,0.385,0.0
Albania,poor,0.2,5083.95960182,0.04461803,0.621027606331,25140.7861469,0.0201627672113,0.566,0.0
Angola,nonpoor,0.8,7124.23865836,0.2220807,1.16047574216,16512.5729632,0.00250120807957,0.7,0.0
Angola,poor,0.2,1626.6760573,0.0402588,0.358097031375,3616.24950683,0.0110592910447,0.3,0.0
Antigua and Barbuda,nonpoor,0.8,25704.5045853,0.153,1.22361089575,64278.3094213,0.178557533087,0.763987251286,0.0
Antigua and Barbuda,poor,0.2,1070.04707377,0.153,0.105556416986,2275.78877816,0.186094576801,0.99,0.0
Argentina,nonpoor,0.8,12381.95,0.06069045,1.16900293263,46076.8085978,0.00849751014609,0.3973657375,0.0
Argentina,poor,0.2,2497.2,0.01099222,0.323988269498,8699.97625847,0.00892883075643,0.7,0.0
Armenia,nonpoor,0.8,9380.08582465,0.02506004,1.03596298371,26926.6800085,0.0529821472169,0.2375,0.0
Armenia,poor,0.2,3351.49036001,0.004417139,0.856148065178,3753.08517577,0.0528161102142,0.3,0.0
Australia,nonpoor,0.8,51464.7566589,0.702807,0.91827781831,195480.484494,0.00487847277342,0.6386,0.0
Australia,poor,0.2,16211.1207599,0.4856016,1.32688872676,29730.8648273,0.00526427143166,0.3,0.0
Austria,nonpoor,0.8,50710.0755643,0.6850328,1.12442707341,221622.039266,0.020669217269,0.307,0.0
Austria,poor,0.2,17878.1985667,0.4861395,0.50229170635,63743.9286537,0.0222879360704,0.3,0.0
Azerbaijan,nonpoor,0.8,18313.1411541,0.06077156,1.03854901342,32721.6433698,0.0255508966506,0.2375,0.0
Azerbaijan,poor,0.2,6717.48409147,0.04266026,0.845803946304,2793.13828606,0.0259343278074,0.3,0.0
Bangladesh,nonpoor,0.8,3779.91386196,0.09956344,1.19917770748,12936.0008241,0.057028928843,0.514151072566,0.0
Bangladesh,poor,0.2,1477.11233245,0.03864263,0.203289170079,5543.73395832,0.0569106133545,0.3,0.0
Belarus,nonpoor,0.8,18939.6765294,0.1958292,1.04685214796,51623.7351828,0.0138600354868,0.395,0.0
Belarus,poor,0.2,7952.57136041,0.07855246,0.812591408151,10124.1844379,0.014577876832,0.3,0.0
Belgium,nonpoor,0.8,47922.9532505,0.6023575,1.08486662756,229366.616187,0.00648570424408,0.31,0.0
Belgium,poor,0.2,18036.6476129,0.4867135,0.660533489759,50400.0354977,0.00677606406586,0.3,0.0
Belize,nonpoor,0.8,9475.08099632,0.2864756,1.11258508333,9964.85788796,0.193649609949,0.363706153774,0.0
Belize,poor,0.2,1256.94844501,0.1267646,0.54965966667,863.722444253,0.204227452761,0.351406911859,0.0
