province,income_cat,n,c,social,axfin,gamma_SP,k,fa,v,shew
Abra,nonpoor,0.7280635,203.89142050304673,0.20345720788135577,0.22188520000000003,1.1995276491963258,741.0152228581481,0.6070473667535422,0.13855796848575955,0.06316269830617668
Abra,poor,0.2719365,92.82897218628719,0.17353081756401578,0.0353108,0.4657988220755607,350.0493473686726,0.6053993821429715,0.15674141152795745,0.029682334339514165
Agusan del Norte,nonpoor,0.7232215,234.81632362665312,0.2265208726341895,0.22188520000000003,1.2716905068534743,847.7971701313351,0.24160300969160264,0.13396588152437594,0.24910008607872308
Agusan del Norte,poor,0.2767785,82.34842550798723,0.14733560328849124,0.0353108,0.29007341284698873,327.75438357005703,0.24140908275016124,0.18332523961661343,0.057124600638977625
Agusan del Sur,nonpoor,0.6270424,216.08752224449802,0.11333413685486968,0.22188520000000003,1.2699170514543172,791.8122523149932,0.17307910523376843,0.1453951073367423,0.1391886108170207
Agusan del Sur,poor,0.3729576,83.30408110359976,0.12644386776901576,0.0353108,0.546196576380697,300.73891914096123,0.17297041619302037,0.18510765210475488,0.0762370050559564
Aklan,nonpoor,0.7955394,211.6195103451792,0.23954215296181958,0.22188520000000003,1.1701946565990198,768.3794273024442,0.14849437808821062,0.1713062764492938,0.1285168000815786
Aklan,poor,0.2044606,79.44585903031266,0.18418347295253293,0.0353108,0.3377865711340457,309.46293640777236,0.14821725375050496,0.21603118552610695,0.07756705284875418
Albay,nonpoor,0.6608938,224.00858474710728,0.21355415229826652,0.22188520000000003,1.2979493314935047,816.7526531687836,0.49062228861279306,0.13743752762383982,0.17277507678010853
Albay,poor,0.3391062,76.58221031242061,0.20180436413230068,0.0353108,0.4193180015635163,283.39638992154624,0.4897000525695613,0.1987973628121169,0.08152311956797825
Antique,nonpoor,0.764389,204.4395375188618,0.3512885692024434,0.22188520000000003,1.215601821082291,734.9214613095851,0.1856744356121629,0.1561710497952145,0.17225695192929505
Antique,poor,0.235611,73.00738257920133,0.24319436175917317,0.0353108,0.30052645922613425,306.1791598589443,0.18549503712534351,0.22210993775788518,0.023393244282816975
Apayao,nonpoor,0.4530643,181.01931007890963,0.11781716855981997,0.22188520000000003,1.6092483322134512,656.6708225340868,0.6823694846145045,0.11732873027259683,0.04779411764705884
Apayao,poor,0.5469357,67.65457836874164,0.0970280339888075,0.0353108,0.49531787893813706,251.20927619393885,0.6797645673807429,0.14450675976823651,0.0
Aurora,nonpoor,0.7286746,202.19157232283237,0.1351519451347849,0.22188520000000003,1.2759418143356476,733.9195072477205,0.4277339075953368,0.12016100855994875,0.07072148139521345
Aurora,poor,0.2713254,67.26519313472515,0.08244081427735074,0.0353108,0.25892750481782284,259.0419194822621,0.4265645255542772,0.21136132613965125,0.0
Basilan,nonpoor,0.6788809,142.41108180413096,0.09404484786987755,0.22188520000000003,1.078069271375563,521.4015933299034,0.011489252059452924,0.14739356470422932,0.04201208374315021
Basilan,poor,0.3211191,102.8185674904943,0.10088407543954113,0.0353108,0.8349530214372595,373.60192717124704,0.011488982008399325,0.20189817015209127,0.0
Bataan,nonpoor,0.9553458,289.0746782688089,0.2760261249819631,0.22188520000000003,1.0446366858458838,1050.162974658229,1.01270904472913,0.10527351190867172,0.16199209153847163
Bataan,poor,0.0446542,109.54218999437886,0.03139821189272194,0.0353108,0.0450289032434886,532.4151958908778,1.0118775908293853,0.1276700393479483,0.0
Batanes,nonpoor,0.8181818,175.89881860592754,0.12396245162615824,0.22188520000000003,1.1974549601502276,634.1890352372748,2.084708628853732,0.1778265642151482,0.33342480790340284
Batanes,poor,0.1818182,101.80045308641976,0.019935866544628516,0.0353108,0.11145278792419307,410.6173465866011,2.0843997962572534,0.1,0.5
Batangas,nonpoor,0.8525864,276.5634392311325,0.25268893091866484,0.22188520000000003,1.1482109310438078,1000.2596105004792,0.5315791954938047,0.11198870953893708,0.10123851635614314
Batangas,poor,0.1474136,86.02898454395351,0.10102973003875743,0.0353108,0.14280212857369812,374.28866618945204,0.531269874047666,0.15660513215230104,0.06250698315353008
Benguet,nonpoor,0.9719916,341.0451674638456,0.1885254434254563,0.22188520000000003,1.0239502788459303,1245.3716785382023,0.3982257225425471,0.10152186145968152,0.2003488830116482
Benguet,poor,0.0280084,92.42916188244484,0.11470136490769148,0.0353108,0.16883971037611026,368.2230639350764,0.39781263746399004,0.13112673305994924,0.0
Biliran,nonpoor,0.7911346,205.5642049632353,0.2736680811790785,0.22188520000000003,1.1692244055532797,744.7953709635682,0.35291607250281426,0.13856052036199096,0.17477375565610853
Biliran,poor,0.2088654,82.69809868773434,0.20887795644018833,0.0353108,0.3590164651606647,326.3573188850056,0.35239799974802716,0.2562131762185324,0.04204606320299945
Bohol,nonpoor,0.6942491,224.89207501477603,0.3277312195827249,0.22188520000000003,1.3531243258610952,792.1068487404112,0.13725087486410606,0.1363247773040064,0.1550059104149955
Bohol,poor,0.3057509,78.22296492720628,0.1380023750803216,0.0353108,0.1981830783910301,353.2702093624693,0.13694455308798992,0.1790437960577557,0.048025882211970544
Bukidnon,nonpoor,0.5851226,209.47389468214405,0.09708349291220753,0.22188520000000003,1.3803680918227432,763.7635771706368,0.10450450584845673,0.1193514294269962,0.21304304427730122
Bukidnon,poor,0.4148774,78.06423230374295,0.08748279611687304,0.0353108,0.4635476243238069,287.65676860218156,0.1037727403629489,0.15139864193441538,0.06386220602848627
Bulacan,nonpoor,0.9464024,293.50470803278813,0.18445087373152638,0.22188520000000003,1.039918424201885,1071.6905894820886,0.5170772493880017,0.11386159436983971,0.1594384702848522
