country,hazard,rp,income_cat,fa,shew,v
Algeria,earthquake,250.0,nonpoor,0.113191416906,0.0,0.09645776364
Algeria,earthquake,500.0,nonpoor,0.153331292775,0.0,0.098214510236
Algeria,earthquake,1000.0,nonpoor,0.198274583973,0.0,0.0991036362658
Algeria,earthquake,1500.0,nonpoor,0.226240635404,0.0,0.0994016174107
Algeria,earthquake,2000.0,nonpoor,-3.04686214797e-15,0.0,0.0995509101574
Algeria,flood,1.0,nonpoor,0.000664278159363,0.0,0.03486784401
Algeria,flood,20.0,nonpoor,0.00560451198672,0.0,0.0631006329862
Algeria,flood,50.0,nonpoor,0.0133492194195,0.0,0.0833901735858
Algeria,flood,100.0,nonpoor,0.018761097294,0.0,0.0913558883041
Algeria,flood,250.0,nonpoor,0.0399375482109,0.0,0.09645776364
Algeria,flood,500.0,nonpoor,0.0497175843781,0.0,0.098214510236
Algeria,flood,1000.0,nonpoor,0.0584637267577,0.0,0.0991036362658
Algeria,flood,1500.0,nonpoor,0.0613648140432,0.0,0.0994016174107
Algeria,flood,2000.0,nonpoor,-3.72400943352e-16,0.0,0.0995509101574
Algeria,surge,1.0,nonpoor,0.0,0.0,0.03486784401
Algeria,surge,20.0,nonpoor,0.0,0.0,0.0631006329862
Algeria,surge,50.0,nonpoor,0.0,0.0,0.0833901735858
Algeria,surge,100.0,nonpoor,0.0,0.0,0.0913558883041
Algeria,surge,250.0,nonpoor,0.0,0.0,0.09645776364
Algeria,surge,500.0,nonpoor,0.0,0.0,0.098214510236
Algeria,surge,1000.0,nonpoor,0.0,0.0,0.0991036362658
Algeria,surge,1500.0,nonpoor,0.0,0.0,0.0994016174107
Algeria,surge,2000.0,nonpoor,0.0,0.0,0.0995509101574
Algeria,tsunami,1.0,nonpoor,0.0,0.0,0.03486784401
Algeria,tsunami,20.0,nonpoor,0.0,0.0,0.0631006329862
Algeria,tsunami,50.0,nonpoor,0.0,0.0,0.0833901735858
Algeria,tsunami,100.0,nonpoor,0.0,0.0,0.0913558883041
Algeria,tsunami,250.0,nonpoor,0.0,0.0,0.09645776364
Algeria,tsunami,500.0,nonpoor,0.0,0.0,0.098214510236
Algeria,tsunami,1000.0,nonpoor,0.0,0.0,0.0991036362658
Algeria,tsunami,1500.0,nonpoor,0.0,0.0,0.0994016174107
Algeria,tsunami,2000.0,nonpoor,0.0,0.0,0.0995509101574
Algeria,wind,1.0,nonpoor,0.0,0.0,0.03486784401
Algeria,wind,20.0,nonpoor,0.0,0.0,0.0631006329862
Algeria,wind,50.0,nonpoor,0.0,0.0,0.0833901735858
Algeria,wind,100.0,nonpoor,0.0,0.0,0.0913558883041
Algeria,wind,250.0,nonpoor,0.0,0.0,0.09645776364
Algeria,wind,500.0,nonpoor,0.0,0.0,0.098214510236
Algeria,wind,1000.0,nonpoor,0.0,0.0,0.0991036362658
Algeria,wind,1500.0,nonpoor,0.0,0.0,0.0994016174107
Algeria,wind,2000.0,nonpoor,0.0,0.0,0.0995509101574
Algeria,earthquake,1.0,poor,0.00588843282212,0.0,0.191909963475
Algeria,earthquake,20.0,poor,0.0231717774287,0.0,0.347301088308
Algeria,earthquake,50.0,poor,0.0446897561251,0.0,0.458973177763
Algeria,earthquake,100.0,poor,0.069024904042,0.0,0.502815866178
Algeria,earthquake,250.0,poor,0.113191416906,0.0,0.530896200285
Algeria,earthquake,500.0,poor,0.153331292775,0.0,0.540565200036
Algeria,earthquake,1000.0,poor,0.198274583973,0.0,0.54545888213
Algeria,earthquake,1500.0,poor,0.226240635404,0.0,0.547098947706
Algeria,earthquake,2000.0,poor,-3.04686214797e-15,0.0,0.547920643637
Algeria,flood,1.0,poor,0.000739703374326,0.0,0.191909963475
Algeria,flood,20.0,poor,0.00624087420245,0.0,0.347301088308
Algeria,flood,50.0,poor,0.0148649515419,0.0,0.458973177763
Algeria,flood,100.0,poor,0.0208913190638,0.0,0.502815866178
Algeria,flood,250.0,poor,0.0444722421736,0.0,0.530896200285
Algeria,flood,500.0,poor,0.0553627488868,0.0,0.540565200036
Algeria,flood,1000.0,poor,0.0651019687292,0.0,0.54545888213
Algeria,flood,1500.0,poor,0.0683324588846,0.0,0.547098947706
Algeria,flood,2000.0,poor,-4.14685069073e-16,0.0,0.547920643637
Algeria,surge,1.0,poor,0.0,0.0,0.191909963475
Algeria,surge,20.0,poor,0.0,0.0,0.347301088308
Algeria,surge,50.0,poor,0.0,0.0,0.458973177763
Algeria,surge,100.0,poor,0.0,0.0,0.502815866178
Algeria,surge,250.0,poor,0.0,0.0,0.530896200285
Algeria,surge,500.0,poor,0.0,0.0,0.540565200036
Algeria,surge,1000.0,poor,0.0,0.0,0.54545888213
Algeria,surge,1500.0,poor,0.0,0.0,0.547098947706
Algeria,surge,2000.0,poor,0.0,0.0,0.547920643637
Algeria,tsunami,1.0,poor,0.0,0.0,0.191909963475
Algeria,tsunami,20.0,poor,0.0,0.0,0.347301088308
Algeria,tsunami,50.0,poor,0.0,0.0,0.458973177763
Algeria,tsunami,100.0,poor,0.0,0.0,0.502815866178
Algeria,tsunami,250.0,poor,0.0,0.0,0.530896200285
Algeria,tsunami,500.0,poor,0.0,0.0,0.540565200036
Algeria,tsunami,1000.0,poor,0.0,0.0,0.54545888213
Algeria,tsunami,1500.0,poor,0.0,0.0,0.547098947706
