country,hazard,rp,0
Afghanistan,earthquake,0.1,1.53076349311e-05
Afghanistan,earthquake,0.5,0.000364913314875
Afghanistan,earthquake,1.0,0.000651352367799
Afghanistan,earthquake,1.5,0.000931879441197
Afghanistan,earthquake,2.0,0.00119761027608
Afghanistan,earthquake,3.0,0.00159852282848
Afghanistan,earthquake,5.0,0.00245282223137
Afghanistan,earthquake,10.0,0.00427598680855
Afghanistan,earthquake,20.0,0.00749646680151
Afghanistan,earthquake,50.0,0.0138370834853
Afghanistan,earthquake,100.0,0.0229248852443
Afghanistan,earthquake,250.0,0.0362223368965
Afghanistan,earthquake,500.0,0.0507680459572
Afghanistan,earthquake,1000.0,0.0662819356743
Afghanistan,earthquake,1500.0,0.0768604051043
Afghanistan,earthquake,2000.0,0.0835991700712
Afghanistan,earthquake,4000.0,0.0999530042475
Afghanistan,earthquake,5000.0,0.104730446562
Afghanistan,earthquake,30000.0,0.158412720622
Afghanistan,flood,2.0,0.0
Afghanistan,flood,3.0,2.88329117341e-06
Afghanistan,flood,5.0,0.000264835387867
Afghanistan,flood,10.0,0.00302286084254
Afghanistan,flood,20.0,0.0143656184869
Afghanistan,flood,50.0,0.0259119901942
Afghanistan,flood,100.0,0.0323525726575
Afghanistan,flood,250.0,0.0395455400898
Afghanistan,flood,500.0,0.043912104907
Afghanistan,flood,1000.0,0.04688682046
Afghanistan,flood,1500.0,0.0503952435528
Afghanistan,flood,2000.0,0.0525047687889
Afghanistan,flood,4000.0,0.0578157613497
Afghanistan,flood,5000.0,0.0623703774745
Afghanistan,flood,30000.0,0.0715331728907
Albania,earthquake,0.5,0.000114268058095
Albania,earthquake,1.0,0.000263328367178
Albania,earthquake,1.5,0.000401828884655
Albania,earthquake,2.0,0.000548293311346
Albania,earthquake,3.0,0.000850245177685
Albania,earthquake,5.0,0.00135946289781
Albania,earthquake,10.0,0.0022400305381
Albania,earthquake,20.0,0.00389534735148
Albania,earthquake,50.0,0.00755123790632
Albania,earthquake,100.0,0.0130831015351
Albania,earthquake,250.0,0.0240584971511
Albania,earthquake,500.0,0.0384461897218
Albania,earthquake,1000.0,0.0520894265927
Albania,earthquake,1500.0,0.065586869528
Albania,earthquake,2000.0,0.0798118420339
Albania,earthquake,4000.0,0.104031048746
Albania,earthquake,5000.0,0.106076072852
Albania,earthquake,30000.0,0.137644346185
Albania,flood,10.0,0.000189373767819
Albania,flood,20.0,0.00741297336635
Albania,flood,50.0,0.016700787288
Albania,flood,100.0,0.0193790634139
Albania,flood,250.0,0.0372678726458
Albania,flood,500.0,0.0407810204405
Albania,flood,1000.0,0.0474832374384
Albania,flood,1500.0,0.0538711747425
Albania,flood,2000.0,0.0570441271093
Albania,flood,4000.0,0.0624603732113
Albania,flood,5000.0,0.0637539960144
Albania,flood,30000.0,0.0699907521157
Albania,tsunami,50.0,0.0
Albania,tsunami,100.0,0.0
Albania,tsunami,250.0,1.82947605478e-07
Albania,tsunami,500.0,5.40715044019e-06
Albania,tsunami,1000.0,7.82977227568e-05
Albania,tsunami,1500.0,0.000477449562694
