country,hazard,rp,fa
Australia,tsunami,250.0,0.0
Australia,tsunami,500.0,0.0
Australia,tsunami,1000.0,0.0
Australia,tsunami,1500.0,0.0
Australia,tsunami,2000.0,0.0251470884422
Australia,wind,1.0,2.0388136495e-05
Australia,wind,20.0,9.86185886759e-05
Australia,wind,50.0,0.000367763258022
Australia,wind,100.0,0.000509303544495
Australia,wind,250.0,0.000614480639417
Australia,wind,500.0,0.000721115999883
Australia,wind,1000.0,0.000749575539736
Australia,wind,1500.0,0.000778037538722
Australia,wind,2000.0,0.0
Austria,earthquake,1.0,0.000606340931261
Austria,earthquake,20.0,0.00204691356404
Austria,earthquake,50.0,0.00576231056416
Austria,earthquake,100.0,0.0118409758184
Austria,earthquake,250.0,0.0265044006176
Austria,earthquake,500.0,0.0445249708819
Austria,earthquake,1000.0,0.0718196876451
Austria,earthquake,1500.0,0.0940013047486
Austria,earthquake,2000.0,3.5378791579e-16
Austria,flood,1.0,0.000402955302733
Austria,flood,20.0,0.00140487845267
Austria,flood,50.0,0.00816616562337
Austria,flood,100.0,0.0216167398566
Austria,flood,250.0,0.081930357945
Austria,flood,500.0,0.11315451001
Austria,flood,1000.0,0.153637599566
Austria,flood,1500.0,0.203246247636
Austria,flood,2000.0,0.0
Austria,surge,1.0,0.0
Austria,surge,20.0,0.0
Austria,surge,50.0,0.0
Austria,surge,100.0,0.0
Austria,surge,250.0,0.0
Austria,surge,500.0,0.0
Austria,surge,1000.0,0.0
Austria,surge,1500.0,0.0
Austria,surge,2000.0,0.0
Austria,tsunami,1.0,0.0
Austria,tsunami,20.0,0.0
Austria,tsunami,50.0,0.0
Austria,tsunami,100.0,0.0
Austria,tsunami,250.0,0.0
Austria,tsunami,500.0,0.0
Austria,tsunami,1000.0,0.0
Austria,tsunami,1500.0,0.0
Austria,tsunami,2000.0,0.0
Austria,wind,1.0,0.0
Austria,wind,20.0,0.0
Austria,wind,50.0,0.0
Austria,wind,100.0,0.0
Austria,wind,250.0,0.0
Austria,wind,500.0,0.0
Austria,wind,1000.0,0.0
Austria,wind,1500.0,0.0
Austria,wind,2000.0,0.0
Azerbaijan,earthquake,1.0,0.00440481006551
Azerbaijan,earthquake,20.0,0.0147196610105
Azerbaijan,earthquake,50.0,0.0335037013079
Azerbaijan,earthquake,100.0,0.058440643035
Azerbaijan,earthquake,250.0,0.110287640852
Azerbaijan,earthquake,500.0,0.162963169476
Azerbaijan,earthquake,1000.0,0.227372314673
Azerbaijan,earthquake,1500.0,0.268465712622
Azerbaijan,earthquake,2000.0,1.76396113174e-15
Azerbaijan,flood,1.0,0.000272700018402
Azerbaijan,flood,20.0,0.00329556934364
Azerbaijan,flood,50.0,0.00766206324725
Azerbaijan,flood,100.0,0.0122299680108
Azerbaijan,flood,250.0,0.017489069918
Azerbaijan,flood,500.0,0.0227816171728
Azerbaijan,flood,1000.0,0.0333556664618
Azerbaijan,flood,1500.0,0.039584936996
Azerbaijan,flood,2000.0,0.0
Azerbaijan,surge,1.0,0.0
Azerbaijan,surge,20.0,0.0
Azerbaijan,surge,50.0,0.0
Azerbaijan,surge,100.0,0.0
Azerbaijan,surge,250.0,0.0
Azerbaijan,surge,500.0,0.0
Azerbaijan,surge,1000.0,0.0
Azerbaijan,surge,1500.0,0.0
Azerbaijan,surge,2000.0,0.0
Azerbaijan,tsunami,1.0,0.0
Azerbaijan,tsunami,20.0,0.0
Azerbaijan,tsunami,50.0,0.0
Azerbaijan,tsunami,100.0,0.0
Azerbaijan,tsunami,250.0,0.0
Azerbaijan,tsunami,500.0,0.0
Azerbaijan,tsunami,1000.0,0.0
Azerbaijan,tsunami,1500.0,0.0
Azerbaijan,tsunami,2000.0,0.0
Azerbaijan,wind,1.0,0.0
Azerbaijan,wind,20.0,0.0
Azerbaijan,wind,50.0,0.0
Azerbaijan,wind,100.0,0.0
Azerbaijan,wind,250.0,0.0
Azerbaijan,wind,500.0,0.0
Azerbaijan,wind,1000.0,0.0
Azerbaijan,wind,1500.0,0.0
Azerbaijan,wind,2000.0,0.0
Bangladesh,earthquake,1.0,0.000277843301523
Bangladesh,earthquake,20.0,0.00169685182287
Bangladesh,earthquake,50.0,0.00632420218406
Bangladesh,earthquake,100.0,0.013733265589
Bangladesh,earthquake,250.0,0.031586151699
Bangladesh,earthquake,500.0,0.0526693784676
Bangladesh,earthquake,1000.0,0.07897837223
Bangladesh,earthquake,1500.0,0.0978865420398
Bangladesh,earthquake,2000.0,-2.18424396434e-16
Bangladesh,flood,1.0,0.00770262063007
Bangladesh,flood,20.0,0.0716417902835
Bangladesh,flood,50.0,0.11298688995
Bangladesh,flood,100.0,0.142207735737
Bangladesh,flood,250.0,0.196551256459
Bangladesh,flood,500.0,0.24138225074
Bangladesh,flood,1000.0,0.28680997135
Bangladesh,flood,1500.0,0.29388289415
Bangladesh,flood,2000.0,-3.49479034294e-15
Bangladesh,surge,1.0,7.20437621007e-05
Bangladesh,surge,20.0,0.000779843034356
Bangladesh,surge,50.0,0.00130817150524
Bangladesh,surge,100.0,0.00161313687472
Bangladesh,surge,250.0,0.00195058470043
Bangladesh,surge,500.0,0.00228745153911
Bangladesh,surge,1000.0,0.00243998704085
Bangladesh,surge,1500.0,0.00259252254259
Bangladesh,surge,2000.0,0.0
Bangladesh,tsunami,1.0,0.0
Bangladesh,tsunami,20.0,0.0
Bangladesh,tsunami,50.0,0.0
Bangladesh,tsunami,100.0,0.0
Bangladesh,tsunami,250.0,0.0
Bangladesh,tsunami,500.0,3.33275282546e-05
Bangladesh,tsunami,1000.0,0.000691321739024
Bangladesh,tsunami,1500.0,0.00184458097744
Bangladesh,tsunami,2000.0,0.0551117246679
Bangladesh,wind,1.0,0.00108181731215
Bangladesh,wind,20.0,0.00239139539902
Bangladesh,wind,50.0,0.0512633370577
Bangladesh,wind,100.0,0.071540893278
Bangladesh,wind,250.0,0.0940722566072
Bangladesh,wind,500.0,0.104852417981
Bangladesh,wind,1000.0,0.124009197419
Bangladesh,wind,1500.0,0.12719950279
Bangladesh,wind,2000.0,0.0
Belarus,earthquake,1.0,0.0
Belarus,earthquake,20.0,0.0
Belarus,earthquake,50.0,0.0
Belarus,earthquake,100.0,0.0
Belarus,earthquake,250.0,0.0
Belarus,earthquake,500.0,0.0
Belarus,earthquake,1000.0,0.0
Belarus,earthquake,1500.0,0.0
Belarus,earthquake,2000.0,0.0
Belarus,flood,1.0,0.00251332463649
Belarus,flood,20.0,0.0275955952897
Belarus,flood,50.0,0.0474869104895
Belarus,flood,100.0,0.0612419886163
Belarus,flood,250.0,0.0920270946635
Belarus,flood,500.0,0.0986495982026
Belarus,flood,1000.0,0.111894605292
Belarus,flood,1500.0,0.121455236421
Belarus,flood,2000.0,1.12401331924e-15
Belarus,surge,1.0,0.0
Belarus,surge,20.0,0.0
Belarus,surge,50.0,0.0
Belarus,surge,100.0,0.0
Belarus,surge,250.0,0.0
Belarus,surge,500.0,0.0
Belarus,surge,1000.0,0.0
Belarus,surge,1500.0,0.0
Belarus,surge,2000.0,0.0
Belarus,tsunami,1.0,0.0
Belarus,tsunami,20.0,0.0
Belarus,tsunami,50.0,0.0
Belarus,tsunami,100.0,0.0
Belarus,tsunami,250.0,0.0
Belarus,tsunami,500.0,0.0
Belarus,tsunami,1000.0,0.0
Belarus,tsunami,1500.0,0.0
Belarus,tsunami,2000.0,0.0
Belarus,wind,1.0,0.0
Belarus,wind,20.0,0.0
Belarus,wind,50.0,0.0
Belarus,wind,100.0,0.0
Belarus,wind,250.0,0.0
Belarus,wind,500.0,0.0
Belarus,wind,1000.0,0.0
Belarus,wind,1500.0,0.0
Belarus,wind,2000.0,0.0
Belgium,earthquake,1.0,0.000144925445079
Belgium,earthquake,20.0,0.000536386907872
Belgium,earthquake,50.0,0.00179329719934
Belgium,earthquake,100.0,0.00467561939355
Belgium,earthquake,250.0,0.0134988500214
Belgium,earthquake,500.0,0.0263322346741
Belgium,earthquake,1000.0,0.046986323698
Belgium,earthquake,1500.0,0.0633172397547
Belgium,earthquake,2000.0,0.0
Belgium,flood,1.0,5.59103952436e-05
Belgium,flood,20.0,9.38022060585e-05
Belgium,flood,50.0,0.000896310805276
Belgium,flood,100.0,0.00383907488643
Belgium,flood,250.0,0.0097279419781
Belgium,flood,500.0,0.0215211311275
Belgium,flood,1000.0,0.0317853608797
Belgium,flood,1500.0,0.0367491682306
Belgium,flood,2000.0,4.38397322751e-17
Belgium,surge,1.0,0.0
Belgium,surge,20.0,0.0
Belgium,surge,50.0,0.0
Belgium,surge,100.0,0.0
Belgium,surge,250.0,0.0
Belgium,surge,500.0,0.0
Belgium,surge,1000.0,0.0
Belgium,surge,1500.0,0.0
Belgium,surge,2000.0,0.0
Belgium,tsunami,1.0,0.0
Belgium,tsunami,20.0,0.0
Belgium,tsunami,50.0,0.0
Belgium,tsunami,100.0,0.0
Belgium,tsunami,250.0,0.0
Belgium,tsunami,500.0,0.0
Belgium,tsunami,1000.0,0.0
Belgium,tsunami,1500.0,0.0
Belgium,tsunami,2000.0,0.0
Belgium,wind,1.0,0.0
Belgium,wind,20.0,0.0
Belgium,wind,50.0,0.0
Belgium,wind,100.0,0.0
Belgium,wind,250.0,0.0
Belgium,wind,500.0,0.0
Belgium,wind,1000.0,0.0
Belgium,wind,1500.0,0.0
Belgium,wind,2000.0,0.0
Benin,earthquake,1.0,0.0
Benin,earthquake,20.0,0.0
Benin,earthquake,50.0,1.44367900594e-05
Benin,earthquake,100.0,0.000225738899111
Benin,earthquake,250.0,0.000746775776709
Benin,earthquake,500.0,0.00133605929822
Benin,earthquake,1000.0,0.00229413718398
Benin,earthquake,1500.0,0.00315378241025
Benin,earthquake,2000.0,0.015794723282
Benin,flood,1.0,0.000633880250024
Benin,flood,20.0,0.00914870352119
Benin,flood,50.0,0.0209333451005
Benin,flood,100.0,0.0281887318652
Benin,flood,250.0,0.0693244906601
Benin,flood,500.0,0.0779106146462
Benin,flood,1000.0,0.091437181301
Benin,flood,1500.0,0.0983284727256
Benin,flood,2000.0,0.0
Benin,surge,1.0,0.0
Benin,surge,20.0,0.0
Benin,surge,50.0,0.0
Benin,surge,100.0,0.0
Benin,surge,250.0,0.0
Benin,surge,500.0,0.0
Benin,surge,1000.0,0.0
Benin,surge,1500.0,0.0
Benin,surge,2000.0,0.0
Benin,tsunami,1.0,0.0
Benin,tsunami,20.0,0.0
Benin,tsunami,50.0,0.0
Benin,tsunami,100.0,0.0
Benin,tsunami,250.0,0.0
Benin,tsunami,500.0,0.0
Benin,tsunami,1000.0,0.0
Benin,tsunami,1500.0,0.0
Benin,tsunami,2000.0,0.0
Benin,wind,1.0,0.0
Benin,wind,20.0,0.0
Benin,wind,50.0,0.0
Benin,wind,100.0,0.0
Benin,wind,250.0,0.0
Benin,wind,500.0,0.0
Benin,wind,1000.0,0.0
Benin,wind,1500.0,0.0
Benin,wind,2000.0,0.0
Bhutan,earthquake,1.0,0.000425993643136
Bhutan,earthquake,20.0,0.00131372170262
Bhutan,earthquake,50.0,0.00716973571641
Bhutan,earthquake,100.0,0.0195664914193
Bhutan,earthquake,250.0,0.055600948828
Bhutan,earthquake,500.0,0.104708927665
Bhutan,earthquake,1000.0,0.175499949554
Bhutan,earthquake,1500.0,0.226989878347
Bhutan,earthquake,2000.0,3.18928412442e-16
Bhutan,flood,1.0,0.0022495528795
Bhutan,flood,20.0,0.0629262628996
Bhutan,flood,50.0,0.0965594633278
Bhutan,flood,100.0,0.0987513919453
Bhutan,flood,250.0,0.105327177784
Bhutan,flood,500.0,0.116286820859
Bhutan,flood,1000.0,0.129785402584
Bhutan,flood,1500.0,0.13492612094
Bhutan,flood,2000.0,2.55142729953e-15
Bhutan,surge,1.0,0.0
Bhutan,surge,20.0,0.0
