country,hazard,rp,income_cat,fa,shew
Albania,earthquake,1.0,nonpoor,0.00215435392496,0.0
Albania,earthquake,1.0,poor,0.00215435392496,0.0
Albania,earthquake,20.0,nonpoor,0.00695404540045,0.0
Albania,earthquake,20.0,poor,0.00695404540045,0.0
Albania,earthquake,50.0,nonpoor,0.014734588619,0.0
Albania,earthquake,50.0,poor,0.014734588619,0.0
Albania,earthquake,100.0,nonpoor,0.0254303702267,0.0
Albania,earthquake,100.0,poor,0.0254303702267,0.0
Albania,earthquake,250.0,nonpoor,0.0504009586694,0.0
Albania,earthquake,250.0,poor,0.0504009586694,0.0
Albania,earthquake,500.0,nonpoor,0.080639315085,0.0
Albania,earthquake,500.0,poor,0.080639315085,0.0
Albania,earthquake,1000.0,nonpoor,0.122833230543,0.0
Albania,earthquake,1000.0,poor,0.122833230543,0.0
Albania,earthquake,1500.0,nonpoor,0.153804402698,0.0
Albania,earthquake,1500.0,poor,0.153804402698,0.0
Albania,earthquake,2000.0,nonpoor,1.08144853416e-15,0.0
Albania,earthquake,2000.0,poor,1.08144853416e-15,0.0
Albania,flood,1.0,nonpoor,0.000595010786199,0.0
Albania,flood,1.0,poor,0.000543242746405,0.0
Albania,flood,20.0,nonpoor,0.0129902916924,0.0
Albania,flood,20.0,poor,0.0118600904374,0.0
Albania,flood,50.0,nonpoor,0.0290445877954,0.0
Albania,flood,50.0,poor,0.0265176060807,0.0
Albania,flood,100.0,nonpoor,0.0350915906691,0.0
Albania,flood,100.0,poor,0.0320384983482,0.0
Albania,flood,250.0,nonpoor,0.0618456386069,0.0
Albania,flood,250.0,poor,0.0564648496283,0.0
Albania,flood,500.0,nonpoor,0.0722585878403,0.0
Albania,flood,500.0,poor,0.0659718355031,0.0
Albania,flood,1000.0,nonpoor,0.0842162820851,0.0
Albania,flood,1000.0,poor,0.0768891681177,0.0
Albania,flood,1500.0,nonpoor,0.0899825372249,0.0
Albania,flood,1500.0,poor,0.0821537386957,0.0
Albania,flood,2000.0,nonpoor,5.50299873576e-16,0.0
Albania,flood,2000.0,poor,5.02421841085e-16,0.0
Albania,surge,1.0,nonpoor,0.0,0.0
Albania,surge,1.0,poor,0.0,0.0
Albania,surge,20.0,nonpoor,0.0,0.0
Albania,surge,20.0,poor,0.0,0.0
Albania,surge,50.0,nonpoor,0.0,0.0
Albania,surge,50.0,poor,0.0,0.0
Albania,surge,100.0,nonpoor,0.0,0.0
Albania,surge,100.0,poor,0.0,0.0
Albania,surge,250.0,nonpoor,0.0,0.0
Albania,surge,250.0,poor,0.0,0.0
Albania,surge,500.0,nonpoor,0.0,0.0
Albania,surge,500.0,poor,0.0,0.0
Albania,surge,1000.0,nonpoor,0.0,0.0
Albania,surge,1000.0,poor,0.0,0.0
Albania,surge,1500.0,nonpoor,0.0,0.0
Albania,surge,1500.0,poor,0.0,0.0
Albania,surge,2000.0,nonpoor,0.0,0.0
Albania,surge,2000.0,poor,0.0,0.0
Albania,tsunami,1.0,nonpoor,0.0,0.0
Albania,tsunami,1.0,poor,0.0,0.0
Albania,tsunami,20.0,nonpoor,0.0,0.0
Albania,tsunami,20.0,poor,0.0,0.0
Albania,tsunami,50.0,nonpoor,0.0,0.0
Albania,tsunami,50.0,poor,0.0,0.0
Albania,tsunami,100.0,nonpoor,0.0,0.0
Albania,tsunami,100.0,poor,0.0,0.0
Albania,tsunami,250.0,nonpoor,0.0,0.0
Albania,tsunami,250.0,poor,0.0,0.0
Albania,tsunami,500.0,nonpoor,0.0,0.0
Albania,tsunami,500.0,poor,0.0,0.0
Albania,tsunami,1000.0,nonpoor,0.0,0.0
Albania,tsunami,1000.0,poor,0.0,0.0
Albania,tsunami,1500.0,nonpoor,0.0,0.0
Albania,tsunami,1500.0,poor,0.0,0.0
Albania,tsunami,2000.0,nonpoor,0.0,0.0
Albania,tsunami,2000.0,poor,0.0,0.0
Albania,wind,1.0,nonpoor,0.0,0.0
Albania,wind,1.0,poor,0.0,0.0
Albania,wind,20.0,nonpoor,0.0,0.0
Albania,wind,20.0,poor,0.0,0.0
Albania,wind,50.0,nonpoor,0.0,0.0
Albania,wind,50.0,poor,0.0,0.0
Albania,wind,100.0,nonpoor,0.0,0.0
Albania,wind,100.0,poor,0.0,0.0
Albania,wind,250.0,nonpoor,0.0,0.0
Albania,wind,250.0,poor,0.0,0.0
Albania,wind,500.0,nonpoor,0.0,0.0
