country,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,fa_glofris,protection,tau_tax
Albania,9960.94072581355,2897366.0,0.57407,0.0,0.175,0.1852799860314327,3,0.2,1.5,0.06,0.8,0.05,0.07367993943126039,1.0,0.1867574269182081
Angola,7488.01175983409,21471618.0,0.4405,0.0,0.175,0.43239739052511456,3,0.2,1.5,0.06,0.8,0.05,0.017032878672476978,1.0,0.10613230399367689
Argentina,18087.196261682242,41446246.0,0.91751,0.7333333333333333,0.375,0.2695495148851759,3,0.2,1.5,0.06,0.8,0.05,0.07205781664084926,1.0,0.14528127847863
Armenia,7526.83641911287,2976566.0,0.62673,0.4,0.425,0.3666957212217474,3,0.2,1.5,0.06,0.8,0.05,0.03800051942626459,1.0,0.2684700594609083
Australia,42834.0167597384,23129300.0,0.8942299999999999,0.8,0.9166666666666667,0.27360239086009513,3,0.2,1.5,0.06,0.8,0.05,0.04109036778223482,1.0,0.15777560000000002
Austria,44056.254416802,8479823.0,0.65968,0.8,0.8916666666666666,0.23227851820729004,3,0.2,1.5,0.06,0.8,0.05,0.07921920515759366,1.0,0.417385921738
Azerbaijan,16593.1887600482,9416801.0,0.5462,0.0,0.25,0.5982212831852317,3,0.2,1.5,0.06,0.8,0.05,0.05712771561032616,1.0,0.425931195068567
Bangladesh,2853.4477401556605,156594962.0,0.34276999999999996,0.7333333333333333,0.6166666666666667,0.2897089076246591,3,0.2,1.5,0.06,0.8,0.05,0.22001199985389425,1.0,0.05550015863151309
Belarus,17054.5583344525,9466000.0,0.76667,0.7333333333333333,0.5166666666666667,0.38644453675382373,3,0.2,1.5,0.06,0.8,0.05,0.03563503796859986,1.0,0.32718412041469713
Belgium,40608.9720093428,11182817.0,0.97858,0.0,0.425,0.21669151743746679,3,0.2,1.5,0.06,0.8,0.05,0.10099202257790048,1.0,0.42328490884750014
Benin,1733.30939936435,10323474.0,0.4395,0.6666666666666667,0.25,0.3302533219458435,3,0.2,1.5,0.06,0.8,0.05,0.043864808492979766,1.0,0.07285542246609816
Bolivia,5934.38797771874,10671200.0,0.68512,0.5333333333333333,0.45,0.4218342004210295,3,0.2,1.5,0.06,0.8,0.05,0.04648689477305887,1.0,0.2308646060415801
Bosnia and Herzegovina,9387.35003138015,3829307.0,0.39767,0.0,0.125,0.32393223235700314,3,0.2,1.5,0.06,0.8,0.05,0.13678412833995238,1.0,0.13248633786603436
Botswana,15246.6087973119,2021144.0,0.57444,0.6,0.7083333333333333,0.2811780767140953,3,0.2,1.5,0.06,0.8,0.05,0.034952582599130165,1.0,0.04914448752711831
Brazil,14555.0821953115,200361925.0,0.8568700000000001,0.8666666666666666,0.5583333333333333,0.265575010187584,3,0.2,1.5,0.06,0.8,0.05,0.049661979062635815,1.0,0.20629138088010682
Bulgaria,15695.0177942759,7265115.0,0.73948,0.6666666666666667,0.7166666666666667,0.3230784715072762,3,0.2,1.5,0.06,0.8,0.05,0.0406646206660324,1.0,0.4210410026745
Burkina Faso,1630.4444967271695,16934839.0,0.29859,0.8,0.4166666666666667,0.40566509188102295,3,0.2,1.5,0.06,0.8,0.05,0.011201136451543192,1.0,0.3350184754352661
Burundi,746.960151427392,10162532.0,0.12057,0.6666666666666667,0.25,0.4629793127178333,3,0.2,1.5,0.06,0.8,0.05,0.013002055002250844,1.0,0.09738497966160997
Cambodia,2943.52466835185,15135169.0,0.20723000000000005,0.0,0.15,0.45929444965397004,3,0.2,1.5,0.06,0.8,0.05,0.1597953949501889,1.0,0.02793256760472871
Cameroon,2739.34394480018,22253959.0,0.54381,0.6666666666666667,0.5666666666666667,0.41973757460294764,3,0.2,1.5,0.06,0.8,0.05,0.03702171514027235,1.0,0.03748607872365456
Canada,41898.8823594636,35154279.0,0.81828,0.8666666666666666,0.8333333333333333,0.3354838938558465,3,0.2,1.5,0.06,0.8,0.05,0.03686313445856925,1.0,0.17486100000000004
Central African Republic,584.375944042188,4616417.0,0.40037,0.0,0.0,0.3147438330510679,3,0.2,1.5,0.06,0.8,0.05,0.044632484615373384,1.0,0.06507412020696025
Chad,2021.59347086517,12825314.0,0.22471,0.0,0.0,0.7532009944644721,3,0.2,1.5,0.06,0.8,0.05,0.0781597334231037,1.0,0.06392829943634394
Chile,21714.0315564501,17619708.0,0.8953,0.8,0.925,0.34739411181855295,3,0.2,1.5,0.06,0.8,0.05,0.08372318136236923,1.0,0.1706202905879488
China,11524.567506563,1357380000.0,0.55614,0.8,0.8416666666666667,0.22921637913923992,3,0.2,1.5,0.06,0.8,0.05,0.09268535857950012,1.0,0.1473363666102666
Colombia,12025.385371844199,48321405.0,0.76436,0.7333333333333333,0.7166666666666667,0.2797792564799715,3,0.2,1.5,0.06,0.8,0.05,0.03419750354611952,1.0,0.08849466707554246
"Congo, Dem. Rep.",783.259253578526,67513677.0,0.42494,0.4,0.375,0.23705600185809048,3,0.2,1.5,0.06,0.8,0.05,0.036329393275439416,1.0,0.02923472912434856
"Congo, Rep.",5680.2299827443285,4447632.0,0.6537999999999999,0.0,0.125,0.37275342390232385,3,0.2,1.5,0.06,0.8,0.05,0.0348527324926088,1.0,0.15325657801723264
Costa Rica,13430.743207071202,4872166.0,0.7682100000000001,0.9333333333333333,0.75,0.48189675491736383,3,0.2,1.5,0.06,0.8,0.05,0.02002755712618558,1.0,0.21404341982351455
Croatia,20048.9871590995,4255700.0,0.5896399999999999,0.6666666666666667,0.5583333333333333,0.23052247153165525,3,0.2,1.5,0.06,0.8,0.05,0.10140820045641144,1.0,0.2928353731
Czech Republic,28124.4644802821,10514272.0,0.72992,0.6666666666666667,0.9,0.23979983157078164,3,0.2,1.5,0.06,0.8,0.05,0.0690777073710352,1.0,0.4459824502705999
Denmark,42482.7324552521,5614932.0,0.87676,0.7333333333333333,0.9166666666666667,0.23010606402758518,3,0.2,1.5,0.06,0.8,0.05,0.006072226335407568,1.0,0.3830284111781
Djibouti,2902.5462446952697,872932.0,0.7734300000000001,0.6,0.25,0.2605986206727131,3,0.2,1.5,0.06,0.8,0.05,0.006169676099266541,1.0,0.09772496898379668
