country,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Albania,10971.29252,11359.1704,10971.29252,10397.287390000001,2889167.0,0.57407,2,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.17472126708250002
Angola,6231.067992,5984.6404219999995,6231.067992,6937.006265999999,25021974.0,0.4405,2,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.43239739052511456,1.0,0.10614328583642389
Argentina,19101.29739,18489.43489,19101.29739,18087.19626,43416755.0,0.91751,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.375,0.2695495148851759,1.0,0.14823992809750003
Armenia,8195.93365,8190.239289,8195.93365,7899.284409999999,3017712.0,0.62673,2,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.35249477498239995
Australia,43719.502160000004,44260.57597,43719.502160000004,43654.580519999996,23781169.0,0.89423,2,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.27360239086009513,1.0,0.1580468
Austria,44288.92875,44438.724819999996,44288.92875,43892.72954,8611088.0,0.65968,2,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729004,1.0,0.41664470793400005
Azerbaijan,16698.86365,16001.3234,16698.86365,16695.38942,9651349.0,0.5462,2,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.5982212831852317,1.0,0.4490361125442
Bangladesh,3132.56754,3319.353556,3132.56754,3136.5610690000003,160995642.0,0.34276999999999996,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.1384808001086
Belarus,17229.55519,16752.09877,17229.55519,16621.03344,9513000.0,0.76667,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5166666666666667,0.38644453675382373,1.0,0.41733603660199997
Belgium,41722.92186,42094.57905,41722.92186,41138.38336,11285721.0,0.9785799999999999,2,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.21669151743746679,1.0,0.42395626542699993
Benin,1987.167146,2009.961384,1987.167146,1985.613853,10879829.0,0.4395,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.3302533219458435,1.0,0.072877239158
Bhutan,7743.337995999999,8253.293783,7743.337995999999,7601.368909999999,774830.0,0.38644,2,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.18557539427848196,1.0,0.0187437927508
Bolivia,6531.5193979999995,6707.956184000001,6531.5193979999995,6475.741503,10724705.0,0.68512,2,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.45,0.4218342004210295,1.0,0.1386699910234
Bosnia and Herzegovina,10932.04871,11327.48741,10932.04871,10023.56017,3810416.0,0.39766999999999997,2,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.32393223235700314,1.0,0.132666620978
Botswana,15356.45762,15723.23706,15356.45762,14876.331740000001,2262485.0,0.57444,2,0.2,1.5,0.06,0.8,0.05,0.6,0.7083333333333333,0.2811780767140953,1.0,0.0491444866668
Brazil,14666.01817,14023.69162,14666.01817,14454.937319999999,207847528.0,0.85687,2,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5583333333333333,0.265575010187584,1.0,0.19749189088879998
Bulgaria,17000.16725,17794.52661,17000.16725,16956.409069999998,7177991.0,0.73948,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7166666666666667,0.3230784715072762,1.0,0.420394422812
Burkina Faso,1596.334538,1642.1858339999999,1596.334538,1561.521915,18105570.0,0.29859,2,0.2,1.5,0.06,0.8,0.05,0.8,0.4166666666666667,0.40566509188102295,1.0,0.31634875084
Burundi,748.4152713,721.1765615,748.4152713,692.6739312000001,11178921.0,0.12057000000000001,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.4629793127178333,1.0,0.09738057318683054
Cambodia,3290.9524539999998,3465.125565,3290.9524539999998,3278.221215,15577899.0,0.20723000000000003,2,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.45929444965397004,1.0,0.036281810096000004
Cameroon,3289.064546,3346.817793,3289.064546,2938.776214,23344179.0,0.54381,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5666666666666667,0.41973757460294764,1.0,0.0368617556365
Canada,43002.40931,43113.68397,43002.40931,42890.8811,35851774.0,0.81828,2,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.8333333333333333,0.3354838938558465,1.0,0.17486100000000002
Central African Republic,626.4108725,647.8804448,626.4108725,562.1929716,4900274.0,0.40037,2,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.3147438330510679,1.0,0.0058266931922000016
Chad,2047.6371789999998,1845.914679,2047.6371789999998,2043.5442309999999,14037472.0,0.22471,2,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.7532009944644721,1.0,0.06394174104682257
Chile,22536.61769,22706.720540000002,22536.61769,22145.09481,17948141.0,0.8953,2,0.2,1.5,0.06,0.8,0.05,0.8,0.925,0.34739411181855295,1.0,0.1490115925261
China,13569.89153,14399.44766,13569.89153,13400.26697,1371220000.0,0.55614,2,0.2,1.5,0.06,0.8,0.05,0.8,0.8416666666666667,0.22921637913923992,1.0,0.14733636661026664
Colombia,12985.38313,13124.324840000001,12985.38313,12988.1677,48228704.0,0.76436,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1.0,0.2797792564799715,1.0,0.08851235058899999
Comoros,1413.059277,1411.152339,1413.059277,1363.563075,788474.0,0.28296,2,0.2,1.5,0.06,0.8,0.05,0.26666666666666666,0.16666666666666666,0.197958724460889,1.0,0.027325533015699996
"Congo, Dem. Rep.",750.497342,743.8943423999999,750.497342,736.6802449,77266814.0,0.42494,2,0.2,1.5,0.06,0.8,0.05,0.4,0.375,0.23705600185809048,1.0,0.029224412564999993
"Congo, Rep.",5542.892982,5301.395941,5542.892982,5993.153101,4620330.0,0.6538,2,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.37275342390232385,1.0,0.14124589786259997
Costa Rica,14914.20675,15401.4925,14914.20675,14471.786409999999,4807850.0,0.7682100000000001,2,0.2,1.5,0.06,0.8,0.05,0.9333333333333333,0.75,0.48189675491736383,1.0,0.1669774469852
Cote d'Ivoire,3241.612056,3424.7642100000003,3241.612056,3289.988043,22701556.0,0.5418,2,0.2,1.5,0.06,0.8,0.05,0.4,0.45,0.5759764393620561,1.0,0.09706654291278805
Croatia,20759.04815,21527.967669999998,20759.04815,20429.99271,4224404.0,0.5896399999999999,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5583333333333333,0.23052247153165525,1.0,0.2899902769
Cyprus,30549.10097,31331.392999999996,30549.10097,30309.634830000003,1165300.0,0.6692100000000001,2,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.20174778291418224,1.0,0.34522653622999994
Czech Republic,30605.42052,31338.875210000002,30605.42052,29805.33278,10551219.0,0.72992,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.9,0.23979983157078164,1.0,0.445884949531
Denmark,45458.69715,45991.224780000004,45458.69715,43415.229419999996,5676002.0,0.87676,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.23010606402758518,1.0,0.38092698693759997
Dominican Republic,13371.52499,14098.875869999998,13371.52499,13374.90875,10528391.0,0.7898,2,0.2,1.5,0.06,0.8,0.05,0.6,1.0,0.3771503990888722,1.0,0.12313455722609999
Ecuador,10749.12887,10424.26415,10749.12887,10717.59861,16144363.0,0.63742,2,0.2,1.5,0.06,0.8,0.05,0.8,0.4583333333333333,0.25747347179967145,1.0,0.1876875714136
"Egypt, Arab Rep.",10095.61017,10319.25693,10095.61017,10249.95791,91508084.0,0.43135,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4583333333333333,0.4927783418827425,1.0,0.11750810968749997
El Salvador,7845.157575,7989.997256000001,7845.157575,8095.558984,6126583.0,0.6672600000000001,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5083333333333333,0.13424357530792413,1.0,0.19649546223840003
Estonia,27549.58137,28109.817039999998,27549.58137,26929.664039999996,1311998.0,0.67538,2,0.2,1.5,0.06,0.8,0.05,0.0,0.4,0.2800603915970392,1.0,0.36112345923100003
Ethiopia,1533.107632,1608.293476,1533.107632,1529.893783,99390750.0,0.19472,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5916666666666667,0.3781161653838428,1.0,0.09903525175446175
Finland,38885.89576,39521.5602,38885.89576,38642.81235,5482013.0,0.84221,2,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.8916666666666666,0.21799096857432496,1.0,0.35787926031559997
France,37765.750869999996,38061.094260000005,37765.750869999996,37305.69062,66808385.0,0.7952,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.95,0.2234491797478895,1.0,0.3854374144599999
Gabon,16836.60591,16786.00072,16836.60591,18831.90124,1725292.0,0.87156,2,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5916666666666667,0.3299123735952057,1.0,0.1262599558242
Georgia,9025.133143000001,9276.766243,9025.133143000001,9109.256977,3679000.0,0.53641,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6166666666666667,0.3632651483124993,1.0,0.5675608270170001
Germany,43937.94713,44356.85773,43937.94713,44053.068119999996,81413145.0,0.7530100000000001,2,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.27301744639675013,1.0,0.4051216107369
Ghana,3929.681044,3980.202106,3929.681044,3953.2101799999996,27409893.0,0.54042,2,0.2,1.5,0.06,0.8,0.05,0.8,0.5416666666666667,0.40793501657637044,1.0,0.1724460261852
Greece,24170.30184,24223.992290000002,24170.30184,24617.037330000003,10823732.0,0.7800699999999999,2,0.2,1.5,0.06,0.8,0.05,0.8,0.4666666666666667,0.23679175031633581,1.0,0.49031052092099997
Guatemala,7292.719104000001,7366.76848,7292.719104000001,7252.949965999999,16342897.0,0.51571,2,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.5833333333333333,0.6475627728005022,1.0,0.039257488246899994
Guinea,1753.063116,1823.3387879999998,1753.063116,1135.48655,12608590.0,0.37161,2,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.3510694892836516,1.0,0.07315949363738812
Haiti,1651.228445,1653.9618480000001,1651.228445,1658.4132029999998,10711067.0,0.58645,2,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.25,0.1333669537730951,1.0,0.014258189663599997
Honduras,4311.176397,4392.265947,4311.176397,4785.086300999999,8075060.0,0.5473,2,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,0.5666666666666667,0.3635926941047578,1.0,0.138792027484
Hungary,25034.45073,25664.136000000002,25034.45073,24474.48885,9844686.0,0.71227,2,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.6666666666666667,0.22126941170098394,1.0,0.5558629060000001
India,5754.064597,6092.648097,5754.064597,5730.137505,1311050527.0,0.32747,2,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.775,0.4525301642355351,1.0,0.11890031958518829
Indonesia,10367.6953,10764.548,10367.6953,10385.32332,257563815.0,0.53742,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6083333333333334,0.30997681866727844,1.0,0.1257301264323353
"Iran, Islamic Rep.",16500.90051,18497.67701,16500.90051,16507.02425,79109272.0,0.73375,2,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.31799517747918205,1.0,0.13894089969118878
Iraq,14928.8864,16086.91806,14928.8864,14017.773790000001,36423395.0,0.69471,2,0.2,1.5,0.06,0.8,0.05,0.2,0.25,0.5840924714508963,1.0,0.11397677753599998
Ireland,61543.2053,63301.15414,61543.2053,51899.199889999996,4640703.0,0.63241,2,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.31125054927451323,1.0,0.5068029456956
Israel,32024.352769999998,32688.4081,32024.352769999998,31670.69432,8380400.0,0.9214,2,0.2,1.5,0.06,0.8,0.05,0.0,0.4,0.3584782813615938,1.0,0.1781559119449155
Italy,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.6896399999999999,2,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.7166666666666667,0.2046119687179293,1.0,0.4149682944485001
Jamaica,8095.261867,8179.62034,8095.261867,8528.896333,2725941.0,0.54788,2,0.2,1.5,0.06,0.8,0.05,0.6,0.4083333333333333,0.38100911347268046,1.0,0.1537192746192
Japan,37818.09076,38252.301139999996,37818.09076,35804.2312,126958472.0,0.9349799999999999,2,0.2,1.5,0.06,0.8,0.05,0.8,0.8166666666666667,0.21044253355545398,1.0,0.21096848096488785
Jordan,8491.050310999999,8389.604573999999,8491.050310999999,10239.664279999999,7594547.0,0.8367899999999999,2,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.425,0.17572272222131016,1.0,0.2062340737656
Kazakhstan,23522.29052,23446.56506,23522.29052,24352.8462,17544126.0,0.53247,2,0.2,1.5,0.06,0.8,0.05,0.6,0.775,0.3305707553557686,1.0,0.04896704281000001
Kenya,2835.643662,2925.600917,2835.643662,2901.012941,46050302.0,0.25622,2,0.2,1.5,0.06,0.8,0.05,0.8,0.5083333333333333,0.46296027315172006,1.0,0.071040476838
Kyrgyz Republic,3237.602937,3293.700997,3237.602937,3224.877613,5957000.0,0.35707,2,0.2,1.5,0.06,0.8,0.05,0.6,0.4833333333333333,0.5202256666410198,1.0,0.2750604545954
Lao PDR,5755.059504999999,6073.223695000001,5755.059504999999,5341.30792,6802023.0,0.38614,2,0.2,1.5,0.06,0.8,0.05,0.4,0.16666666666666666,0.2472988860728427,1.0,0.12650193795999998
Latvia,23034.53672,23728.51364,23034.53672,22628.43727,1978440.0,0.67382,2,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.2393699080806075,1.0,0.25476504839999997
Lesotho,2708.1485390000003,2736.354895,2708.1485390000003,2517.0102100000004,2135022.0,0.27312,2,0.2,1.5,0.06,0.8,0.05,0.4,0.16666666666666666,0.1992120956582078,1.0,0.08183701978968555
Liberia,785.2468867,753.557379,785.2468867,786.916697,4503438.0,0.49701000000000006,2,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.4725120712732518,1.0,0.12570062335999999
Lithuania,26970.96093,27943.81512,26970.96093,26396.86808,2910199.0,0.66508,2,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.3129644244946807,1.0,0.3470070992
Luxembourg,94088.59223,94920.95872000001,94088.59223,93552.60435,569676.0,0.9016,2,0.2,1.5,0.06,0.8,0.05,0.0,0.5,0.24723066038615737,1.0,0.3869394408411999
"Macedonia, FYR",12759.8166,13054.890809999999,12759.8166,12724.67528,2078453.0,0.57104,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.2639321665831752,1.0,0.2661866591405015
Madagascar,1377.1682130000002,1396.669615,1377.1682130000002,1373.344023,24235390.0,0.35105,2,0.2,1.5,0.06,0.8,0.05,0.6,0.25,0.2940729838426214,1.0,0.092780172205
Malawi,1088.7018050000001,1083.8014210000001,1088.7018050000001,1112.987302,17215232.0,0.16272,2,0.2,1.5,0.06,0.8,0.05,0.8,0.3333333333333333,0.25307656921941635,1.0,0.023317183743499996
Malaysia,25001.61267,25668.88436,25001.61267,25308.0193,30331007.0,0.74705,2,0.2,1.5,0.06,0.8,0.05,0.8,0.7666666666666666,0.2505940745612133,1.0,0.06180797834480001
