country,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Mali,1919.228421,1971.08448,1919.228421,2285.307216,17599694.0,0.39916,2,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.6438448659589122,1.0,0.05073640846809999
Mauritania,3601.61435,3572.28055,3601.61435,3693.5420409999997,4067564.0,0.59859,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.23810597085800642,1.0,0.08645968254436041
Mauritius,18864.10566,19567.48966,18864.10566,18333.4202,1262605.0,0.39671,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.7416666666666667,0.29481279169257346,1.0,0.33331127232359997
Mexico,16671.91198,16832.463040000002,16671.91198,16501.9411,127017224.0,0.79246,2,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.7666666666666666,0.36826304497677287,1.0,0.2764335540034
Moldova,4746.784911,4944.399693,4746.784911,4741.824603,3554150.0,0.44995,2,0.2,1.5,0.06,0.8,0.05,0.6,0.375,0.25670477375728673,1.0,0.3689796337418
Mongolia,11411.94211,11361.00642,11411.94211,11470.904859999999,2959134.0,0.7204,2,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5666666666666667,0.20767487925071607,1.0,0.23075889541699998
Montenegro,15289.7174,15737.021130000001,15289.7174,15010.48497,622388.0,0.64026,2,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,1.0,0.33366082007440007
Morocco,7296.934401,7285.908320999999,7296.934401,7360.856456999999,34377511.0,0.60195,2,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.75,0.26925696721882303,1.0,0.13473615460588653
Namibia,9964.222994,9852.035111,9964.222994,9800.779946999999,2458830.0,0.4666,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6083333333333334,0.2751726819797061,1.0,0.13636260259223673
Nepal,2314.274881,2297.652539,2314.274881,2313.392778,28513700.0,0.18615,2,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.2701993002713125,1.0,0.3452101968322
Netherlands,46494.36426,47269.63295,46494.36426,46374.36827,16936520.0,0.90496,2,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.25251989485705195,1.0,0.3409211121335
Nicaragua,4960.912412,5136.841574,4960.912412,4884.150761,6082032.0,0.5877899999999999,2,0.2,1.5,0.06,0.8,0.05,0.6,0.4833333333333333,0.29951711867347164,1.0,0.13307502897120002
Niger,904.5797812999999,914.4670358,904.5797812999999,897.3953205,19899120.0,0.18732000000000001,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.23359231685535525,1.0,0.06171302872249999
Nigeria,5670.639443,5434.734795,5670.639443,5638.887379,182201962.0,0.47776,2,0.2,1.5,0.06,0.8,0.05,0.8,0.5916666666666667,0.8736444729486806,1.0,0.0110611768726
Norway,64008.28683,64139.54705,64008.28683,64450.53861,5195921.0,0.8047300000000001,2,0.2,1.5,0.06,0.8,0.05,0.8,1.0,0.3359516873480029,1.0,0.31520003174600003
Pakistan,4695.699879,4854.632259,14982.40754,4744.848617000001,188924874.0,0.38758000000000004,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5416666666666667,0.3767173581299691,1.0,0.1304859775967
Panama,20674.299730000002,21334.93968,3866.513529,20885.33945,3929141.0,0.66592,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1.0,0.5402427160644628,1.0,0.1170097458278
Paraguay,8639.28685,8871.37954,11767.52174,8643.687633,6639123.0,0.5966600000000001,2,0.2,1.5,0.06,0.8,0.05,0.8,0.6666666666666667,0.3682732130696673,1.0,0.15109959457740002
Peru,11767.52174,12071.59238,6874.582566,11672.14235,31376670.0,0.78609,2,0.2,1.5,0.06,0.8,0.05,0.6,1.0,0.27019867536419195,1.0,0.20011153873289997
Philippines,6874.582566,7236.467070999999,25299.97435,6925.521323999999,100699395.0,0.44373,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1.0,0.27365718828027585,1.0,0.2259233568
Poland,25299.97435,26035.8379,26607.83312,24835.89804,37999494.0,0.60539,2,0.2,1.5,0.06,0.8,0.05,0.6,0.7916666666666667,0.41320263199936846,1.0,0.49676718430000016
Portugal,26607.83312,27102.6637,40919.62815,26690.06482,10348648.0,0.63468,2,0.2,1.5,0.06,0.8,0.05,0.8,0.6666666666666667,0.19024226740462855,1.0,0.46200575272
Romania,20545.07714,21614.68624,24516.54995,19925.53855,19832389.0,0.54564,2,0.2,1.5,0.06,0.8,0.05,0.6,0.6916666666666667,0.2677480378213938,1.0,0.42337980070000003
Russian Federation,24516.54995,24416.623880000003,1715.8870739999998,23895.341,144096812.0,0.7400800000000001,2,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.3491630039272151,1.0,0.26006943104906677
Rwanda,1715.8870739999998,1773.750484,5558.791879,1655.175355,11609666.0,0.28811,2,0.2,1.5,0.06,0.8,0.05,0.8,0.4833333333333333,0.712577817249879,1.0,0.07666513896960002
Senegal,2293.853539,2379.4512640000003,13277.80012,2287.668448,15129273.0,0.43721000000000004,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5083333333333333,0.22621011201636318,1.0,0.21141223938820003
Serbia,13277.80012,13720.89089,25524.955,12863.07931,7098247.0,0.55553,2,0.2,1.5,0.06,0.8,0.05,0.6,1.0,0.2201204533701086,1.0,0.3705947008277
Sierra Leone,1315.973533,1368.8290980000002,80892.06483999999,1496.944168,6453184.0,0.39942,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.3333333333333333,0.4068659912801502,1.0,0.0299307643222
Slovak Republic,28308.87977,29212.3782,29037.741680000003,27394.19738,5424050.0,0.53598,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.625,0.30590188604179597,1.0,0.39299308514840003
Slovenia,29037.741680000003,29930.03704,20544.62565,28941.86586,2063768.0,0.4965,2,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.6916666666666667,0.2213378830398852,1.0,0.363120769225
South Africa,12362.58381,12236.83195,5331.4262659999995,12389.95681,54956920.37,0.6480100000000001,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.7166666666666667,0.41221819094326817,1.0,0.16854396531260005
Spain,32291.1552,33320.035110000004,11196.39687,32814.45207,46418269.0,0.79579,2,0.2,1.5,0.06,0.8,0.05,0.8,0.7166666666666667,0.18299929671374224,1.0,0.4340001508192
Sri Lanka,11196.39687,11639.30965,24169.859790000002,11047.66697,20966000.0,0.18356,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5083333333333333,0.33796080258900235,1.0,0.08815519715489999
Sudan,4290.372249,4386.352577000001,14766.799180000002,3927.4882939999998,40234882.0,0.33805999999999997,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.9487533644538989,1.0,0.05973195094869286
Swaziland,7758.4955629999995,7723.6410590000005,45679.278,7930.358126,1286970.0,0.21308000000000002,2,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.19038060692098577,1.0,0.1095257682360058
Sweden,45679.278,46568.17715,57264.1574,45296.45618,9798871.0,0.85815,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.357367643802592,1.0,0.35733395495500003
Tajikistan,2640.58952,2762.585453,2490.957101,2616.191272,8481855.0,0.26782,2,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.3854263244630784,1.0,0.2350985241413278
Tanzania,2490.957101,2583.589673,15236.70646,2510.235057,53470420.0,0.31608,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.41320436712274966,1.0,0.0764790819427
Thailand,15236.70646,15683.03242,1920.1504719999998,15345.355590000001,67959359.0,0.50374,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7416666666666667,0.24033636299972685,1.0,0.271786369699
Togo,1349.371568,1382.109747,5189.842453,1373.84087,7304578.0,0.39964,2,0.2,1.5,0.06,0.8,0.05,0.2,0.25,0.3708920312086315,1.0,0.09408494373781558
Tunisia,10749.85917,10752.01683,23388.4813,10726.14232,11107800.0,0.66842,2,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5333333333333333,0.24926564326912068,1.0,0.14443065277137432
Turkey,23388.4813,23756.48429,14992.32314,18958.62498,78665830.0,0.73397,2,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.6916666666666667,0.4121669094199699,1.0,0.20902863845599995
Uganda,1665.9499050000002,1687.0827359999998,7464.939834000001,1717.8292059999999,39032383.0,0.16101,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5916666666666667,0.5735745521051661,1.0,0.10343571918880001
Ukraine,7464.939834000001,7668.055776,65975.37555,7449.7679849999995,45198200.0,0.69695,2,0.2,1.5,0.06,0.8,0.05,0.0,0.05,0.2458541924399426,1.0,0.405491149206
United Kingdom,38839.16696,39254.77217,53029.29336,38657.78827,65138232.0,0.8259200000000001,2,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.30312817474804055,1.0,0.4345068755351999
United States,53029.29336,53445.37059,15268.6872,52549.006519999995,321418820.0,0.81617,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.3187368533465751,1.0,0.11754
Uruguay,19831.44589,20046.92683,5700.236028,19952.25325,3431555.0,0.95311,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6333333333333333,0.29188665397068997,1.0,0.39083451349320014
Uzbekistan,5700.236028,6038.928299,2806.789686,5642.823578,31299500.0,0.36365,2,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.730183656731034,1.0,0.2437793159126027
West Bank and Gaza,4339.103693,4389.226729999999,14765.35631,4714.924621,4422143.0,0.75252,2,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.16666666666666666,0.2839136336093442,1.0,0.046955463332200006
"Yemen, Rep.",2641.0458289999997,2325.0699600000003,3627.2020409999996,3663.307829,26832215.0,0.34606,2,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,0.16666666666666666,0.2191314756601725,1.0,0.0807810893422
Zambia,3627.2020409999996,3646.962322,1912.280264,3625.8064259999996,16211767.0,0.40922,2,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5416666666666667,0.425750249346411,1.0,0.0892315782606
