country,gdp_pc_pp,gdp_pc_pp_2015,gdp_pd_pp_2005,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Montenegro,15737.021130000001,15289.7174,15010.48497,622388.0,0.64026,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.3648966623915853,1.0,0.3336608200744
Morocco,7285.908320999999,7296.934401,7360.856456999999,34377511.0,0.60195,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,1,0.26925696721882303,1.0,0.13473615460588656
Namibia,9852.035111,9964.222994,9800.779946999999,2458830.0,0.4666,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.2751726819797061,1.0,0.1363626025922368
Nepal,2297.652539,2314.274881,2313.392778,28513700.0,0.18615,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.2701993002713125,1.0,0.3452101968322
Netherlands,47269.63295,46494.36426,46374.36827,16936520.0,0.90496,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.25251989485705195,1.0,0.34092111213349996
Nicaragua,5136.841574,4960.912412,4884.150761,6082032.0,0.5877899999999999,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.29951711867347164,1.0,0.13307502897120002
Niger,914.4670358,904.5797812999999,897.3953205,19899120.0,0.18732000000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.23359231685535525,1.0,0.06171302872250001
Nigeria,5434.734795,5670.639443,5638.887379,182201962.0,0.47776,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.8736444729486806,1.0,0.011061176872599998
Norway,64139.54705,64008.28683,64450.53861,5195921.0,0.8047300000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.3359516873480029,1.0,0.31520003174600003
Pakistan,4854.632259,14982.40754,4744.848617000001,188924874.0,0.38758000000000004,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.3767173581299691,1.0,0.13048597759670003
Panama,21334.93968,3866.513529,20885.33945,3929141.0,0.66592,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.5402427160644628,1.0,0.11700974582780002
Paraguay,8871.37954,11767.52174,8643.687633,6639123.0,0.5966600000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.3682732130696673,1.0,0.15109959457740002
Peru,12071.59238,6874.582566,11672.14235,31376670.0,0.78609,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.27019867536419195,1.0,0.20011153873289997
Philippines,7236.467070999999,25299.97435,6925.521323999999,100699395.0,0.44373,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.27365718828027585,1.0,0.22592335680000003
Poland,26035.8379,26607.83312,24835.89804,37999494.0,0.60539,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.41320263199936846,1.0,0.4967671843000001
Portugal,27102.6637,40919.62815,26690.06482,10348648.0,0.63468,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.19024226740462855,1.0,0.46200575272
Romania,21614.68624,24516.54995,19925.53855,19832389.0,0.54564,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.2677480378213938,1.0,0.42337980070000003
Russian Federation,24416.623880000003,1715.8870739999998,23895.341,144096812.0,0.7400800000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.3491630039272151,1.0,0.26006943104906677
Rwanda,1773.750484,5558.791879,1655.175355,11609666.0,0.28811,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.712577817249879,1.0,0.0766651389696
Senegal,2379.4512640000003,13277.80012,2287.668448,15129273.0,0.43721000000000004,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.22621011201636318,1.0,0.21141223938820006
Serbia,13720.89089,25524.955,12863.07931,7098247.0,0.55553,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.2201204533701086,1.0,0.3705947008277
Sierra Leone,1368.8290980000002,80892.06483999999,1496.944168,6453184.0,0.39942,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.4068659912801502,1.0,0.0299307643222
Slovak Republic,29212.3782,29037.741680000003,27394.19738,5424050.0,0.53598,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.30590188604179597,1.0,0.39299308514840003
Slovenia,29930.03704,20544.62565,28941.86586,2063768.0,0.4965,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,1,0.2213378830398852,1.0,0.36312076922500003
South Africa,12236.83195,5331.4262659999995,12389.95681,54956920.37,0.6480100000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.41221819094326817,1.0,0.16854396531260002
Spain,33320.035110000004,11196.39687,32814.45207,46418269.0,0.79579,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.18299929671374224,1.0,0.43400015081919996
Sri Lanka,11639.30965,24169.859790000002,11047.66697,20966000.0,0.18356,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.33796080258900235,1.0,0.08815519715489999
Sudan,4386.352577000001,14766.799180000002,3927.4882939999998,40234882.0,0.33805999999999997,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.9487533644538989,1.0,0.05973195094869285
Swaziland,7723.6410590000005,45679.278,7930.358126,1286970.0,0.21308000000000002,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.19038060692098577,1.0,0.1095257682360058
Sweden,46568.17715,57264.1574,45296.45618,9798871.0,0.85815,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.357367643802592,1.0,0.35733395495500003
Tajikistan,2762.585453,2490.957101,2616.191272,8481855.0,0.26782,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.3854263244630784,1.0,0.23509852414132779
Tanzania,2583.589673,15236.70646,2510.235057,53470420.0,0.31608,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.41320436712274966,1.0,0.07647908194269999
Thailand,15683.03242,1920.1504719999998,15345.355590000001,67959359.0,0.50374,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.24033636299972685,1.0,0.27178636969899994
Togo,1382.109747,5189.842453,1373.84087,7304578.0,0.39964,3.0,0.2,1.5,0.06,0.8,0.05,0.2,1,0.3708920312086315,1.0,0.09408494373781558
Tunisia,10752.01683,23388.4813,10726.14232,11107800.0,0.66842,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,1,0.24926564326912068,1.0,0.14443065277137432
Turkey,23756.48429,14992.32314,18958.62498,78665830.0,0.73397,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,1,0.4121669094199699,1.0,0.20902863845599995
Uganda,1687.0827359999998,7464.939834000001,1717.8292059999999,39032383.0,0.16101,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.5735745521051661,1.0,0.10343571918880003
Ukraine,7668.055776,65975.37555,7449.7679849999995,45198200.0,0.69695,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.2458541924399426,1.0,0.405491149206
United Kingdom,39254.77217,53029.29336,38657.78827,65138232.0,0.8259200000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.30312817474804055,1.0,0.4345068755351999
United States,53445.37059,15268.6872,52549.006519999995,321418820.0,0.81617,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.3187368533465751,1.0,0.11754
Uruguay,20046.92683,5700.236028,19952.25325,3431555.0,0.95311,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.29188665397068997,1.0,0.3908345134932
Uzbekistan,6038.928299,2806.789686,5642.823578,31299500.0,0.36365,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.730183656731034,1.0,0.2437793159126027
West Bank and Gaza,4389.226729999999,14765.35631,4714.924621,4422143.0,0.75252,3.0,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,1,0.2839136336093442,1.0,0.0469554633322
"Yemen, Rep.",2325.0699600000003,3627.2020409999996,3663.307829,26832215.0,0.34606,3.0,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,1,0.2191314756601725,1.0,0.08078108934220002
Zambia,3646.962322,1912.280264,3625.8064259999996,16211767.0,0.40922,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,1,0.425750249346411,1.0,0.08923157826060002
