country,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Albania,10397.2873905,2889167.0,0.57407,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1.0,0.174721266757
Angola,6937.00626612,25021974.0,0.4405,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,1.0,0.106143285836
Argentina,18087.1962617,43416755.0,0.91751,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,1.0,0.148239928369
Armenia,7899.2844103,3017712.0,0.62673,4,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.366695721222,1.0,0.352494774979
Australia,43654.5805244,23781169.0,0.89423,4,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.27360239086,1.0,0.1580468
Austria,43892.7295367,8611088.0,0.65968,4,0.2,1.5,0.06,0.8,0.05,0.8,0.891666666667,0.232278518207,1.0,0.416644707934
Azerbaijan,16695.3894225,9651349.0,0.5462,4,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.598221283185,1.0,0.449036112152
Bangladesh,3136.5610687,160995642.0,0.34277,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.616666666667,0.289708907625,1.0,0.138480799783
Belarus,16621.0334358,9513000.0,0.76667,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.516666666667,0.386444536754,1.0,0.417336036791
Belgium,41138.3833578,11285721.0,0.97858,4,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.216691517437,1.0,0.423956265427
Benin,1985.61385324,10879829.0,0.4395,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.25,0.330253321946,1.0,0.072877239322
Bhutan,7601.36890976,774830.0,0.38644,4,0.2,1.5,0.06,0.8,0.05,0.6,0.416666666667,0.185575394278,1.0,0.0187437927994
Bolivia,6475.74150327,10724705.0,0.68512,4,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.45,0.421834200421,1.0,0.138669990985
Bosnia and Herzegovina,10023.5601739,3810416.0,0.39767,4,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.323932232357,1.0,0.132666620732
Botswana,14876.3317412,2262485.0,0.57444,4,0.2,1.5,0.06,0.8,0.05,0.6,0.708333333333,0.281178076714,1.0,0.0491444870728
Brazil,14454.9373211,207847528.0,0.85687,4,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.558333333333,0.265575010188,1.0,0.19749189098
Bulgaria,16956.4090651,7177991.0,0.73948,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.716666666667,0.323078471507,1.0,0.420394422812
Burkina Faso,1561.5219147,18105570.0,0.29859,4,0.2,1.5,0.06,0.8,0.05,0.8,0.416666666667,0.405665091881,1.0,0.316348750469
Burundi,692.673931192,11178921.0,0.12057,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.25,0.462979312718,1.0,0.0973805731868
Cambodia,3278.22121464,15577899.0,0.20723,4,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.459294449654,1.0,0.0362818098264
Cameroon,2938.77621414,23344179.0,0.54381,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.566666666667,0.419737574603,1.0,0.0368617555182
Canada,42890.8811043,35851774.0,0.81828,4,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.833333333333,0.335483893856,1.0,0.174861
Central African Republic,562.192971628,4900274.0,0.40037,4,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.314743833051,1.0,0.00582669309724
Chad,2043.54423074,14037472.0,0.22471,4,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.753200994464,1.0,0.0639417410468
Chile,22145.0948098,17948141.0,0.8953,4,0.2,1.5,0.06,0.8,0.05,0.8,0.925,0.347394111819,1.0,0.149011592156
China,13400.2669688,1371220000.0,0.55614,4,0.2,1.5,0.06,0.8,0.05,0.8,0.841666666667,0.229216379139,1.0,0.14733636661
Colombia,12988.1676969,48228704.0,0.76436,4,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.716666666667,0.27977925648,1.0,0.0885123504424
Comoros,1363.56307523,788474.0,0.28296,4,0.2,1.5,0.06,0.8,0.05,0.266666666667,0.166666666667,0.197958724461,1.0,0.0273255328349
"Congo, Dem. Rep.",736.680244903,77266814.0,0.42494,4,0.2,1.5,0.06,0.8,0.05,0.4,0.375,0.237056001858,1.0,0.0292244126983
"Congo, Rep.",5993.15310088,4620330.0,0.6538,4,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.372753423902,1.0,0.141245898273
Costa Rica,14471.7864116,4807850.0,0.76821,4,0.2,1.5,0.06,0.8,0.05,0.933333333333,0.75,0.481896754917,1.0,0.166977447168
Cote d'Ivoire,3289.98804339,22701556.0,0.5418,4,0.2,1.5,0.06,0.8,0.05,0.4,0.45,0.575976439362,1.0,0.0970665429128
Croatia,20429.9927083,4224404.0,0.58964,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.558333333333,0.230522471532,1.0,0.2899902769
Cyprus,30309.6348301,1165300.0,0.66921,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.201747782914,1.0,0.34522653623
Czech Republic,29805.3327833,10551219.0,0.72992,4,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.9,0.239799831571,1.0,0.445884949531
