country,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,fa_glofris,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Costa Rica,13430.743207071,4872166.000000000,0.768210000,0.933333333,0.750000000,0.481896755,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.020027557,1.000000000,0.241123791,1.398550682,52.450107169,255545628.845874757,0.000000969,4.720332178,1.760261323,1.196085060,67153.716035356,52.450107169,73.354133173,73.354133173,52.450107169,0.000000969,0.005841500,5.000000000,1.760261323,1.760261323,139352.911905106,3.391981824,4.000000000,1.400511740,1.984168669,1.666701682,102.604388701,499905614.079501927,0.007639517,0.511187756,0.003905227
Croatia,20048.987159099,4255700.000000000,0.589640000,0.666666667,0.558333333,0.230522472,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.101408200,1.000000000,0.307481884,1.161086443,115.916092734,493304115.849143326,0.000000815,3.466914101,2.818857808,0.687702130,100244.935795497,115.916092734,134.588603753,134.588603753,115.916092734,0.000000815,0.003174611,5.000000000,2.818857808,2.818857808,434859.712935760,3.395048318,3.200000000,1.700166213,2.464805124,2.149310068,157.360755030,669680165.180008531,0.007848813,0.736626440,0.005781643
Czech Republic,28124.464480282,10514272.000000000,0.729920000,0.666666667,0.900000000,0.239799832,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.069077707,1.000000000,0.486311393,1.169850431,48.720835416,512264115.626746058,0.000000203,2.130203503,3.912523556,1.933029700,140622.322401411,48.720835416,56.996090299,56.996090299,48.720835416,0.000000203,0.001093101,5.000000000,3.912523556,3.912523556,586415.434407439,3.398305659,4.000000000,2.399571292,2.354000000,1.977360000,65.011358934,683547110.919297099,0.002311559,0.749420351,0.001732329
Denmark,42482.732455252,5614932.000000000,0.876760000,0.733333333,0.916666667,0.230106064,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.006072226,1.000000000,0.445896118,1.160693077,2.209619053,12406860.726759506,0.000000005,0.025764456,0.074254830,3.031670600,212413.662276261,2.209619053,2.564689538,2.564689538,2.209619053,0.000000005,0.000057302,5.000000000,0.074254830,0.074254830,923111.970881377,3.399912899,3.200000000,2.394020512,1.300000000,1.133600000,2.733470924,15348253.359599726,0.000064343,0.808356523,0.000052012
Djibouti,2902.546244695,872932.000000000,0.773430000,0.600000000,0.250000000,0.260598621,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.006169676,1.000000000,0.101937644,1.189498298,7.276383135,6351787.682448317,0.000001154,1.007045719,0.084787952,0.192680740,14512.731223476,7.276383135,8.655245357,8.655245357,7.276383135,0.000001154,0.002142298,5.000000000,0.084787952,0.084787952,55689.977122722,3.396748420,2.400000000,0.647745424,1.790240137,1.618377084,12.274704898,10714982.695680734,0.004228944,0.592794955,0.002506897
Dominican Republic,11795.470579020,10403761.000000000,0.789800000,0.600000000,0.508333333,0.377150399,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.034849737,1.000000000,0.143410013,1.299600569,139.000098171,1446123800.344851017,0.000002503,26.037095432,1.796121016,0.975125720,58977.352895102,139.000098171,180.644606723,180.644606723,139.000098171,0.000002503,0.016358457,5.000000000,1.796121016,1.796121016,156376.217651050,3.375814385,3.200000000,0.759687549,1.548997369,1.350725706,218.134059158,2269414617.443804741,0.018493036,0.637223269,0.011784193
Ecuador,10540.657366653,15737878.000000000,0.637420000,0.800000000,0.458333333,0.257473472,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.069255961,1.000000000,0.195527607,1.186546083,204.133408338,3212626676.146123886,0.000004198,66.067517230,2.410567047,0.801743260,52703.286833267,204.133408338,242.213696016,242.213696016,204.133408338,0.000004198,0.007522780,5.000000000,2.410567047,2.410567047,204694.046593944,3.389015783,2.400000000,1.054049067,3.405685097,3.078739327,309.124986277,4864971320.783632278,0.029326917,0.660358811,0.019366288
"Egypt, Arab Rep.",10733.488722813,82056378.000000000,0.431350000,0.666666667,0.458333333,0.492778342,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.200402113,1.000000000,0.118450289,1.408830126,9.152048620,750983961.013214588,0.000000209,17.173129470,0.343238883,0.042767455,53667.443614064,9.152048620,12.893681810,12.893681810,9.152048620,0.000000209,0.000801765,5.000000000,0.343238883,0.343238883,108907.878152718,3.398794140,2.400000000,0.581525447,2.900000000,2.621600000,15.835579211,1299410273.548941374,0.001475343,0.577942145,0.000852663
El Salvador,7515.082656378,6340454.000000000,0.667260000,0.666666667,0.508333333,0.134243575,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.008997172,1.000000000,0.195178828,1.070135234,202.793561462,1285803247.948068619,0.000007040,44.636925636,4.849609915,0.776316140,37575.413281888,202.793561462,217.016535336,217.016535336,202.793561462,0.000007040,0.008019353,5.000000000,4.849609915,4.849609915,279904.741777762,3.387573878,2.400000000,0.971418019,2.460000000,2.223840000,312.076709907,1978708023.637386799,0.041526717,0.649819596,0.026984874
Estonia,25253.767201147,1317997.000000000,0.675380000,0.000000000,0.400000000,0.280060392,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.018206209,1.000000000,0.395741617,1.207883133,58.705303251,77373413.569050178,0.000000358,0.472462458,0.000000000,1.622485300,126268.836005736,58.705303251,70.909145618,70.909145618,58.705303251,0.000000358,0.004571832,5.000000000,0.000000000,0.000000000,450862.884557469,3.391038804,0.000000000,2.076633710,0.938124965,0.938124965,97.872422418,128995559.129321739,0.003875557,0.599814552,0.002324616
