country,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,fa_glofris,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Kazakhstan,22469.679019436,17035275.000000000,0.532470000,0.600000000,0.775000000,0.330570755,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.053169522,1.000000000,0.265247959,1.255598456,59.939601669,1021087597.826555490,0.000000419,7.131028853,4.516423313,0.367392760,112348.395097182,59.939601669,75.260071314,75.260071314,59.939601669,0.000000419,0.006589000,5.000000000,4.516423313,4.516423313,339861.870044343,3.389622280,3.200000000,1.470886941,0.938124965,0.818044969,95.940121635,1634366355.581346750,0.004269759,0.624760534,0.002667577
Kenya,2705.323218140,44353691.000000000,0.256220000,0.800000000,0.508333333,0.462960273,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.018816828,1.000000000,0.102102646,1.380662070,5.952425844,264012056.570610940,0.000001337,59.315133400,0.193295388,1.386903000,13526.616090699,5.952425844,8.218288584,8.218288584,5.952425844,0.000001337,0.002020644,5.000000000,0.193295388,0.193295388,29217.660510292,3.397277226,1.600000000,0.480896755,3.100000000,2.901600000,12.803757465,567893902.241907835,0.004732801,0.464896798,0.002200264
Kyrgyz Republic,3109.812828841,5719600.000000000,0.357070000,0.600000000,0.483333333,0.520225667,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.052263131,1.000000000,0.483404503,1.434758626,25.809399091,147619439.043097466,0.000003971,22.713417391,0.928141382,0.056462076,15549.064144207,25.809399091,37.030257979,37.030257979,25.809399091,0.000003971,0.025514519,5.000000000,0.928141382,0.928141382,29889.075340329,3.360786560,3.200000000,2.576190549,1.299032000,1.132755904,46.858520685,268011994.912541658,0.015067955,0.550794150,0.008299342
Lao PDR,4667.340058865,6769727.000000000,0.386140000,0.400000000,0.166666667,0.247298886,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.185833896,1.000000000,0.149190917,1.176934518,164.609839814,1114363677.056678534,0.000010332,69.943592130,0.821919961,1.086618800,23336.700294326,164.609839814,193.735002433,193.735002433,164.609839814,0.000010332,0.031575656,5.000000000,0.821919961,0.821919961,94366.378534563,3.348598736,2.400000000,0.679849485,1.600000000,1.446400000,224.156349002,1517477288.061459541,0.048026573,0.734352788,0.035268448
Latvia,21832.570741566,2012647.000000000,0.673820000,0.000000000,0.350000000,0.239369908,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.058133050,1.000000000,0.270691544,1.169444298,140.582657898,282943264.670014441,0.000000985,1.981675206,0.000000000,0.754643470,109162.853707831,140.582657898,164.403587610,164.403587610,140.582657898,0.000000985,0.011127593,5.000000000,0.000000000,0.000000000,456042.510034595,3.379732985,0.000000000,1.612945347,0.938124965,0.938124965,216.148944219,435031524.135304868,0.009900297,0.650397153,0.006439125
Lesotho,2493.613734140,2074465.000000000,0.273120000,0.400000000,0.166666667,0.199212096,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.022905124,1.000000000,0.092964035,1.131508657,24.031324914,49852142.436809175,0.000004714,9.779840483,0.037625964,0.483464540,12468.068670699,24.031324914,27.191652184,27.191652184,24.031324914,0.000004714,0.003085246,5.000000000,0.037625964,0.037625964,62586.905827698,3.394560776,1.600000000,0.439644114,3.266403416,3.057353597,39.943058034,82860475.883751482,0.016018142,0.601639586,0.009637148
Liberia,849.830924236,4294077.000000000,0.497010000,0.000000000,0.000000000,0.472512071,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.063710968,1.000000000,0.139605737,1.389685309,2.671773237,11472800.004549149,0.000002629,11.289456843,0.000000000,0.847958900,4249.154621180,2.671773237,3.712924017,3.712924017,2.671773237,0.000002629,0.002200927,5.000000000,0.000000000,0.000000000,8992.690090923,3.395613653,0.000000000,0.632756652,3.393739602,3.393739602,4.431742222,19030242.346799437,0.005214852,0.602871986,0.003143888
Lithuania,24469.622500844,2957689.000000000,0.665080000,0.000000000,0.350000000,0.312964424,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.080223284,1.000000000,0.374249464,1.238966389,68.369919997,202216960.307115138,0.000000373,1.102482173,0.000000000,1.152918100,122348.112504218,68.369919997,84.708032888,84.708032888,68.369919997,0.000000373,0.003333670,5.000000000,0.000000000,0.000000000,390932.971700422,3.393590328,0.000000000,2.185008810,1.523587200,1.523587200,97.092090219,287168207.226854622,0.003967862,0.704176003,0.002794073
"Macedonia, FYR",11608.968970794,2107158.000000000,0.571040000,0.666666667,0.333333333,0.263932167,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.120601264,1.000000000,0.276049316,1.192647379,39.174934235,82547776.073047251,0.000000744,1.567534257,0.544246020,0.447454310,58044.844853968,39.174934235,46.721882648,46.721882648,39.174934235,0.000000744,0.005155916,5.000000000,0.544246020,0.544246020,219923.344719244,3.392019120,2.400000000,1.623823468,1.118688000,1.011293952,63.308187274,133400353.279607788,0.005453386,0.618797282,0.003374540
Madagascar,1368.632412076,22924851.000000000,0.351050000,0.600000000,0.250000000,0.294072984,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.050636480,1.000000000,0.105366181,1.221120325,48.466740042,1111092793.914775372,0.000022592,517.909492138,0.565847247,0.084295710,6843.162060380,48.466740042,59.183721338,59.183721338,48.466740042,0.000022592,0.024492856,5.000000000,0.565847247,0.565847247,23270.284712865,3.361006544,1.600000000,0.505641791,2.469788851,2.311722364,77.830556230,1784253904.819015980,0.056867392,0.622721234,0.035412533
Malawi,754.981975268,16362567.000000000,0.162720000,0.800000000,0.333333333,0.253076569,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.022830778,1.000000000,0.049336757,1.182392487,7.612641342,124562354.004026935,0.000009052,148.116479774,0.136874674,0.467027040,3774.909876340,7.612641342,9.001129929,9.001129929,7.612641342,0.000009052,0.006475460,5.000000000,0.136874674,0.136874674,14916.078118109,3.390666792,3.200000000,0.237110561,2.469788851,2.153655878,12.777027500,209064968.523162633,0.016923619,0.595806915,0.010083209
Malaysia,22589.371447497,29716965.000000000,0.747050000,0.800000000,0.766666667,0.250594075,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.108120635,1.000000000,0.103758126,1.180047364,70.194260199,2085960373.547879219,0.000000517,15.374559359,2.675012361,1.959087900,112946.857237483,70.194260199,82.832551696,82.832551696,70.194260199,0.000000517,0.004277834,5.000000000,2.675012361,2.675012361,450716.392377798,3.393908688,4.000000000,0.573974308,1.286768188,1.080885278,119.487751291,3550813323.054040909,0.005289556,0.587459881,0.003107402
Mali,1589.167348078,15301650.000000000,0.399160000,0.600000000,0.333333333,0.643844866,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.091124970,1.000000000,0.056217887,1.551537235,4.065192439,62204151.883139536,0.000002352,35.985597646,0.158380790,0.255272680,7945.836740391,4.065192439,6.307297437,6.307297437,4.065192439,0.000002352,0.014051405,5.000000000,0.158380790,0.158380790,12341.228703527,3.377760567,2.400000000,0.262147507,1.049264600,0.948535198,10.137177861,155115547.615732610,0.006378924,0.401018163,0.002558064
Mauritania,2945.229569497,3889880.000000000,0.598590000,0.666666667,0.333333333,0.238105971,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.069392165,1.000000000,0.094790363,1.168250302,16.215636754,63076881.095102876,0.000004177,16.249315118,0.857202982,0.374159000,14726.147847484,16.215636754,18.943922527,18.943922527,16.215636754,0.000004177,0.011364717,5.000000000,0.857202982,0.857202982,61847.033043390,3.383886627,2.400000000,0.457210940,0.986444150,0.891745512,45.430567016,176719454.023760527,0.015425136,0.356932300,0.005505729
Mexico,16290.812821427,122332399.000000000,0.792460000,0.533333333,0.766666667,0.368263045,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.061103039,1.000000000,0.277367830,1.291205006,23.476586746,2871947177.016961098,0.000000285,34.880271125,0.482394641,0.401821050,81454.064107135,23.476586746,30.313086324,30.313086324,23.476586746,0.000000285,0.001715925,5.000000000,0.482394641,0.482394641,221184.463709281,3.397117478,3.200000000,1.593280676,1.988484400,1.733958397,40.336041934,4934404775.925679207,0.002475999,0.582025048,0.001441094
Moldova,4521.084844788,3558566.000000000,0.449950000,0.600000000,0.375000000,0.256704774,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.062821756,1.000000000,0.353501051,1.185819921,40.825507596,145280263.262574464,0.000002643,9.405047021,0.651827748,0.224890963,22605.424223941,40.825507596,48.411700206,48.411700206,40.825507596,0.000002643,0.005903092,5.000000000,0.651827748,0.651827748,88060.007194544,3.390638525,2.400000000,1.838628621,2.361233265,2.134554871,54.666022399,194532648.665239185,0.012091351,0.746816867,0.009030025
Mongolia,9132.305703791,2839073.000000000,0.720400000,0.533333333,0.566666667,0.207674879,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.047108300,1.000000000,0.225477051,1.139503144,36.481404632,103573370.893344119,0.000001069,3.033718100,1.701499223,1.335408300,45661.528518957,36.481404632,41.570675288,41.570675288,36.481404632,0.000001069,0.006445553,5.000000000,1.701499223,1.701499223,219870.254330720,3.389887671,2.400000000,1.204414013,0.938124965,0.848064968,63.449978894,180139121.927791864,0.006947860,0.574963227,0.003994764
Montenegro,14151.541104910,621383.000000000,0.640260000,0.000000000,0.175000000,0.364896662,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.106307685,1.000000000,0.283945544,1.288024905,32.980470467,20493503.680273484,0.000000434,0.269550556,0.000000000,0.186524230,70757.705524551,32.980470467,42.479667348,42.479667348,32.980470467,0.000000434,0.001911637,5.000000000,0.000000000,0.000000000,193911.627091340,3.396183780,0.000000000,1.626422942,2.463929905,2.463929905,49.691528909,30877471.308147538,0.003511386,0.663704080,0.002330521
Morocco,6967.259245879,33008150.000000000,0.601950000,0.866666667,0.750000000,0.269256967,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.056249928,1.000000000,0.151173053,1.197677527,20.560336133,678658659.130796552,0.000001007,33.222863312,1.949885715,0.741609530,34836.296229393,20.560336133,24.624652530,24.624652530,20.560336133,0.000001007,0.003671169,5.000000000,1.949885715,1.949885715,129379.367929527,3.394841840,3.200000000,0.842594580,1.542611250,1.345157010,39.826867295,1314611209.715415239,0.005716289,0.516242866,0.002950993
Nepal,2172.790391618,27797457.000000000,0.186150000,0.600000000,0.333333333,0.270199300,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.058379740,1.000000000,0.357543043,1.198567715,22.588800447,627911209.106797218,0.000005169,143.692024894,0.728797897,0.564489510,10863.951958088,22.588800447,27.074206935,27.074206935,22.588800447,0.000005169,0.007062500,5.000000000,0.728797897,0.728797897,40207.180208015,3.389131993,1.600000000,1.687918884,2.295063500,2.148179436,35.622563272,990216670.774300814,0.016394846,0.634114965,0.010396217
Netherlands,45021.157407734,16804432.000000000,0.904960000,0.800000000,0.916666667,0.252519895,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.323010913,1.000000000,0.401591234,1.181866617,40.915372978,687559602.964957476,0.000000081,1.353749633,2.094742342,2.997063700,225105.787038669,40.915372978,48.356513438,48.356513438,40.915372978,0.000000081,0.001035439,5.000000000,2.094742342,2.094742342,891437.829744458,3.398519731,4.000000000,2.063500550,1.339028800,1.124784192,52.352937445,879761377.292679071,0.001162852,0.781529652,0.000908803
Niger,886.809611289,17831270.000000000,0.187320000,0.666666667,0.333333333,0.233592317,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.040211652,1.000000000,0.063379045,1.163986415,5.085137124,90674453.048800245,0.000005280,94.141752115,0.243798649,0.074473473,4434.048056447,5.085137124,5.919030531,5.919030531,5.085137124,0.000005280,0.010700648,5.000000000,0.243798649,0.243798649,18981.994425751,3.382869429,2.400000000,0.314495526,1.115994200,1.008858757,9.486782060,169161372.334910661,0.010697654,0.536023395,0.005734193
Nigeria,5422.693342729,173615345.000000000,0.477760000,0.800000000,0.591666667,0.873644473,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.037670089,1.000000000,0.039947698,1.768620655,6.356521872,1103589737.770401716,0.000000484,84.105557855,0.130155395,1.432089840,27113.466713648,6.356521872,11.242275874,11.242275874,6.356521872,0.000000484,0.001786749,5.000000000,0.130155395,0.130155395,31034.897550643,3.397339076,3.200000000,0.178765336,3.393739602,2.959340933,13.162237557,2285166414.366915703,0.002427251,0.482936267,0.001172208
Pakistan,4454.074828784,182142594.000000000,0.387580000,0.733333333,0.541666667,0.376717358,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.078589213,1.000000000,0.132341047,1.299191491,26.649873718,4854077128.706481934,0.000002024,368.700860290,1.209344203,0.077762960,22270.374143922,26.649873718,34.623289174,34.623289174,26.649873718,0.000002024,0.004636540,5.000000000,1.209344203,1.209344203,59116.931203999,3.393006273,2.400000000,0.624301970,2.783576200,2.516352885,40.942131714,7457306074.200177193,0.009192062,0.650915636,0.005983257
Panama,18793.393331804,3864170.000000000,0.665920000,0.666666667,0.716666667,0.540242716,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.018588993,1.000000000,0.207324969,1.453668012,41.199390060,159201447.088398755,0.000000477,1.843173301,0.725142769,0.647588400,93966.966659022,41.199390060,59.890235457,59.890235457,41.199390060,0.000000477,0.001870551,5.000000000,0.725142769,0.725142769,173934.722051505,3.397169711,2.400000000,0.985208296,3.405685097,3.078739327,83.619124602,323118512.713624001,0.004449389,0.492702958,0.002192227
Paraguay,7833.074001568,6802295.000000000,0.596660000,0.800000000,0.666666667,0.368273213,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.027504259,1.000000000,0.198592596,1.291214611,15.029958570,102238212.030239746,0.000000625,4.251190809,0.495682185,0.612426170,39165.370007838,15.029958570,19.406902111,19.406902111,15.029958570,0.000000625,0.002216610,5.000000000,0.495682185,0.495682185,106348.679778751,3.396813075,3.200000000,1.014625051,2.187947900,1.907890569,29.479848224,200530624.171493471,0.003763509,0.509838397,0.001918782
Peru,11396.493020613,30375603.000000000,0.786090000,0.600000000,0.766666667,0.270198675,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.068887503,1.000000000,0.157771759,1.198567125,239.183033397,7265328866.815882683,0.000007221,219.330426125,12.732341540,0.537997440,56982.465103066,239.183033397,286.676920595,286.676920595,239.183033397,0.000007221,0.035420127,5.000000000,12.732341540,12.732341540,210890.986146622,3.345448713,2.400000000,0.807202683,1.156692000,1.045649568,597.716072644,18155986129.339576721,0.052447369,0.400161622,0.020987424
Philippines,6326.216423894,98393574.000000000,0.443730000,0.733333333,0.633333333,0.273657188,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.053936886,1.000000000,0.247024990,1.201834257,285.714560386,28112476740.209312439,0.000012067,1187.302351573,8.596351089,0.922851600,31631.082119470,285.714560386,343.381546483,343.381546483,285.714560386,0.000012067,0.060889059,5.000000000,8.596351089,8.596351089,115586.520194287,3.309462545,2.400000000,1.193654999,1.191898538,1.077476278,413.139318722,40650254128.940879822,0.065305910,0.691569520,0.045163577
Poland,22835.220460809,38514479.000000000,0.605390000,0.600000000,0.791666667,0.413202632,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.057824446,1.000000000,0.516368024,1.333657816,19.583921368,754264528.272674799,0.000000138,5.303724016,1.361892171,0.954220300,114176.102304044,19.583921368,26.118249809,26.118249809,19.583921368,0.000000138,0.002846572,5.000000000,1.361892171,1.361892171,276319.881486666,3.395460258,4.000000000,2.642508030,0.938124965,0.788024970,32.334642335,1245351903.191252947,0.001415999,0.605663770,0.000857619
Romania,18184.109733304,19981358.000000000,0.545640000,0.600000000,0.691666667,0.267748038,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.073683807,1.000000000,0.433732024,1.196252096,75.191477901,1502427838.493760347,0.000000632,12.624933511,3.579464091,0.487932280,90920.548666519,75.191477901,89.947963004,89.947963004,75.191477901,0.000000632,0.003528697,5.000000000,3.579464091,3.579464091,339575.032580327,3.394373773,3.200000000,2.250795228,2.003345200,1.746917014,105.409691262,2106228777.779139996,0.005796802,0.713326042,0.004135010
Russian Federation,23564.207736365,143499861.000000000,0.740080000,0.000000000,0.250000000,0.349163004,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.042546421,1.000000000,0.274995288,1.273161884,44.131749731,6332899952.054107666,0.000000342,49.098941249,0.000000000,0.613941830,117821.038681823,44.131749731,56.186861643,56.186861643,44.131749731,0.000000342,0.004046263,5.000000000,0.000000000,0.000000000,337438.495363568,3.391972861,0.000000000,1.581273960,1.177738724,1.177738724,84.226355215,12086470265.880870819,0.003574334,0.523966039,0.001872830
Rwanda,1426.366287626,11776522.000000000,0.288110000,0.800000000,0.483333333,0.712577817,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.039113917,1.000000000,0.041421194,1.616466781,5.164407836,60818762.499198623,0.000002350,27.671916755,0.044284723,0.891917400,7131.831438131,5.164407836,8.348093710,8.348093710,5.164407836,0.000002350,0.003898375,5.000000000,0.044284723,0.044284723,10008.494883626,3.393908404,3.200000000,0.217699167,3.430000000,2.990960000,8.612741506,101428139.831271321,0.006038240,0.599624154,0.003620674
Senegal,2170.077206990,14133280.000000000,0.437210000,0.666666667,0.508333333,0.226210112,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.029292169,1.000000000,0.215938649,1.157012712,3.718880992,52559986.351885170,0.000000707,9.998551700,0.051450741,0.209208720,10850.386034951,3.718880992,4.302792582,4.302792582,3.718880992,0.000000707,0.000613947,5.000000000,0.051450741,0.051450741,47965.963759242,3.398996834,2.400000000,1.005466849,3.440000000,3.109760000,4.866070548,68773537.549789205,0.002242349,0.764247241,0.001713709
Serbia,12892.496300662,7164132.000000000,0.555530000,0.600000000,0.508333333,0.220120453,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.109556156,1.000000000,0.300993558,1.151260030,178.834864773,1281196577.437648296,0.000002509,17.975954940,5.395844328,0.186914550,64462.481503311,178.834864773,205.885431848,205.885431848,178.834864773,0.000002509,0.007142658,5.000000000,5.395844328,5.395844328,292850.939185210,3.389004605,1.600000000,1.545702564,2.465394886,2.307609614,249.922657930,1790478911.203258753,0.019385125,0.715560831,0.013871236
Sierra Leone,1494.648548339,6092075.000000000,0.399420000,0.733333333,0.333333333,0.406865991,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.051476908,1.000000000,0.058353959,1.327671820,7.988027023,48663659.723934650,0.000003120,19.005683722,0.127158566,0.896354150,7473.242741695,7.988027023,10.605478375,10.605478375,7.988027023,0.000003120,0.003818315,5.000000000,0.127158566,0.127158566,18367.823563187,3.394268282,3.200000000,0.271998910,3.393739602,2.959340933,12.265916353,74724882.364494756,0.008206556,0.651237689,0.005344418
Slovak Republic,25758.862634895,5413393.000000000,0.535980000,0.733333333,0.625000000,0.305901886,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.147608568,1.000000000,0.433679014,1.232294663,85.061216540,460469794.191400349,0.000000412,2.229721690,3.140824635,1.966113800,128794.313174475,85.061216540,104.820483167,104.820483167,85.061216540,0.000000412,0.002499498,5.000000000,3.140824635,3.140824635,421031.445215990,3.396141649,3.200000000,2.184870802,2.465732906,2.150119094,115.864273828,627218848.892657638,0.004498035,0.734145339,0.003302212
Slovenia,27368.172025912,2059953.000000000,0.496500000,0.866666667,0.691666667,0.221337883,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.109418433,1.000000000,0.397748279,1.152410092,155.301532041,319913856.833088279,0.000000655,1.350017648,8.337124545,1.609797200,136840.860129559,155.301532041,178.971052883,178.971052883,155.301532041,0.000000655,0.003572445,5.000000000,8.337124545,8.337124545,618244.189608067,3.395070698,4.000000000,2.129634920,2.072116352,1.740577736,201.880576423,415864499.043483078,0.007376473,0.769274265,0.005674531
South Africa,12454.190922007,53157490.000000000,0.648010000,0.733333333,0.716666667,0.412218191,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.017390977,1.000000000,0.134002144,1.332727850,29.594684635,1573179152.542869568,0.000000568,30.181986351,0.104880109,1.246575100,62270.954610036,29.594684635,39.441660437,39.441660437,29.594684635,0.000000568,0.001652756,5.000000000,0.104880109,0.104880109,151063.092260784,3.397479830,2.400000000,1.220876524,3.266403416,2.952828688,53.691821545,2854122466.870536327,0.004311145,0.551195392,0.002376283
Spain,31682.644741177,46617825.000000000,0.795790000,0.800000000,0.716666667,0.182999297,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.044690330,1.000000000,0.473691831,1.116193009,19.128678872,891737404.155905485,0.000000063,2.922848596,0.454305263,1.900343200,158413.223705886,19.128678872,21.351297638,21.351297638,19.128678872,0.000000063,0.001309124,5.000000000,0.454305263,0.454305263,865649.357951820,3.398102925,3.200000000,2.428941752,0.505000000,0.440360000,24.061959569,1121716220.330194235,0.000759468,0.794975938,0.000603759
Sri Lanka,9425.737382586,20483000.000000000,0.183560000,0.666666667,0.508333333,0.337960803,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.062351603,1.000000000,0.113145811,1.262579568,17.192435427,352152654.841299653,0.000000391,8.009672300,0.319688725,1.520254100,47128.686912930,17.192435427,21.706817690,21.706817690,17.192435427,0.000000391,0.001066037,5.000000000,0.319688725,0.319688725,139450.156798933,3.398286066,3.200000000,0.560904785,3.395562307,2.960930331,24.347955121,498719164.737915099,0.002583135,0.706114141,0.001823988
Sudan,3264.772977946,37964306.000000000,0.338060000,0.666666667,0.333333333,0.948753364,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.105408881,1.000000000,0.064443941,1.839573322,5.466212791,207520975.043267369,0.000000858,32.583762443,0.059083493,0.207849207,16323.864889728,5.466212791,10.055499220,10.055499220,5.466212791,0.000000858,0.002863901,5.000000000,0.059083493,0.059083493,17205.593678315,3.395372080,2.400000000,0.277200250,3.100000000,2.802400000,10.893751106,413573700.464031875,0.003336756,0.501775076,0.001674301
Swaziland,6470.884190344,1249514.000000000,0.213080000,0.600000000,0.416666667,0.190380607,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.022691869,1.000000000,0.132466920,1.123165868,35.222855846,44011451.499448180,0.000001761,2.199920291,0.498859540,1.031164310,32354.420951720,35.222855846,39.561109446,39.561109446,35.222855846,0.000001761,0.003629999,5.000000000,0.498859540,0.498859540,169945.991217203,3.394249721,2.400000000,0.702220425,1.738000000,1.571152000,62.357996206,77917189.271729618,0.009636704,0.564849065,0.005443283
Sweden,43540.494391933,9600379.000000000,0.858150000,0.733333333,0.916666667,0.357367644,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.034046516,1.000000000,0.424552655,1.280912512,4.009457606,38492312.600746036,0.000000009,0.084970158,0.216174327,3.272756300,217702.471959663,4.009457606,5.135764415,5.135764415,4.009457606,0.000000009,0.000150072,5.000000000,0.216174327,0.216174327,609183.499779629,3.399772855,3.200000000,2.175569370,1.343475750,1.171510854,5.471523485,52528699.165594123,0.000125665,0.732786328,0.000092086
Syrian Arab Republic,4959.392523364,22845550.000000000,0.576560000,0.666666667,0.333333333,0.270750757,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.055289079,1.000000000,0.121903630,1.199088656,20.410522102,466289603.210439801,0.000001303,29.762270394,0.409891908,0.261424100,24796.962616822,20.410522102,24.474025512,24.474025512,20.410522102,0.000001303,0.002259237,5.000000000,0.409891908,0.409891908,91585.940278742,3.396462846,2.400000000,0.561261857,2.700000000,2.440800000,30.958550938,707265123.376967788,0.006242408,0.659285447,0.004115529
Tajikistan,2431.659068545,8207834.000000000,0.267820000,0.600000000,0.333333333,0.385426324,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.074944783,1.000000000,0.235536527,1.307418538,29.914030019,245529392.670463681,0.000006506,53.403603042,0.909906997,0.019116308,12158.295342726,29.914030019,39.110157401,39.110157401,29.914030019,0.000006506,0.034270892,5.000000000,0.909906997,0.909906997,31545.056917593,3.348512523,2.400000000,1.298608006,0.938124965,0.848064968,53.084845676,435711601.225742579,0.021830711,0.563513553,0.012301901
Tanzania,2364.702756761,49253126.000000000,0.316080000,0.666666667,0.333333333,0.413204367,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.019940233,1.000000000,0.071340701,1.333659456,6.662590564,328153412.535204470,0.000001428,70.325901364,0.125778801,0.729193500,11823.513783804,6.662590564,8.885626904,8.885626904,6.662590564,0.000001428,0.002769673,5.000000000,0.125778801,0.125778801,28614.203344786,3.395596058,3.200000000,0.342651115,2.469788851,2.153655878,11.171731694,550242708.784902215,0.004724370,0.596379393,0.002817517
Thailand,13931.811471327,67010502.000000000,0.503740000,0.666666667,0.741666667,0.240336363,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.170328057,1.000000000,0.543239422,1.170357273,91.134142507,6106944638.718170166,0.000001596,106.938951527,13.681396619,2.246315900,69659.057356633,91.134142507,106.659506476,106.659506476,91.134142507,0.000001596,0.010567486,5.000000000,13.681396619,13.681396619,289839.858135461,3.384018061,3.200000000,2.563113160,1.146851180,1.000054229,178.561135988,11965471360.218067169,0.012816792,0.510380616,0.006541442
Togo,1345.914276292,6816982.000000000,0.399640000,0.200000000,0.250000000,0.370892031,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.023316053,1.000000000,0.009771736,1.293688514,4.331785158,29529701.448634256,0.000002179,14.855041980,0.008521911,0.215676770,6729.571381460,4.331785158,5.603980706,5.603980706,4.331785158,0.000002179,0.001814721,5.000000000,0.008521911,0.008521911,18144.286787532,3.396643080,0.800000000,0.116069269,3.489595440,3.377928386,7.321181473,49908362.321929380,0.005439560,0.591678430,0.003218470
Turkey,18567.134710123,74932641.000000000,0.733970000,0.866666667,0.691666667,0.412166909,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.029053408,1.000000000,0.214396496,1.332679407,54.712354268,4099741200.621446609,0.000000658,49.337531348,3.908049719,0.243804510,92835.673550615,54.712354268,72.914027819,72.914027819,54.712354268,0.000000658,0.005016930,5.000000000,3.908049719,3.908049719,225238.056304082,3.392803936,3.200000000,1.131633543,1.584154150,1.381382419,113.330136336,8492126420.536449432,0.006103803,0.482769685,0.002946731
Uganda,1620.576939093,37578876.000000000,0.161010000,0.666666667,0.591666667,0.573574552,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.005528611,1.000000000,0.160690348,1.485155398,2.814070361,105749601.135847777,0.000001298,48.792133576,0.079066843,0.952508000,8102.884695466,2.814070361,4.179331787,4.179331787,2.814070361,0.000001298,0.002887921,5.000000000,0.079066843,0.079066843,14126.994765940,3.395724306,2.400000000,1.052026861,2.228082388,2.014186479,5.763438205,216583529.645830333,0.003556411,0.488262433,0.001736462
Ukraine,8508.014787310,45489600.000000000,0.696950000,0.000000000,0.050000000,0.245854192,3,0.200000000,1.500000000,0.060000000,0.800000000,0.050000000,0.039424132,1.000000000,0.327983757,1.175569768,51.215396816,2329767915.013124943,0.000001311,59.627482248,0.000000000,0.337588020,42540.073936551,51.215396816,60.207272134,60.207272134,51.215396816,0.000001311,0.003414655,5.000000000,0.000000000,0.000000000,173029.686882166,3.393201413,0.000000000,1.731517536,2.361233265,2.361233265,69.993954624,3183996998.241278648,0.008226826,0.731711718,0.006019665
