country,datasource,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Argentina,gar,18489.43489,10405,43847430,0.05,0.91893,12449.21685,3,0.2,1.5,0.06,0.8,0.05,0.733333333,0.4,0.269549515,1,0.154196738,1.197953886,80.21683342,3517301988,7.54E-07,33.05439495,7.549502954,0.050750804,92447.17445,80.21683342,96.09606732,96.09606732,80.21683342,7.54E-07,0.003032415,1,7.549502954,25.73694189,7.549502954,342969.1739,3.395372023,3.2,0.161626622,2.28946295,1.996411692,128.9418758,5653769873,0.006973814,0.622116228,0.004338523
Argentina,glofris,18489.43489,10405,43847430,0.05,0.91893,12449.21685,3,0.2,1.5,0.06,0.8,0.05,0.733333333,0.4,0.269549515,1,0.154196738,1.197953886,151.1439739,6627274814,1.43E-06,62.8490311,14.28701888,0.050750804,92447.17445,151.1439739,181.0635109,181.0635109,151.1439739,1.43E-06,0.006063948,1,14.28701888,48.70574619,14.28701888,342969.1739,3.391234521,3.2,0.161626622,2.28946295,1.996411692,245.1677599,10749976189,0.013259884,0.616492046,0.008174613
Argentina,ssbn_pop,18489.43489,10405,43847430,0.05,0.91893,12449.21685,3,0.2,1.5,0.06,0.8,0.05,0.733333333,0.4,0.269549515,1,0.154196738,1.197953886,101.3848663,4445465828,9.57E-07,41.95331979,9.560943296,0.050750804,92447.17445,101.3848663,121.4543946,121.4543946,101.3848663,9.57E-07,0.003937337,1,9.560943296,32.59412487,9.560943296,342969.1739,3.394136572,3.2,0.161626622,2.28946295,1.996411692,163.6556881,7175881328,0.008851308,0.619501024,0.005483395
Argentina,ssbn_space,18489.43489,10405,43847430,0.05,0.91893,12449.21685,3,0.2,1.5,0.06,0.8,0.05,0.733333333,0.4,0.269549515,1,0.154196738,1.197953886,136.3656394,5979282828,1.29E-06,56.75188389,12.64401999,0.050750804,92447.17445,136.3656394,163.3597477,163.3597477,136.3656394,1.29E-06,0.005432349,1,12.64401999,43.92063367,12.64401999,342969.1739,3.392162079,3.2,0.161626622,2.28946295,1.996411692,221.3834008,9707093169,0.011973508,0.615970479,0.007375328
Colombia,gar,13124.32484,13124.32484,48653419,0.039,0.76708,5805.605335,3,0.2,1.5,0.06,0.8,0.05,0.733333333,1,0.279779256,1,0.105013251,1.207617555,210.682297,10250414072,2.69E-06,131.0846808,24.95593073,0.145318898,65621.6242,210.682297,254.4236404,254.4236404,210.682297,2.69E-06,0.016575752,1,24.95593073,34.13016131,24.95593073,234547.854,3.375846721,3.2,0.108932802,1.41792,1.23642624,275.612548,13409492781,0.021000132,0.76441475,0.01605281
Colombia,glofris,13124.32484,13124.32484,48653419,0.039,0.76708,5805.605335,3,0.2,1.5,0.06,0.8,0.05,0.733333333,1,0.279779256,1,0.105013251,1.207617555,180.3627428,8775264099,2.31E-06,112.3153144,21.44028049,0.145318898,65621.6242,180.3627428,217.8092145,217.8092145,180.3627428,2.31E-06,0.014263524,1,21.44028049,29.25356064,21.44028049,234547.854,3.379142087,3.2,0.108932802,1.41792,1.23642624,236.148952,11489453906,0.017993227,0.763766857,0.01374263
Colombia,ssbn_pop,13124.32484,13124.32484,48653419,0.039,0.76708,5805.605335,3,0.2,1.5,0.06,0.8,0.05,0.733333333,1,0.279779256,1,0.105013251,1.207617555,188.6540032,9178662265,2.42E-06,117.7789596,22.47551113,0.145318898,65621.6242,188.6540032,227.8218861,227.8218861,188.6540032,2.42E-06,0.015058687,1,22.47551113,30.66523878,22.47551113,234547.854,3.378112791,3.2,0.108932802,1.41792,1.23642624,247.636558,12048365216,0.018868518,0.761818064,0.014374378
Colombia,ssbn_space,13124.32484,13124.32484,48653419,0.039,0.76708,5805.605335,3,0.2,1.5,0.06,0.8,0.05,0.733333333,1,0.279779256,1,0.105013251,1.207617555,289.4231872,14081427594,3.79E-06,184.5658208,35.05735533,0.145318898,65621.6242,289.4231872,349.5125216,349.5125216,289.4231872,3.79E-06,0.024722832,1,35.05735533,47.82229907,35.05735533,234547.854,3.368087311,3.2,0.108932802,1.41792,1.23642624,388.0595036,18880421623,0.029567959,0.74582167,0.022052425
Peru,gar,12071.59238,12071.59238,31773839,0.046,0.78924,6045.650077,3,0.2,1.5,0.06,0.8,0.05,0.6,1,0.270198675,1,0.216306845,1.198567125,332.7504666,10572759752,4.98E-06,158.3273752,52.18481945,0.145671992,60357.9619,332.7504666,398.8237699,398.8237699,332.7504666,4.98E-06,0.034523268,1,52.18481945,87.46288639,52.18481945,223383.6336,3.34644628,2.4,0.20988349,1.152912,1.042232448,449.6784092,14288009375,0.03725096,0.739974301,0.027564753
Peru,glofris,12071.59238,12071.59238,31773839,0.046,0.78924,6045.650077,3,0.2,1.5,0.06,0.8,0.05,0.6,1,0.270198675,1,0.216306845,1.198567125,371.2513942,11796082027,5.49E-06,174.4139044,58.05436578,0.145671992,60357.9619,371.2513942,444.969716,444.969716,371.2513942,5.49E-06,0.039766685,1,58.05436578,96.87597464,58.05436578,223383.6336,3.343745776,2.4,0.20988349,1.152912,1.042232448,495.3670644,15739713351,0.041035768,0.749447068,0.030754136
